ID,augmentation,question_orig,question_augmented,correct_answer,model_output
21,char_swap,what does this image show?,['whta does this image hsow?'],bowel in situ with diffuse thickening of peritoneal surfaces due to metastatic carcinoma breast primary i think,excellent example of mesenteric adenitis
22,char_swap,how does this image show bowel in situ?,['how does thsi image show boewl in siut?'],with diffuse thickening of peritoneal surfaces due to metastatic carcinoma breast primary i think,with very little mucosa
23,char_swap,does this image show bowel in situ with diffuse thickening of peritoneal surfaces due to metastatic carcinoma breast primary i think?,['dose this image hsow obwel in siut wtih diffuse thickening of peritoneal surfaces due to metastatic carcinoma berast primary i htink?'],yes,no
24,char_swap,what is present?,['hwat is presetn?'],abdomen,abdomen
25,char_swap,is abdomen present?,['is abdomne presetn?'],yes,yes
26,char_swap,is acute viral hepatitis characterize by a predominantly lymphocytic infiltrate?,['is actue viral hepatiits charcaterize by a predominantly lymphocytci infiltrate?'],yes,no
27,char_swap,where is this area in the body?,['wheer is this aera in the obdy?'],abdomen,abdomen
28,char_swap,what is present?,['waht is preesnt?'],abdomen,abdomen
29,char_swap,when does this image show a photo taken?,['when odes this image hsow a phoot taken?'],during life large lesion,after
30,char_swap,what does this image show?,['what does this imaeg hsow?'],a photo taken during life large lesion,view of face with open mouth and jaw
31,char_swap,does this image show a photo taken during life large lesion?,['does this image show a hpoto tkaen durign lief large lesion?'],yes,yes
32,char_swap,does omphalocele show a photo taken during life large lesion?,['does omphaloclee show a photo atken udring life large elsion?'],no,no
33,char_swap,what is present?,['hwat is preesnt?'],abdomen,anencephaly
34,char_swap,is abdomen present?,['is badomen presetn?'],yes,no
35,char_swap,what is present?,['waht is presetn?'],omphalocele,anencephaly
36,char_swap,is omphalocele present?,['is ompahlocele prseent?'],yes,yes
37,char_swap,is the entire thickness of the epithelium characterize by a predominantly lymphocytic infiltrate?,['is the entire thickness of the epitheluim characteriez by a predomniantly lympohcytic infiltrtae?'],no,yes
38,char_swap,is omentum present?,['is moentum rpesent?'],no,no
39,char_swap,where is this area in the body?,['wehre is htis area in the obdy?'],abdomen,abdomen
40,char_swap,what taken during life large lesion?,['what taken durign lief lareg lesion?'],a photo,postmort
41,char_swap,what is a photo taken?,['hwat is a phtoo taken?'],during life large lesion,at autopsy
42,char_swap,what is present?,['waht is rpesent?'],abdomen,anencephaly
43,char_swap,what is present?,['hwat is presetn?'],omphalocele,no
44,char_swap,how is a photo taken during life lesion?,['how is a hpoto taken during lief elsion?'],large,at autopsy
45,char_swap,what does this image show?,['hwat dose this image show?'],fixed tissue typical appearance of tuberculous peritonitis except for color being off a bit,close-up of cut surface of this lesion
46,char_swap,does this image show fixed tissue typical appearance of tuberculous peritonitis except for color being off a bit?,['does thsi image show fxied tissue ytpical appearance of tuberculous peritonitis excetp for oclor bieng off a bit?'],yes,yes
47,char_swap,does acute peritonitis show fixed tissue typical appearance of tuberculous peritonitis except for color being off a bit?,['does acute peritonitis show fixde tissue ytpical apeparance of utberculous peritointis excpet for color being off a bit?'],no,no
48,char_swap,is schematic diagram of intimal thickening emphasize intimal smooth muscle cell migration and proliferation associated with extracellular matrix synthesis?,['is schematic diagram of nitimal thickening emphasize intimal smotoh mucsle cell migrtaion and proliferation associated with extraclelular matrxi synthesis?'],yes,no
49,char_swap,what is present?,['waht is rpesent?'],abdomen,abdomen
50,char_swap,is abdomen present?,['is abdmoen presnet?'],yes,yes
51,char_swap,where is this area in the body?,['wheer is thsi area in the boyd?'],abdomen,unknown
52,char_swap,what is present?,['waht is prseent?'],abdomen,abdomen
53,char_swap,what does this image show?,['waht does this image sohw?'],close-up view of metastatic lesions color not the best papillary serous adenocarcinoma of ovary,close-up of lesion
54,char_swap,does this image show close-up view of metastatic lesions color not the best papillary serous adenocarcinoma of ovary?,['does htis imgae show cloes - up view of metastatic lesions cloor not the ebst papillary sreous daenocarcinoma of ovary?'],yes,yes
55,char_swap,what is present?,['hwat is rpesent?'],abdomen,thymus
56,char_swap,is abdomen present?,['is abdoemn preesnt?'],yes,yes
57,char_swap,what is present?,['hwat is presetn?'],peritoneum,thymus
58,char_swap,is peritoneum present?,['is pertioneum presetn?'],yes,no
59,char_swap,did nuclear pleomorphism emphasize intimal smooth muscle cell migration and proliferation associated with extracellular matrix synthesis?,['did nuclear pelomorphism emphasize intimal smotoh muscle cell migraiton and proliferation associated with extarcellular matrix synthseis?'],no,no
60,char_swap,where is this area in the body?,['wheer is this raea in the bdoy?'],abdomen,in the chest
61,char_swap,what is present?,['hwat is prseent?'],abdomen,thymus
62,char_swap,what is present?,['hwat is prseent?'],peritoneum,thymus
63,char_swap,does this image show opened abdomen with ischemic appearing intestines bound by neoplastic adhesions good but not the best ovarian papillary adenocarcinoma?,['does htis image shwo opened abdomen wiht ischemic appearing intestinse bound by neoplastci adhesions godo but not the best voarian papillary adenocarcinoma?'],yes,yes
64,char_swap,what is present?,['whta is presnet?'],abdomen,abdominal cavity
65,char_swap,is abdomen present?,['is abdomne presetn?'],yes,yes
66,char_swap,is tuberculous peritonitis present?,['is tuberculous peritonitsi preesnt?'],no,yes
67,char_swap,what is present?,['whta is presnet?'],peritoneum,abdominal cavity
68,char_swap,is peritoneum present?,['is peritonemu presnet?'],yes,yes
69,char_swap,is an opened peritoneal cavity cause by fibrous band strangulation present?,['is an opened peritoneal cavity casue by fibrosu badn stragnulation present?'],no,yes
70,char_swap,what is moderately narrowed by this eccentric lesion?,['hwat is moderately narrowed by thsi eccentric lesino?'],the lumen,a lesion
71,char_swap,where is this area in the body?,['wehre is tihs aera in the body?'],abdomen,abdomen
72,char_swap,what bound by neoplastic adhesions good but not the best ovarian papillary adenocarcinoma?,['hwat bound by nepolastic adhesions good but not the bset oavrian paplilary adenocarcinoma?'],opened abdomen with ischemic appearing intestines,neoplasm
73,char_swap,what is opened abdomen with ischemic appearing intestines bound?,['waht is oepned abdomen with ischemic appearing intestines boudn?'],by neoplastic adhesions good but not the best ovarian papillary adenocarcinoma,due to shock
74,char_swap,what is present?,['waht is presetn?'],abdomen,abdominal cavity
75,char_swap,what is present?,['waht is prseent?'],peritoneum,abdomen
76,char_swap,what does this image show?,['hwat does tihs image show?'],a very close-up view of typical gross lesions,close-up of skin over muscle
77,char_swap,does this image show a very close-up view of typical gross lesions?,['dose htis imgae show a vrey close - up view of typical gross lesinos?'],yes,no
78,char_swap,what is present?,['hwat is presetn?'],abdomen,no
79,char_swap,is abdomen present?,['is badomen prseent?'],yes,no
80,char_swap,is opened abdominal cavity with massive tumor in omentum none apparent in liver nor over peritoneal surfaces gut present?,['is opneed abdominal cavity with amssive tumor in omentum noen apparetn in liver nor ovre peritonela surfaces gut present?'],no,no
81,char_swap,what is the lumen narrowed by?,['waht is the lumne narrowde by?'],eccentric lesion,atherosclerosis
82,char_swap,what is present?,['waht is presetn?'],peritoneum,abdomen
83,char_swap,is peritoneum present?,['is peritonemu presnet?'],yes,no
84,char_swap,is tuberculosis present?,['is utberculosis presnet?'],no,yes
85,char_swap,what is present?,['waht is prseent?'],tuberculous peritonitis,abdomen
86,char_swap,is tuberculous peritonitis present?,['is tubecrulous peritontiis present?'],yes,yes
87,char_swap,where is this area in the body?,['whree is this raea in the boyd?'],abdomen,this is not a good photo
88,char_swap,what is present?,['waht is presnet?'],abdomen,abdomen
89,char_swap,what is present?,['whta is prseent?'],peritoneum,abdomen
90,char_swap,what is present?,['waht is presnet?'],tuberculous peritonitis,abdomen
91,char_swap,what does this image show?,['what does htis imaeg show?'],massive node enlargement like a lymphoma,large tumor
92,char_swap,"is the lumen moderately narrowed by this eccentric lesion, which leaves part of the vessel wall unaffected?","['is the lumne modreately narrowed by this cecentric lesion, which leaves part of the evssel awll unfafected?']",yes,yes
93,char_swap,does this image show massive node enlargement like a lymphoma?,['does tihs imaeg show massive node enlargement liek a lymphoma?'],yes,yes
94,char_swap,does abdomen show massive node enlargement like a lymphoma?,['does adbomen show amssive onde enlargement like a lymphoma?'],no,no
95,char_swap,what is present?,['waht is presetn?'],abdomen,gastrointestinal
96,char_swap,is abdomen present?,['is abdomne presetn?'],yes,no
97,char_swap,is tuberculous peritonitis present?,['is tubecrulous peirtonitis present?'],no,no
98,char_swap,what is present?,['whta is presetn?'],mesentery,intestine
99,char_swap,is mesentery present?,['is mesenteyr persent?'],yes,no
100,char_swap,is carcinomatosis present?,['is carcinomatsois presnet?'],no,yes
101,char_swap,what is present?,['waht is presetn?'],acute lymphocytic leukemia,gastrointestinal
102,char_swap,is acute lymphocytic leukemia present?,['is acute lymphocytci leukemia rpesent?'],yes,yes
103,char_swap,"are skin stem cells moderately narrowed by this eccentric lesion, which leaves part of the vessel wall unaffected?","['are skni stem cells modeartely nrarowed by this eccetnric lesion, which leaves prat of the vesesl wall unaffected?']",no,yes
104,char_swap,is fat necrosis present?,['is fat necroiss rpesent?'],no,no
105,char_swap,where is this area in the body?,['wehre is tihs raea in the body?'],abdomen,abdomen
106,char_swap,what is present?,['hwat is rpesent?'],abdomen,gastrointestinal
107,char_swap,what is present?,['hwat is presnet?'],mesentery,gastrointestinal
108,char_swap,what is present?,['waht is rpesent?'],acute lymphocytic leukemia,gastrointestinal
109,char_swap,does this image show opened abdomen showing tumor everywhere this also could be peritoneal carcinomatosis it looks the same?,['does this imaeg show opneed abdomen hsowing tuomr everywhere this alos could be pertioneal carcinomatosis it looks the same?'],yes,yes
110,char_swap,does leiomyosarcoma show opened abdomen showing tumor everywhere this also could be peritoneal carcinomatosis it looks the same?,['does leiomysoarcoma show opened abdomne showing tumor everywhere thsi also oculd be preitoneal carcinomatosis it looks the saem?'],no,no
111,char_swap,what is present?,['whta is persent?'],mesothelioma,peritoneum
112,char_swap,is mesothelioma present?,['is mesotheloima prseent?'],yes,no
113,char_swap,is carcinomatosis present?,['is cracinomatosis presnet?'],no,yes
114,char_swap,are the photomicrographs packed with laminated swirls of fetal squamous cells?,['are the photomicrographs packed iwth laminated swirsl of fteal squamous celsl?'],no,no
115,char_swap,what are attenuated?,['waht are attenauted?'],the internal and external elastic membranes,the walls
116,char_swap,where is this area in the body?,['hwere is thsi area in the obdy?'],abdomen,abdomen
117,char_swap,what is present?,['waht is rpesent?'],mesothelioma,peritoneum
118,char_swap,what does this image show?,['what odes this imaeg show?'],cut surface of lesion natural color typical appearance of a sarcoma fish flesh and yellow areas suggesting of liposarcoma which it was,large bladder
119,char_swap,what is present?,['whta is presetn?'],abdomen,abdomen
120,char_swap,is abdomen present?,['is abodmen presnet?'],yes,yes
121,char_swap,what is present?,['hwat is prseent?'],peritoneum,abdomen
122,char_swap,is peritoneum present?,['is preitoneum persent?'],yes,no
123,char_swap,what is present?,['whta is rpesent?'],retroperitoneal liposarcoma,abdomen
124,char_swap,is retroperitoneal liposarcoma present?,['is retroperitoneal lipoasrcoma presnet?'],yes,yes
125,char_swap,where is this area in the body?,['wehre is this arae in the bdoy?'],abdomen,abdomen
126,char_swap,are the internal and external elastic membranes attenuated?,['are the internal and externla elastic emmbranes attenuatde?'],yes,yes
127,char_swap,what is present?,['waht is rpesent?'],abdomen,abdomen
128,char_swap,what is present?,['whta is preesnt?'],peritoneum,abdomen
129,char_swap,what is present?,['waht is persent?'],retroperitoneal liposarcoma,abdomen
130,char_swap,what does this image show?,['hwat does this image hsow?'],opened body cavity with necrotic bowel and heavy fibrin exudate,with necrosis
131,char_swap,does this image show opened body cavity with necrotic bowel and heavy fibrin exudate?,['does tihs image sohw opened body cavity with necrotci bowle and heavy fibirn exudate?'],yes,yes
132,char_swap,does leiomyosarcoma show opened body cavity with necrotic bowel and heavy fibrin exudate?,['does leiomyosarcoma show opened obdy cavity wiht encrotic bowle and heavy fibrin xeudate?'],no,no
133,char_swap,what is present?,['whta is presetn?'],abdomen,peritoneum
134,char_swap,is abdomen present?,['is abdmoen rpesent?'],yes,yes
135,char_swap,is opened abdominal cavity with massive tumor in omentum none apparent in liver nor over peritoneal surfaces gut present?,['is opened abdominal cavity iwth massive tumor in omentmu none paparent in liver nor ovre peritoneal surfacse gut presetn?'],no,no
136,char_swap,what is present?,['whta is rpesent?'],peritoneum,abdomen
137,char_swap,are the available anabolic circuits attenuated?,['are the availbale anabolci icrcuits attenuated?'],no,no
138,char_swap,is peritoneum present?,['is epritoneum rpesent?'],yes,no
139,char_swap,is metastatic carcinoma prostate present?,['is metastatic carcinoam porstate present?'],no,no
140,char_swap,what is present?,['whta is preesnt?'],fibrinous peritonitis,peritoneum
141,char_swap,is fibrinous peritonitis present?,['is fibrinous preitonitis prseent?'],yes,no
142,char_swap,is slices of liver and spleen typical tuberculous exudate is present on capsule of liver and spleen present?,['is slices of livre and spleen tyipcal utberculous exudate is present on capsule of ilver and psleen rpesent?'],no,no
143,char_swap,where is this area in the body?,['where is thsi raea in the bdoy?'],abdomen,abdomen
144,char_swap,what is present?,['waht is rpesent?'],abdomen,peritoneum
145,char_swap,what is present?,['whta is presnet?'],peritoneum,peritoneum
146,char_swap,what is present?,['waht is presetn?'],fibrinous peritonitis,peritoneum
147,char_swap,what does this image show?,['whta does tihs image show?'],outstanding example of granuloma with langhans giant cell,panniculitis and fascitis
148,char_swap,"what is shown in the figure, stained for elastin (black)?","['what is shonw in the figuer, tsained for elsatin (lback )?']",moderate-power view of the plaque,the fibrous capsule
149,char_swap,how does this image show outstanding example of granuloma?,['how deos this image sohw outstanding exampel of granuloma?'],with langhans giant cell,with multinucleate giant cells
150,char_swap,does this image show outstanding example of granuloma with langhans giant cell?,['does thsi image shwo ousttanding example of granuloma with langhans giatn cell?'],yes,yes
151,char_swap,does this show outstanding example of granuloma with langhans giant cell?,['dose this show outstanding exmaple of rganuloma with lanhgans giant cell?'],no,no
152,char_swap,what is present?,['waht is presetn?'],abdomen,fat necrosis
153,char_swap,is abdomen present?,['is badomen rpesent?'],yes,no
154,char_swap,is opened abdominal cavity with massive tumor in omentum none apparent in liver nor over peritoneal surfaces gut present?,['is opened abdmoinal cavity wiht massive tumor in omenutm none apparent in liver nor over epritoneal surfacse gut presetn?'],no,no
155,char_swap,what is present?,['waht is rpesent?'],peritoneum,fat necrosis
156,char_swap,is peritoneum present?,['is peritoenum rpesent?'],yes,no
157,char_swap,is carcinomatosis endometrium primary present?,['is carcinomatsois endometrium primary presetn?'],no,no
158,char_swap,what is present?,['waht is presnet?'],tuberculosis,fat necrosis
159,char_swap,what is moderate-power view of the plaque shown the figure stained for?,['what is moderate - powre ivew of the plaque shwon the ifgure staiend for?'],elastin (black),aortic wall
160,char_swap,is tuberculosis present?,['is utberculosis presnet?'],yes,no
161,char_swap,is opened muscle present?,['is opened msucle prseent?'],no,no
162,char_swap,what is present?,['hwat is preesnt?'],abdomen,fat necrosis
163,char_swap,what is present?,['whta is presetn?'],peritoneum,fat necrosis
164,char_swap,what is present?,['hwat is presetn?'],tuberculosis,fat necrosis
165,char_swap,what does this image show?,['what odes htis image show?'],outstanding example of a tubercular granuloma same as in slide seen at low classical granuloma with langhans giant cell,good depiction of inflammatory cell infiltrate
166,char_swap,does this image show outstanding example of a tubercular granuloma same as in slide seen at low classical granuloma with langhans giant cell?,['dose thsi image sohw ousttanding example of a tuberuclar rganuloma same as in slide seen at low classical granuloma wtih lagnhans giant cell?'],yes,no
167,char_swap,what is present?,['waht is prseent?'],abdomen,nervous
168,char_swap,is abdomen present?,['is abdmoen preesnt?'],yes,no
169,char_swap,is tuberculous peritonitis present?,['is utberculous peritonitis persent?'],no,no
170,char_swap,is the plaque stained for elastin (black)?,['is the plaque staiend for elastni (lback )?'],yes,no
171,char_swap,what is present?,['waht is preesnt?'],peritoneum,nervous
172,char_swap,is peritoneum present?,['is peirtoneum preesnt?'],yes,no
173,char_swap,is peritoneal fluid present?,['is peritonael fludi present?'],no,no
174,char_swap,what is present?,['hwat is prseent?'],tuberculosis,nervous
175,char_swap,is tuberculosis present?,['is tuberculossi preesnt?'],yes,no
176,char_swap,is this present?,['is htis rpesent?'],no,no
177,char_swap,what seen at low classical granuloma with langhans giant cell?,['hwat seen at low classiacl granuloma wiht langhans giant cell?'],outstanding example of a tubercular same as in slide,no
178,char_swap,what is outstanding example of a tubercular granuloma same as in slide seen?,['whta is outstanding example of a tuebrcular grnauloma smae as in slied seen?'],at low classical with langhans giant cell,this
179,char_swap,what is present?,['hwat is persent?'],abdomen,brain
180,char_swap,what is present?,['waht is preesnt?'],peritoneum,nervous
181,char_swap,"is the intact basement membrane shown in the figure, stained for elastin black?","['is the itnact bsaement emmbrane shwon in the figrue, stained for elastin black?']",no,no
182,char_swap,what is present?,['waht is rpesent?'],tuberculosis,nervous
183,char_swap,what fast stain numerous acid fast bacilli very good slide?,['waht fast stain numerous acid fsat bacilli vrey ogod slide?'],acid,no
184,char_swap,what do acid stain?,['whta do acid stian?'],stain numerous fast bacilli very good slide,show oil wrights cells
185,char_swap,do acid stain stain numerous acid fast bacilli very good slide?,['do acid stain stain nuemrous acid fast abcilli veyr good slied?'],yes,yes
186,char_swap,do retroperitoneum stain stain numerous acid fast bacilli very good slide?,['do retropreitoneum tsain stain nmuerous acid fast bacilli vrey good slide?'],no,yes
187,char_swap,what does this image show?,['waht does thsi image show?'],acid fast stain numerous acid fast bacilli very good slide,oil wrights excellent
188,char_swap,does this image show acid fast stain numerous acid fast bacilli very good slide?,['does this iamge sohw acid afst satin numerous acid fast bacilli very good lside?'],yes,yes
189,char_swap,does surface show acid fast stain numerous acid fast bacilli very good slide?,['odes surface hsow acid fsat stain unmerous acid fast bacilli evry good slide?'],no,no
190,char_swap,what is present?,['hwat is presnet?'],abdomen,bone marrow
191,char_swap,is abdomen present?,['is badomen preesnt?'],yes,no
192,char_swap,is the media of the artery thinned under the most advanced plaque?,['is the media of the arteyr thinnde under the most advanecd plauqe?'],yes,yes
193,char_swap,is liver with tuberculoid granuloma in glissons present?,['is lievr wiht tuberculoid granuloma in glissons preesnt?'],no,no
194,char_swap,what is present?,['hwat is prseent?'],peritoneum,bone marrow
195,char_swap,is peritoneum present?,['is peritnoeum prseent?'],yes,no
196,char_swap,is acute peritonitis present?,['is caute peritonitis persent?'],no,no
197,char_swap,what is present?,['waht is persent?'],tuberculosis,bone marrow
198,char_swap,is tuberculosis present?,['is utberculosis persent?'],yes,yes
199,char_swap,is nodular tumor present?,['is nodular tuomr persent?'],no,no
200,char_swap,what stain numerous acid fast bacilli very good slide?,['what stain numerous acid fast baiclli evry good lside?'],acid,iron
201,char_swap,what is present?,['whta is prseent?'],abdomen,bone marrow
202,char_swap,what is present?,['whta is persent?'],peritoneum,bone marrow
203,char_swap,is energy stores thinned under the most advanced plaque?,['is enegry stores thinned udner the most advanced plqaue?'],no,no
204,char_swap,what is present?,['hwat is preesnt?'],tuberculosis,bone marrow
205,char_swap,what does this image show?,['whta dose this image show?'],excised tumor mass,excellent example of tumor
206,char_swap,does this image show excised tumor mass?,['odes this image sohw excised utmor mass?'],yes,no
207,char_swap,does carcinomatosis endometrium primary show excised tumor mass?,['odes carcinomatosis nedometrium primary show excised tumor msas?'],no,primary
208,char_swap,what is present?,['hwat is presetn?'],sacrococcygeal teratoma,spleen
209,char_swap,is sacrococcygeal teratoma present?,['is sacrococcygeal teraotma prseent?'],yes,no
210,char_swap,is omentum present?,['is moentum preesnt?'],no,no
211,char_swap,what is present?,['waht is persent?'],sacrococcygeal teratoma,abdomen
212,char_swap,what does this image show?,['whta does this image sohw?'],posterior view to show open cord,shows close up of cut surface of prostate with obvious lesion
213,char_swap,does this image show posterior view to show open cord?,['does this image show psoterior veiw to shwo poen cord?'],yes,yes
214,char_swap,what is in a patient who died suddenly?,['whta is in a ptaient who dide suddenly?'],plaque rupture without superimposed thrombus,a large thrombus
215,char_swap,does leiomyosarcoma show posterior view to show open cord?,['dose leiomyosarcoma show opsterior view to shwo open cord?'],no,no
216,char_swap,what is present?,['hwat is preesnt?'],anencephaly,female reproductive
217,char_swap,is anencephaly present?,['is anencephayl preesnt?'],yes,no
218,char_swap,is digits present?,['is diigts presetn?'],no,no
219,char_swap,what is present?,['hwat is presetn?'],anencephaly,female reproductive
220,char_swap,what does this image show?,['what dose this imgae show?'],mostly head in photo gory edema,face
221,char_swap,does this image show mostly head in photo gory edema?,['does this imaeg sohw mostly head in photo goyr deema?'],yes,yes
222,char_swap,does surface show mostly head in photo gory edema?,['does surface show moslty head in photo ogry edmea?'],no,no
223,char_swap,what is present?,['waht is prseent?'],lymphangiomatosis,face
224,char_swap,is lymphangiomatosis present?,['is lymphagniomatosis presetn?'],yes,no
225,char_swap,what is edematous and congested?,['whta is edematous and congestde?'],the surrounding lung,the interstitium
226,char_swap,what is plaque rupture without?,['hwat is plaqeu rupture without?'],superimposed thrombus,thrombus
227,char_swap,is carcinomatosis present?,['is carcniomatosis presnet?'],no,no
228,char_swap,what is present?,['waht is rpesent?'],lymphangiomatosis,face
229,char_swap,what does this image show?,['hwat odes this image show?'],anterior view of whole body,view of face with open mouth and jaw
230,char_swap,does this image show anterior view of whole body?,['deos this image show anterior ivew of whole boyd?'],yes,yes
231,char_swap,does granulomata slide show anterior view of whole body?,['does garnulomata silde show anterior view of whole obdy?'],no,no
232,char_swap,what is present?,['hwat is rpesent?'],lymphangiomatosis,anencephaly
233,char_swap,is lymphangiomatosis present?,['is lymphangiomatsois rpesent?'],yes,yes
234,char_swap,is metastatic carcinoma prostate present?,['is metastaitc carcnioma prostate present?'],no,no
235,char_swap,what is present?,['waht is prseent?'],lymphangiomatosis,face
236,char_swap,does this image show typical not advanced macerated stillborn?,['does htis image shwo typical not advanced macerated stillbonr?'],yes,yes
237,char_swap,"what is superimposed on an atherosclerotic plaque with focal disruption of the fibrous cap, triggering fatal myocardial infarction?","['hwat is superimpoesd on an atherosclerotic plaque with focal disurption of the fibrous cap, trgigering fatla myocadrial infarction?']",acute coronary throm-bosis,a thrombus
238,char_swap,does acute peritonitis show typical not advanced macerated stillborn?,['odes acute peritonitis show typical not advanecd macerated tsillborn?'],no,no
239,char_swap,what does this image show?,['what does this imaeg shwo?'],posterior view of whole body to buttocks,close-up of palate
240,char_swap,does this image show posterior view of whole body to buttocks?,['does thsi miage shwo posterior view of whole boyd to buttocks?'],yes,yes
241,char_swap,does typical tuberculous exudate show posterior view of whole body to buttocks?,['does ytpical tubreculous exudate show posterior ivew of whole obdy to buttocks?'],no,no
242,char_swap,what is present with open spine?,['what is persent iwth poen spine?'],anencephaly,no
243,char_swap,is anencephaly with open spine present?,['is anencephaly wiht open spien persent?'],yes,yes
244,char_swap,is liver with tuberculoid granuloma in glissons with open spine present?,['is livre wiht tuberculoid granuloma in glissons wiht open psine present?'],no,no
245,char_swap,what are slide?,['whta are silde?'],this whole body photo showing widened abdomen due to diastasis recti and crease in ear lobe face is and kidneys with bilateral pelvic-ureteral strictures,this image shows view of face and upper chest
246,char_swap,what are this whole body photo showing widened abdomen due to diastasis recti and crease in ear lobe face is slide and kidneys with bilateral pelvic-ureteral strictures?,['what are thsi whole obdy photo showing widened abdomne due to diastassi recit and cerase in ear olbe face is slide and kidneys with bilatreal pelvci - ureteral strictures?'],strictures,no
247,char_swap,what is present?,['hwat is rpesent?'],beckwith-wiedemann syndrome,anencephaly
248,char_swap,what is acute coronary throm-bosis superimposed on?,['hwat is acute cornoary htrom - bosis superimposed on?'],an atherosclerotic plaque with focal disruption of the fibrous cap,acute inflammation
249,char_swap,what are slide?,['hwat are silde?'],this whole body photo showing widened abdomen due to diastasis recti and crease in ear lobe face is and kidneys with bilateral pelvic-ureteral strictures,this photo
250,char_swap,what are this whole body photo showing widened abdomen due to diastasis recti and crease in ear lobe face is slide and kidneys with bilateral pelvic-ureteral strictures?,['hwat are thsi hwole body photo showign wdiened abdomen due to diastasis recti and crease in ear lobe faec is sldie and kidneys with bilateral pelvic - uretearl stricutres?'],strictures,no
251,char_swap,what is present?,['waht is presetn?'],beckwith-wiedemann syndrome,anencephaly
252,char_swap,what joined at chest and abdomen?,['hwat joiend at cehst and abdomen?'],lateral view,lower part of body
253,char_swap,what is lateral view joined?,['hwat is ltaeral view joined?'],at chest and abdomen,at waist
254,char_swap,is lateral view joined at chest and abdomen?,['is lateral ivew joinde at chest and abdmoen?'],yes,yes
255,char_swap,what does this image show?,['whta does this imaeg show?'],lateral view joined at chest and abdomen,joined at head
256,char_swap,does this image show lateral view joined at chest and abdomen?,['does htis imgae sohw lateral view joined at chest and badomen?'],yes,yes
257,char_swap,what is present?,['whta is preesnt?'],siamese twins,siamese twins
258,char_swap,is siamese twins present?,['is simaese twisn present?'],yes,yes
259,char_swap,"is acute coronary throm-bosis superimposed on an atherosclerotic plaque with focal disruption of the fibrous cap, triggering fatal myocardial infarction?","['is acute coronary throm - bosis superimposde on an ahterosclerotic plaque wtih ofcal disruption of the fibrous cap, triggering ftaal ymocardial infarctoin?']",yes,yes
260,char_swap,what joined at chest and abdomen?,['whta ojined at chset and abdomen?'],lateral view,two
261,char_swap,what is present?,['whta is rpesent?'],siamese twins,siamese twins
262,char_swap,what shows opened chest with two hearts?,['hwat sohws opened chest iwth two hearts?'],chest and abdomen slide,this
263,char_swap,how many hearts does chest and abdomen slide show opened chest with?,['how many hearts does chest and abdomne slide hsow opeend chset with?'],two,one
264,char_swap,does chest and abdomen slide show opened chest with two hearts?,['does chest and abdomen lside sohw opende chset with two hearts?'],yes,no
265,char_swap,what joined chest and abdomen slide shows opened chest with two hearts?,['what jioned chest and abdomen slide sohws opende chest wtih two hearts?'],this,slide
266,char_swap,how many hearts is this joined chest and abdomen slide shows opened chest with?,['how many herats is thsi ojined chest and abdomen slide shows opende chets with?'],two,one
