ID,question,correct_answer,model_output
96,is abdomen present?,yes,yes
97,is tuberculous peritonitis present?,no,yes
98,what is present?,mesentery,gastrointestinal
99,is mesentery present?,yes,yes
100,is carcinomatosis present?,no,yes
101,what is present?,acute lymphocytic leukemia,gastrointestinal
102,is acute lymphocytic leukemia present?,yes,yes
103,"are skin stem cells moderately narrowed by this eccentric lesion, which leaves part of the vessel wall unaffected?",no,yes
104,is fat necrosis present?,no,no
105,where is this area in the body?,abdomen,abdomen
106,what is present?,abdomen,gastrointestinal
107,what is present?,mesentery,gastrointestinal
108,what is present?,acute lymphocytic leukemia,gastrointestinal
109,does this image show opened abdomen showing tumor everywhere this also could be peritoneal carcinomatosis it looks the same?,yes,yes
110,does leiomyosarcoma show opened abdomen showing tumor everywhere this also could be peritoneal carcinomatosis it looks the same?,no,yes
111,what is present?,mesothelioma,sacrococcygeal teratoma
112,is mesothelioma present?,yes,yes
113,is carcinomatosis present?,no,yes
114,are the photomicrographs packed with laminated swirls of fetal squamous cells?,no,yes
115,what are attenuated?,the internal and external elastic membranes,the vessel walls
116,where is this area in the body?,abdomen,abdomen
117,what is present?,mesothelioma,sacrococcygeal teratoma
118,what does this image show?,cut surface of lesion natural color typical appearance of a sarcoma fish flesh and yellow areas suggesting of liposarcoma which it was,opened uterus with two large myomatous ovaries
119,what is present?,abdomen,female reproductive
120,is abdomen present?,yes,yes
121,what is present?,peritoneum,female reproductive
122,is peritoneum present?,yes,yes
123,what is present?,retroperitoneal liposarcoma,female reproductive
124,is retroperitoneal liposarcoma present?,yes,yes
125,where is this area in the body?,abdomen,abdomen
126,are the internal and external elastic membranes attenuated?,yes,yes
127,what is present?,abdomen,female reproductive
128,what is present?,peritoneum,female reproductive
129,what is present?,retroperitoneal liposarcoma,female reproductive
130,what does this image show?,opened body cavity with necrotic bowel and heavy fibrin exudate,opened abdominal cavity with massive bowel necrosis and peritonitis
131,does this image show opened body cavity with necrotic bowel and heavy fibrin exudate?,yes,yes
132,does leiomyosarcoma show opened body cavity with necrotic bowel and heavy fibrin exudate?,no,yes
133,what is present?,abdomen,abdomen
134,is abdomen present?,yes,yes
135,is opened abdominal cavity with massive tumor in omentum none apparent in liver nor over peritoneal surfaces gut present?,no,yes
136,what is present?,peritoneum,abdomen
137,are the available anabolic circuits attenuated?,no,yes
138,is peritoneum present?,yes,yes
139,is metastatic carcinoma prostate present?,no,yes
140,what is present?,fibrinous peritonitis,abdomen
141,is fibrinous peritonitis present?,yes,yes
142,is slices of liver and spleen typical tuberculous exudate is present on capsule of liver and spleen present?,no,yes
143,where is this area in the body?,abdomen,abdomen
144,what is present?,abdomen,abdomen
145,what is present?,peritoneum,abdomen
146,what is present?,fibrinous peritonitis,abdomen
147,what does this image show?,outstanding example of granuloma with langhans giant cell,fatty change
148,"what is shown in the figure, stained for elastin (black)?",moderate-power view of the plaque,yellow elastin
149,how does this image show outstanding example of granuloma?,with langhans giant cell,with central caseation necrosis
150,does this image show outstanding example of granuloma with langhans giant cell?,yes,yes
151,does this show outstanding example of granuloma with langhans giant cell?,no,yes
152,what is present?,abdomen,lipoma
153,is abdomen present?,yes,yes
154,is opened abdominal cavity with massive tumor in omentum none apparent in liver nor over peritoneal surfaces gut present?,no,no
155,what is present?,peritoneum,lipoma
156,is peritoneum present?,yes,no
157,is carcinomatosis endometrium primary present?,no,no
158,what is present?,tuberculosis,lipoma
159,what is moderate-power view of the plaque shown the figure stained for?,elastin (black),haemoglobin
160,is tuberculosis present?,yes,yes
161,is opened muscle present?,no,no
162,what is present?,abdomen,lipoma
163,what is present?,peritoneum,lipoma
164,what is present?,tuberculosis,lipoma
165,what does this image show?,outstanding example of a tubercular granuloma same as in slide seen at low classical granuloma with langhans giant cell,vasculitis
166,does this image show outstanding example of a tubercular granuloma same as in slide seen at low classical granuloma with langhans giant cell?,yes,yes
167,what is present?,abdomen,vasculitis
168,is abdomen present?,yes,no
169,is tuberculous peritonitis present?,no,yes
170,is the plaque stained for elastin (black)?,yes,yes
171,what is present?,peritoneum,vasculitis
172,is peritoneum present?,yes,no
173,is peritoneal fluid present?,no,no
174,what is present?,tuberculosis,vasculitis
175,is tuberculosis present?,yes,yes
176,is this present?,no,yes
177,what seen at low classical granuloma with langhans giant cell?,outstanding example of a tubercular same as in slide,granulomas
178,what is outstanding example of a tubercular granuloma same as in slide seen?,at low classical with langhans giant cell,other slides
179,what is present?,abdomen,vasculitis
180,what is present?,peritoneum,vasculitis
181,"is the intact basement membrane shown in the figure, stained for elastin black?",no,yes
182,what is present?,tuberculosis,vasculitis
183,what fast stain numerous acid fast bacilli very good slide?,acid,acid fast bacilli
184,what do acid stain?,stain numerous fast bacilli very good slide,gram negative bacilli
185,do acid stain stain numerous acid fast bacilli very good slide?,yes,yes
186,do retroperitoneum stain stain numerous acid fast bacilli very good slide?,no,yes
187,what does this image show?,acid fast stain numerous acid fast bacilli very good slide,gram stain gram negative bacilli
188,does this image show acid fast stain numerous acid fast bacilli very good slide?,yes,yes
189,does surface show acid fast stain numerous acid fast bacilli very good slide?,no,yes
190,what is present?,abdomen,bone marrow
191,is abdomen present?,yes,no
192,is the media of the artery thinned under the most advanced plaque?,yes,yes
193,is liver with tuberculoid granuloma in glissons present?,no,no
194,what is present?,peritoneum,bone marrow
195,is peritoneum present?,yes,no
196,is acute peritonitis present?,no,no
197,what is present?,tuberculosis,bone marrow
198,is tuberculosis present?,yes,yes
199,is nodular tumor present?,no,no
200,what stain numerous acid fast bacilli very good slide?,acid,acid fast bacilli
201,what is present?,abdomen,bone marrow
202,what is present?,peritoneum,bone marrow
203,is energy stores thinned under the most advanced plaque?,no,yes
204,what is present?,tuberculosis,bone marrow
205,what does this image show?,excised tumor mass,large hemorrhagic mass with multiple small lesions
206,does this image show excised tumor mass?,yes,yes
207,does carcinomatosis endometrium primary show excised tumor mass?,no,yes
208,what is present?,sacrococcygeal teratoma,female reproductive
209,is sacrococcygeal teratoma present?,yes,yes
210,is omentum present?,no,yes
211,what is present?,sacrococcygeal teratoma,female reproductive
212,what does this image show?,posterior view to show open cord,uterus
213,does this image show posterior view to show open cord?,yes,yes
214,what is in a patient who died suddenly?,plaque rupture without superimposed thrombus,vasculature
215,does leiomyosarcoma show posterior view to show open cord?,no,no
216,what is present?,anencephaly,female reproductive
217,is anencephaly present?,yes,yes
218,is digits present?,no,yes
219,what is present?,anencephaly,female reproductive
220,what does this image show?,mostly head in photo gory edema,face and limbs
221,does this image show mostly head in photo gory edema?,yes,yes
222,does surface show mostly head in photo gory edema?,no,yes
223,what is present?,lymphangiomatosis,face
224,is lymphangiomatosis present?,yes,yes
225,what is edematous and congested?,the surrounding lung,lung
226,what is plaque rupture without?,superimposed thrombus,thrombus
227,is carcinomatosis present?,no,no
228,what is present?,lymphangiomatosis,face
229,what does this image show?,anterior view of whole body,view of back with buttocks and lower abdomen
230,does this image show anterior view of whole body?,yes,yes
231,does granulomata slide show anterior view of whole body?,no,no
232,what is present?,lymphangiomatosis,extremities
233,is lymphangiomatosis present?,yes,yes
234,is metastatic carcinoma prostate present?,no,no
235,what is present?,lymphangiomatosis,extremities
236,does this image show typical not advanced macerated stillborn?,yes,yes
237,"what is superimposed on an atherosclerotic plaque with focal disruption of the fibrous cap, triggering fatal myocardial infarction?",acute coronary throm-bosis,thrombus
238,does acute peritonitis show typical not advanced macerated stillborn?,no,no
239,what does this image show?,posterior view of whole body to buttocks,severe burn
240,does this image show posterior view of whole body to buttocks?,yes,yes
241,does typical tuberculous exudate show posterior view of whole body to buttocks?,no,no
242,what is present with open spine?,anencephaly,traumatic lesion
243,is anencephaly with open spine present?,yes,yes
244,is liver with tuberculoid granuloma in glissons with open spine present?,no,no
245,what are slide?,this whole body photo showing widened abdomen due to diastasis recti and crease in ear lobe face is and kidneys with bilateral pelvic-ureteral strictures,extremities
246,what are this whole body photo showing widened abdomen due to diastasis recti and crease in ear lobe face is slide and kidneys with bilateral pelvic-ureteral strictures?,strictures,this case of marfans syndrome
247,what is present?,beckwith-wiedemann syndrome,omphalocele
248,what is acute coronary throm-bosis superimposed on?,an atherosclerotic plaque with focal disruption of the fibrous cap,chronic thromboembolic disease
249,what are slide?,this whole body photo showing widened abdomen due to diastasis recti and crease in ear lobe face is and kidneys with bilateral pelvic-ureteral strictures,extremities
250,what are this whole body photo showing widened abdomen due to diastasis recti and crease in ear lobe face is slide and kidneys with bilateral pelvic-ureteral strictures?,strictures,this case of marfans syndrome
251,what is present?,beckwith-wiedemann syndrome,omphalocele
252,what joined at chest and abdomen?,lateral view,lower chest and abdomen
253,what is lateral view joined?,at chest and abdomen,lower part of body
254,is lateral view joined at chest and abdomen?,yes,yes
255,what does this image show?,lateral view joined at chest and abdomen,joined lower limbs
256,does this image show lateral view joined at chest and abdomen?,yes,yes
257,what is present?,siamese twins,joined lower limbs
258,is siamese twins present?,yes,yes
259,"is acute coronary throm-bosis superimposed on an atherosclerotic plaque with focal disruption of the fibrous cap, triggering fatal myocardial infarction?",yes,yes
260,what joined at chest and abdomen?,lateral view,lower chest and abdomen
261,what is present?,siamese twins,joined lower limbs
262,what shows opened chest with two hearts?,chest and abdomen slide,opened abdominal cavity showing uterus and ovaries
263,how many hearts does chest and abdomen slide show opened chest with?,two,one
264,does chest and abdomen slide show opened chest with two hearts?,yes,yes
265,what joined chest and abdomen slide shows opened chest with two hearts?,this,excellent example of diaphragm muscle
266,how many hearts is this joined chest and abdomen slide shows opened chest with?,two,one
267,what is this joined?,chest and abdomen slide shows opened chest with two hearts,uterus and cervix
268,is this joined chest and abdomen slide shows opened chest with two hearts?,yes,yes
269,what is present?,siamese twins,female reproductive
270,"is moderate-power view of the plaque superimposed on an atherosclerotic plaque with focal disruption of the fibrous cap, triggering fatal myocardial infarction?",no,yes
271,is siamese twins present?,yes,yes
272,what shows opened chest with two hearts?,chest and abdomen slide,opened abdominal cavity showing uterus and ovaries
273,what joined chest and abdomen slide shows opened chest with two hearts?,this,excellent example of diaphragm muscle
274,what is present?,siamese twins,female reproductive
275,what does this image show?,good example of large umbilical hernia,view of back with two joined lower limbs
276,does this image show good example of large umbilical hernia?,yes,yes
277,what does this image show?,epithelial component like intestine,pleural effusion
278,does this image show epithelial component like intestine?,yes,yes
279,what is present?,sacrococcygeal teratoma,female reproductive
280,is sacrococcygeal teratoma present?,yes,no
281,what did the cross-section of aortic media from a patient with marfan syndrome show?,marked elastin fragmentation and areas devoid of elastin that resemble cystic spaces,extensive fibrous degeneration and marked thinning
282,what is present?,sacrococcygeal teratoma,female reproductive
283,what does this image show?,hyaline membrane disease,view from front showing severe hydrocephalus and occipital flattening
284,does this image show hyaline membrane disease?,yes,yes
285,does carcinoma show hyaline membrane disease?,no,no
286,what does this image show?,hyaline membrane disease,stillborn macerated
287,does this image show hyaline membrane disease?,yes,yes
288,does spina bifida show hyaline membrane disease?,no,no
289,what does this image show?,hyaline membrane disease,view from above showing severe hydrocephalus
290,does this image show hyaline membrane disease?,yes,yes
291,does peritoneal fluid show hyaline membrane disease?,no,no
292,did the cross-section of aortic media from a patient with marfan syndrome show marked elastin fragmentation and areas devoid of elastin that resemble cystic spaces?,yes,yes
293,what does this image show?,excised breast good example,skin
294,does this image show excised breast good example?,yes,yes
295,does macerated stillborn show excised breast good example?,no,no
296,what is present?,pagets disease,skin
297,is pagets disease present?,yes,yes
298,is hours present?,no,no
299,where is this area in the body?,breast,lower chest anterior
300,what is present?,pagets disease,skin
301,what does this image show?,breast,colon
302,"does this image show breast, fibroadenoma?",yes,yes
303,did wilms tumor with tightly packed blue cells consistent with the blastemal component and show marked elastin fragmentation and areas devoid of elastin that resemble cystic spaces asterisks?,no,yes
304,"does all the fat necrosis show breast, fibroadenoma?",no,no
305,where is this area in the body?,breast,gastrointestinal system
306,what does this image show?,breast,liver
307,"does this image show breast, fibroadenoma?",yes,yes
308,"does carcinomatosis endometrium primary show breast, fibroadenoma?",no,no
309,where is this area in the body?,breast,breast
310,what does this image show?,atrophic lobules and normal connective tissue,vasculature
311,does this image show atrophic lobules and normal connective tissue?,yes,yes
312,does macerated stillborn show atrophic lobules and normal connective tissue?,no,no
313,what is present?,breast,vasculature
314,what shows marked elastin fragmentation and areas devoid of elastin that resemble cystic spaces (asterisks)?,cross-section of aortic media from a patient with marfan syndrome,this image
315,is breast present?,yes,yes
316,is acute lymphocytic leukemia present?,no,yes
317,what is present?,atrophy,vasculature
318,is atrophy present?,yes,no
319,is anencephaly present?,no,no
320,where is this area in the body?,breast,heart
321,what is present?,breast,vasculature
322,what is present?,atrophy,vasculature
323,what does this image show?,good example of poorly differentiated infiltrating ductal carcinoma,pleomorphic medium sized tumour cells with marked nuclear pleomorphism
324,does this image show good example of poorly differentiated infiltrating ductal carcinoma?,yes,yes
325,what is associated with mononuclear infiltrates and giant cells?,destruction and fibrosis of the arterial media,chronic granulomatous disease
326,does cachexia show good example of poorly differentiated infiltrating ductal carcinoma?,no,no
327,what is present?,breast,vasculature
328,is breast present?,yes,yes
329,is typical tuberculous exudate present?,no,yes
330,where is this area in the body?,breast,breast
331,what differentiated infiltrating ductal carcinoma?,good example of poorly,with desmoplasia and mitotic figures
332,what is good example of poorly differentiated?,infiltrating ductal carcinoma,malignant melanoma
333,what is present?,breast,vasculature
334,how is good example of poorly differentiated infiltrating carcinoma?,ductal,malignant
335,what does this image show?,coronary artery atherosclerosis diagram,coronary artery disease
336,is the surrounding lung edematous and congested?,yes,yes
337,what is histologic appearance in active takayasu aortitis illustrating destruction and fibrosis of the arterial media associated with?,mononuclear infiltrates and giant cells,vasculitis
338,does this image show coronary artery atherosclerosis diagram?,yes,yes
339,does pus in test tube show coronary artery atherosclerosis diagram?,no,no
340,what is present?,cardiovascular,cardiovascular
341,is cardiovascular present?,yes,yes
342,is carcinomatosis present?,no,no
343,where is this area in the body?,heart,heart
344,what is present?,cardiovascular,cardiovascular
345,what is present?,cardiovascular,muscle
346,is cardiovascular present?,yes,yes
347,is peritoneum present?,no,no
348,how is histologic appearance in active takayasu aortitis illustrating destruction and fibrosis of the arterial media associated?,with mononuclear infiltrates,with inflammatory granulation tissue and fibrosis
349,what is present?,amyloidosis,muscle
350,is amyloidosis present?,yes,no
351,is cachexia present?,no,no
352,where is this area in the body?,heart,brain
353,what is present?,cardiovascular,muscle
354,what is present?,amyloidosis,muscle
355,what does this image show?,continuous type,bone marrow
356,does this image show continuous type?,yes,yes
357,does papillary intraductal adenocarcinoma show continuous type?,no,no
358,what is present?,cardiovascular,bone marrow
359,is the histologic appearance in active takayasu aortitis illustrating destruction and fibrosis of the arterial media associated with mononuclear infiltrates and giant cells?,yes,yes
360,is cardiovascular present?,yes,yes
361,is lymphangiomatosis present?,no,no
362,what is present?,vasculature,bone marrow
363,is vasculature present?,yes,yes
364,is case of peritonitis slide present?,no,no
365,what is present?,capillary,bone marrow
366,is capillary present?,yes,yes
367,is intraductal papillomatosis with apocrine metaplasia present?,no,no
368,where is this mage from?,capillary,vasculature
369,what is present?,cardiovascular,bone marrow
370,is the bacteria associated with mononuclear infiltrates and giant cells?,no,yes
371,what is present?,vasculature,bone marrow
372,what is present?,capillary,bone marrow
373,what does this image show?,good for banding pattern mitochondria,muscle
374,does this image show good for banding pattern mitochondria?,yes,yes
375,does cardiovascular show good for banding pattern mitochondria?,no,yes
376,what is present?,cardiovascular,muscle
377,is cardiovascular present?,yes,yes
378,is lower chest and abdomen anterior present?,no,no
379,what is present?,myocardium,muscle
380,is myocardium present?,yes,yes
381,what is infiltrated with leukocytes?,the vessel wall,the wall of the artery
382,is vasculature present?,no,yes
383,where is this area in the body?,heart,heart
384,what is present?,cardiovascular,muscle
385,what is present?,myocardium,muscle
386,what does this image show?,rabbit lesion with foam cell immediately beneath endothelium,heart
387,does this image show rabbit lesion with foam cell immediately beneath endothelium?,yes,yes
388,what is present?,cardiovascular,cardiovascular
389,is cardiovascular present?,yes,yes
390,what is present?,aorta,cardiovascular
391,is aorta present?,yes,yes
392,what is the vessel wall infiltrated with?,leukocytes,neutrophils and macrophages
393,what is present?,atherosclerosis,cardiovascular
394,is atherosclerosis present?,yes,yes
395,where is this?,aorta,heart
396,what is present?,cardiovascular,cardiovascular
397,what is present?,aorta,cardiovascular
398,what is present?,atherosclerosis,cardiovascular
399,what does this image show?,endothelium with myelin bodies precipitated lipid in interstitial space,vasculature
400,how does this image show endothelium?,with myelin bodies precipitated lipid in interstitial space,with electron dense deposits
401,does this image show endothelium with myelin bodies precipitated lipid in interstitial space?,yes,yes
402,what is present?,cardiovascular,vasculature
403,is the vessel wall infiltrated with leukocytes?,yes,yes
404,is cardiovascular present?,yes,yes
405,what is present?,vasculature,vasculature
406,is vasculature present?,yes,yes
407,what is present?,coronary artery,vasculature
408,is coronary artery present?,yes,yes
409,where is this?,vasculature,lung
410,what is present?,cardiovascular,vasculature
411,what is present?,vasculature,vasculature
412,what is present?,coronary artery,vasculature
413,what does this image show?,smooth muscle cell with lipid monocyte and precipitated lipid in interstitial space,lung
414,is low-power view infiltrated with leukocytes?,no,yes
415,does this image show smooth muscle cell with lipid monocyte and precipitated lipid in interstitial space?,yes,yes
416,what is present?,cardiovascular,lung
417,is cardiovascular present?,yes,yes
418,is macerated stillborn present?,no,no
419,what is present?,vasculature,lung
420,is vasculature present?,yes,yes
421,is amyloidosis present?,no,no
422,what is present?,coronary artery,lung
423,is coronary artery present?,yes,yes
424,is aorta present?,no,no
425,what is occluded by thrombus containing a sterile abscess?,the lumen,right coronary artery
426,where is this?,vasculature,lung
427,what is present?,cardiovascular,lung
428,what is present?,vasculature,lung
429,what is present?,coronary artery,lung
430,what does this image show?,chagas disease,colon
431,"does this image show chagas disease, acute, trypanasoma cruzi?",yes,yes
432,"does very good example show chagas disease, acute, trypanasoma cruzi?",no,yes
433,what is present?,cardiovascular,gastrointestinal
434,is cardiovascular present?,yes,yes
435,is papillary intraductal adenocarcinoma present?,no,no
436,"what is the lumen occluded by, containing a sterile abscess?",thrombus,thrombus
437,where is this?,heart,gastrointestinal system
438,what is present?,cardiovascular,gastrointestinal
439,what does this image show?,normal aortic valve,heart
440,does this image show normal aortic valve?,yes,yes
441,does macerated stillborn show normal aortic valve?,no,no
442,what is present?,cardiovascular,cardiovascular
443,is cardiovascular present?,yes,yes
444,is peritoneum present?,no,no
445,where is this?,heart,heart
446,what is present?,cardiovascular,cardiovascular
447,is numerous friable mural thrombi edematous and congested?,no,yes
448,is the lumen occluded by thrombus containing a sterile abscess?,yes,yes
449,what does this image show?,normal tricuspid valve,heart
450,does this image show normal tricuspid valve?,yes,yes
451,does myocardium show normal tricuspid valve?,no,no
452,what is present?,cardiovascular,cardiovascular
453,is cardiovascular present?,yes,yes
454,is capillary present?,no,yes
455,where is this?,heart,heart
456,what is present?,cardiovascular,cardiovascular
457,does this image show normal cardiovascular?,yes,yes
458,does fat necrosis show normal cardiovascular?,no,no
459,"are large, flat cells with small nuclei occluded by thrombus containing a sterile abscess?",no,yes
460,where is this?,heart,heart
461,what does this image show?,heart,brain
462,"does this image show heart, myocardial infarction, surgery to repair interventricular septum rupture?",yes,yes
463,"does notochord show heart, myocardial infarction, surgery to repair interventricular septum rupture?",no,no
464,what is present?,cardiovascular,brain
465,is cardiovascular present?,yes,yes
466,is polycystic disease present?,no,yes
467,where is this?,heart,brain
468,what is present?,cardiovascular,brain
469,what does this image show?,heart,brain
470,what is on the lower right in this apical four-chamber view of the heart?,left ventricle,a large thrombus
471,"does this image show heart, myocardial infarction, surgery to repair interventricular septum rupture?",yes,yes
472,"does beckwith-wiedemann syndrome show heart, myocardial infarction, surgery to repair interventricular septum rupture?",no,no
473,what is present?,cardiovascular,brain
474,is cardiovascular present?,yes,yes
475,is carcinomatosis present?,no,no
476,where is this?,heart,brain
477,what is present?,cardiovascular,brain
478,what does this image show?,heart,heart
479,"does this image show heart, myocardial infarction, surgery to repair interventricular septum rupture?",yes,yes
480,"does side show heart, myocardial infarction, surgery to repair interventricular septum rupture?",no,yes
481,where is the left ventricle in this apical four-chamber view of the heart?,on the lower right,inferiorly
482,what is present?,cardiovascular,heart
483,is cardiovascular present?,yes,yes
484,is myocardium present?,no,yes
485,where is this?,heart,abdomen
486,what is present?,cardiovascular,heart
487,what does this image show?,pericarditis,malignant lymphoma
488,"does this image show pericarditis, secondary to mediastanitis from pseudomonas and enterobacter 14 days post op?",yes,yes
489,"does atrophy show pericarditis, secondary to mediastanitis from pseudomonas and enterobacter 14 days post op?",no,no
490,what is present?,cardiovascular,gastrointestinal
491,is cardiovascular present?,yes,yes
492,is the left ventricle on the lower right in this apical four-chamber view of the heart?,yes,yes
493,is metastatic carcinoma present?,no,yes
494,where is this?,heart,abdomen
495,what is present?,cardiovascular,gastrointestinal
496,what does this image show?,prosthetic mitral valve,heart
497,"does this image show prosthetic mitral valve, carpentier-edwards valve bovine pericardial bioprosthesis?",yes,yes
498,"does fibrinous peritonitis show prosthetic mitral valve, carpentier-edwards valve bovine pericardial bioprosthesis?",no,no
499,what is present?,cardiovascular,cardiovascular
500,is cardiovascular present?,yes,yes
501,is this image shows of smooth muscle cell with lipid in sarcoplasm and lipid present?,no,yes
502,where is this?,heart,heart
503,is plaque rupture without on the lower right in this apical four-chamber view of the heart?,no,no
504,what is present?,cardiovascular,cardiovascular
505,what does this image show?,heart,heart
506,does this image show heart?,yes,yes
507,what is present?,cardiovascular,cardiovascular
508,is cardiovascular present?,yes,yes
509,is aorta present?,no,yes
510,where is this?,heart,heart
511,what is present?,cardiovascular,cardiovascular
512,what does this image show?,atherosclerosis,coronary artery atherosclerosis
513,does this image show atherosclerosis?,yes,yes
514,what is due to enzyme leakage after cell death?,the absence of staining,haemoglobinemia
515,does marfans syndrome show atherosclerosis?,no,no
516,what is present?,cardiovascular,coronary artery
517,is cardiovascular present?,yes,yes
518,is natural color present?,no,yes
519,what is present?,vasculature,coronary artery
520,is vasculature present?,yes,yes
521,is beckwith-wiedemann syndrome present?,no,no
522,where is this?,vasculature,heart
523,what left anterior descending coronary artery?,atherosclerosis,atherosclerotic lesion
524,what is atherosclerosis left?,anterior descending coronary artery,coronary
525,what is the absence of staining due to?,enzyme leakage after cell death,hemorrhage
526,what is present?,cardiovascular,coronary artery
527,what is present?,vasculature,coronary artery
528,how is atherosclerosis left anterior descending artery?,coronary,severe
