"ID","model_dir","question","correct_answer","model_output"
"38","checkpoint-1000","what is present?","vasculature","female reproductive system"
"39","checkpoint-1000","what is present?","acute lymphocytic leukemia","opened colon with large tumor"
"40","checkpoint-1000","is oral present?","yes","yes"
"41","checkpoint-1000","is spleen present?","yes","yes"
"42","checkpoint-1000","where is this?","urinary","urinary tract"
"43","checkpoint-1000","does mesothelioma show ductopenia?","no","no"
"44","checkpoint-1000","is peritoneum present?","yes","yes"
"45","checkpoint-1000","what are natomical subdivisions of the stomach correlated with of gastric mucosa in different regions?","anatomical histological appearance regions","fundus, body, pylorus, cardia"
"46","checkpoint-1000","is peritoneum present?","yes","yes"
"47","checkpoint-1000","is natural color present?","no","no"
"48","checkpoint-1000","is anencephaly present?","no","no"
"49","checkpoint-1000","is lymph node present?","yes","yes"
"50","checkpoint-1000","what does this image show?","kidney","kidneys"
"51","checkpoint-1000","what is shortened by compression fractures?","the osteoporotic vertebral body","bone"
"52","checkpoint-1000","do immature myeloid cells indicate foci of hepatocytes undergoing necrosis in this pas-d-stained biopsy from a patient with acute hepatitis b?","no","yes"
"53","checkpoint-1000","what is present?","respiratory","lung"
"54","checkpoint-1000","is cardiovascular present?","yes","yes"
"55","checkpoint-1000","is anomalous origin present?","no","yes"
"56","checkpoint-1000","what is present?","nervous","brain"
"57","checkpoint-1000","what is scanty connective tissue stroma seen between?","the cavernous spaces","fibroblast-like cells"
"58","checkpoint-1000","what is present?","female reproductive","heart, coronary artery atherosclerosis"
"59","checkpoint-1000","what is present?","leukoplakia vocal cord","gastrointestinal"
"60","checkpoint-1000","is renal glomerulus composed of haphazardly interconnecting trabeculae of woven bone that are rimmed by prominent osteoblasts?","no","yes"
"61","checkpoint-1000","what is present?","mesothelioma","opened abdomen with large tumor in retroperitoneum"
"62","checkpoint-1000","are x-ray intramyocardial arteries present?","no","no"
"63","checkpoint-1000","what is present?","vasculature","heart"
"64","checkpoint-1000","what is present?","hepatobiliary","liver"
"65","checkpoint-1000","why does this image show obvious gangrenous necrosis?","due to shock or embolism postoperative cardiac surgery","due to thrombotic occlusion of right renal artery"
"66","checkpoint-1000","where is this?","lung","lung"
"67","checkpoint-1000","is hepatobiliary present?","yes","yes"
"68","checkpoint-1000","what does this image show?","normal breast","brain, infarct"
"69","checkpoint-1000","is retroperitoneal liposarcoma present?","yes","yes"
"70","checkpoint-1000","what does this image show?","cellular detail well shown","lymph node"
"71","checkpoint-1000","what is present?","liver","gastrointestinal"
"72","checkpoint-1000","is odontoid process subluxation with narrowing of foramen magnum present?","yes","yes"
"73","checkpoint-1000","what does this image show?","skin","lymph node"
"74","checkpoint-1000","what is present (top center)?","a perimysial interfascicular septum containing a blood vessel","muscle"
"75","checkpoint-1000","is leiomyosarcoma present?","no","no"
"76","checkpoint-1000","does this image show heart, acute myocardial infarction?","yes","yes"
"77","checkpoint-1000","what looks like an ascending cholangitis?","this","cut surface liver with multiple yellow lesions"
"78","checkpoint-1000","does the blue area demonstrate a well-demarcated nodule at the right of the field, with a portion of urethra seen to the left?","no","yes"
"79","checkpoint-1000","is inset enlarged diffusely?","no","yes"
"80","checkpoint-1000","where is this?","oral","oral"
"81","checkpoint-1000","does subcapsular hematoma show external view of massively enlarged spleen?","no","yes"
"82","checkpoint-1000","is metastatic carcinoma breast present?","no","no"
"83","checkpoint-1000","what joined chest and abdomen slide shows opened chest with two hearts?","this","opened abdomen with two hearts"
"84","checkpoint-1000","what does this image show?","brain","brain, hemorrhage, infarct"
"85","checkpoint-1000","what is present?","liver","lung"
"86","checkpoint-1000","what is present?","peritoneum","breast, carcinoma"
"87","checkpoint-1000","what does this image show?","ductopenia","hepatocellular carcinoma"
"88","checkpoint-1000","is vasculature present?","yes","yes"
"89","checkpoint-1000","is hepatobiliary present?","yes","yes"
"90","checkpoint-1000","what does von recklinghausen?","disease is present","syndrome"
"91","checkpoint-1000","what is present?","ameloblastoma","oral"
"92","checkpoint-1000","what does this image show?","parathyroid","lung fibrosis"
"93","checkpoint-1000","is myocardium present?","yes","yes"
"94","checkpoint-1000","are chematic mechanisms villous hypertrophy of the synovium and marked mononuclear inflammatory cell infiltrate in synovial membrane with formation of lymphoid follicles at places?","no","yes"
"95","checkpoint-1000","where is this part in?","spleen","abdomen"
"96","checkpoint-1000","where does this belong to?","endocrine system","endocrine system"
"97","checkpoint-1000","is leiomyomas present?","no","no"
"98","checkpoint-1000","what does this image show?","skeletal muscle","muscle fibrosis"
"99","checkpoint-1000","what is surrounded by palisades of macrophages and plasma cells marginated peripherally by fibroblasts?","central coagulative necrosis","tumor"
"100","checkpoint-1000","where is this from?","vasculature","oral"
"101","checkpoint-1000","is acid present?","no","yes"
"102","checkpoint-1000","what does this image show?","white muscle","kidney, nephrotic syndrome"
"103","checkpoint-1000","is muscle present?","yes","yes"
"104","checkpoint-1000","what are present?","no","hand with open fingers and fingers being closed by a scalpel"
"105","checkpoint-1000","is disease present?","yes","yes"
"106","checkpoint-1000","is optic nerve present?","no","no"
"107","checkpoint-1000","does this image show pancrease, islet amyloid, diabetes mellitus?","yes","yes"
"108","checkpoint-1000","does the sectioned surface of the lung show grey-brown, firm area of consolidation affecting a lobe?","yes","yes"
"109","checkpoint-1000","is gastrointestinal present?","yes","yes"
"110","checkpoint-1000","does mucicarmine show whorls of smooth muscle cells which are spindle-shaped, having abundant cytoplasm and oval nuclei?","no","yes"
"111","checkpoint-1000","does cervical leiomyoma show fracture line well shown very thin skull eggshell type?","no","no"
"112","checkpoint-1000","what is present?","thymus","female reproductive system"
"113","checkpoint-1000","what is present?","bone","brain"
"114","checkpoint-1000","what does this image show?","high fibrous callus with osteoid and osteoblasts","bone marrow"
"115","checkpoint-1000","is nodular tumor present?","no","no"
"116","checkpoint-1000","is myelomonocytic leukemia present?","no","yes"
"117","checkpoint-1000","what does this image show?","wide fetal zone 2 days old","brain, infarct"
"118","checkpoint-1000","is soft tissue present?","yes","yes"
"119","checkpoint-1000","do liver cells show ballooning degeneration and necrosis with some containing mallory 's hyalin inbox?","yes","yes"
"120","checkpoint-1000","what does this image show?","lung","lung fibrosis"
"121","checkpoint-1000","where is this part in the figure?","endocrine system","stomach"
"122","checkpoint-1000","what does this image show?","heart","opened skull with brain and meninges"
"123","checkpoint-1000","what is present?","nervous","brain"
"124","checkpoint-1000","does metastatic carcinoma prostate show dr garcia tumors 25?","no","no"
"125","checkpoint-1000","does fixed tissue show recurrent hepatitis c virus?","no","no"
"126","checkpoint-1000","what is present?","joints","oral"
"127","checkpoint-1000","is hand present?","no","no"
"128","checkpoint-1000","is peritoneum present?","no","no"
"129","checkpoint-1000","what is present?","downs syndrome","conjoined twins head to toe with one head and one body"
"130","checkpoint-1000","is glomerulosa present?","no","yes"
"131","checkpoint-1000","where is this?","urinary","kidney"
"132","checkpoint-1000","where does this belong to?","endocrine system","endocrine system"
"133","checkpoint-1000","is broad base also identified?","no","yes"
"134","checkpoint-1000","is hepatobiliary present?","yes","yes"
"135","checkpoint-1000","is this good yellow color slide present?","no","no"
"136","checkpoint-1000","what is present?","gastrointestinal","colon, adenocarcinoma"
"137","checkpoint-1000","how is this typical thecoma with yellow foci quite?","obvious","typical"
"138","checkpoint-1000","where is this part in?","spleen","oral"
"139","checkpoint-1000","what stain?","alpha smooth muscle actin immunohistochemical","immunohistochemistry for vimentin"
"140","checkpoint-1000","what is present?","linear fracture in occiput","skull"
"141","checkpoint-1000","what does this image show?","sternum saggital section obvious neoplasm from lung scar carcinoma","fractured vertebrae with osteomyelitis"
"142","checkpoint-1000","is hepatobiliary present?","yes","yes"
"143","checkpoint-1000","what is one collapsed?","vertebra and filled with neoplasm looks like breast carcinoma but an unclassified lymphoma","vertebra"
"144","checkpoint-1000","does exposure show primary biliary cirrhosis?","no","no"
"145","checkpoint-1000","what does this image show?","brain","lung"
"146","checkpoint-1000","is pus in test tube present?","no","no"
"147","checkpoint-1000","is there no ovary present to indicate the location of the tumor mass?","yes","yes"
"148","checkpoint-1000","what are present?","extremities","conjoined twins head to toe"
"149","checkpoint-1000","does bone biopsy show a band-like mononuclear infiltrate with a sharply-demarcated lower border?","no","no"
"150","checkpoint-1000","is fat necrosis present?","no","yes"
"151","checkpoint-1000","what is present?","cardiovascular","coronary artery atherosclerosis"
"152","checkpoint-1000","does beckwith-wiedemann syndrome show heart transplant, 2 years post surgery?","no","no"
"153","checkpoint-1000","is respiratory present?","yes","yes"
"154","checkpoint-1000","what does this image show?","islet cell carcinoma","intestine with polyps"
"155","checkpoint-1000","does angiogram show postmortangiogram with apparent lesions in proximal right coronary?","no","yes"
"156","checkpoint-1000","does breast show vasculitis, polyarteritis nodosa?","no","no"
"157","checkpoint-1000","are laceration of the scalp seen microscopically?","no","yes"
"158","checkpoint-1000","what recklinghausens disease is present?","von","face"
"159","checkpoint-1000","does this image show a very close-up view of typical gross lesions?","yes","yes"
"160","checkpoint-1000","what is present?","endocrine","thymus"
"161","checkpoint-1000","is joints present?","yes","yes"
"162","checkpoint-1000","is fibrinous peritonitis present?","no","yes"
"163","checkpoint-1000","is the unknown origin in mandible a guess?","yes","no"
"164","checkpoint-1000","what is present?","female reproductive","brain"
"165","checkpoint-1000","how does this image show vertebral body gross is islands of tumor?","with stimulated new bone formation a desmoplastic reaction to the additional micros are and","with osteolysis and osteoblastic reaction"
"166","checkpoint-1000","what is present?","endocrine","female reproductive system, uterus, leiomyoma"
"167","checkpoint-1000","what is present?","joints","fracture, distal tibia"
"168","checkpoint-1000","what is present?","cardiovascular","gastrointestinal"
"169","checkpoint-1000","is bone marrow present?","yes","yes"
"170","checkpoint-1000","what are present?","extremities","extremities, cyanosis"
"171","checkpoint-1000","what are the characteristic histologic features?","villous hypertrophy of the synovium and marked mononuclear inflammatory cell","Intact mucosa with few inflammatory cells"
"172","checkpoint-1000","does this image show prosthetic mitral valve, carpentier-edwards valve bovine pericardial bioprosthesis?","yes","yes"
"173","checkpoint-1000","how does this image show portion of nose typical exophytic lesion?","with heaped-up margins and central ulceration","with ulceration and hemorrhage"
"174","checkpoint-1000","where is this?","pancreas","oral"
"175","checkpoint-1000","is pus in test tube present?","no","no"
"176","checkpoint-1000","what is the vessel wall infiltrated with?","leukocytes","lymphocytes"
"177","checkpoint-1000","is chronic lymphocytic leukemia necrotizing?","no","yes"
"178","checkpoint-1000","what is present?","liver","lung"
"179","checkpoint-1000","does this image show close-up of cut surface?","yes","yes"
"180","checkpoint-1000","what is present?","hematologic","heart, aorta, aneurysm"
"181","checkpoint-1000","what does this image show?","facial abscess","face, edema, severe"
"182","checkpoint-1000","is hepatobiliary present?","yes","yes"
"183","checkpoint-1000","where is this?","skin","abdomen"
"184","checkpoint-1000","what is present?","hepatobiliary","gastrointestinal"
"185","checkpoint-1000","is opened bladder with median lobe protruding into trigone area also present?","no","yes"
"186","checkpoint-1000","is follicular lymphoma contrasted with structure of normal lymph node a?","yes","yes"
"187","checkpoint-1000","the mature red cells are released into circulation , which on completion of whose lifespan of 120 days , die?","their","120 days"
"188","checkpoint-1000","what does this image show?","periaortic nodes with metastatic carcinoma aorta shows good atherosclerotic plaques","opened abdomen with large tumor in lower abdomen and pelvis"
"189","checkpoint-1000","what is present?","endocrine","gastrointestinal"
"190","checkpoint-1000","what does microscopic examination reveal?","large cells with distinct cell borders","lymphocytes"
"191","checkpoint-1000","does this image show normal lung?","yes","yes"
"192","checkpoint-1000","is leiomyoma present?","yes","yes"
"193","checkpoint-1000","what is present?","hematologic","blood, granulocyte"
"194","checkpoint-1000","is vasculature present?","yes","yes"
"195","checkpoint-1000","is hepatobiliary present?","yes","yes"
"196","checkpoint-1000","is this typical thecoma with yellow foci present?","no","yes"
"197","checkpoint-1000","what does the upper dermis show?","a band-like mononuclear infiltrate with a sharply-demarcated lower border","increased number of melanocytes"
"198","checkpoint-1000","does this image show numerous large thrombi?","yes","yes"
"199","checkpoint-1000","is mesothelioma present?","no","yes"
"200","checkpoint-1000","what are present?","extremities","extremities, gangrenous necrosis"
"201","checkpoint-1000","where is this?","skin","oral"
"202","checkpoint-1000","is digital infarcts bacterial endocarditis present?","no","yes"
"203","checkpoint-1000","does yellow color show opened cranial vault with many frontal and right temporal fossa fractures?","no","no"
"204","checkpoint-1000","does hepatobiliary show kidney, infarct?","no","no"
"205","checkpoint-1000","did these cells spread to lungs, liver, spleen, kidneys and brain?","no","yes"
"206","checkpoint-1000","is peritoneum present?","no","no"
"207","checkpoint-1000","what is identical to that of seminoma of the testis?","histologic appearance","endocrine system"
"208","checkpoint-1000","what is present?","metastatic carcinoma lung","kidney"
"209","checkpoint-1000","what is atherosclerosis left?","anterior descending coronary artery","right"
"210","checkpoint-1000","does acute peritonitis show fixed tissue typical appearance of tuberculous peritonitis except for color being off a bit?","no","yes"
"211","checkpoint-1000","what is present?","gastrointestinal","oral"
"212","checkpoint-1000","is fibrous meningioma present?","no","yes"
"213","checkpoint-1000","is aorta present?","yes","yes"
"214","checkpoint-1000","is the moderate-power view of the plaque demonstrated by a lack of triphenyltetrazolium chloride staining in areas of necrosis?","no","yes"
"215","checkpoint-1000","does mucinous cystadenocarcinoma show typical lesion with giant cells and foreign material?","no","no"
"216","checkpoint-1000","where does this belong to?","endocrine system","female reproductive system"
"217","checkpoint-1000","what does this image show?","gout","vasculitis"
"218","checkpoint-1000","does this image show primary biliary cirrhosis?","yes","yes"
"219","checkpoint-1000","does lymphangiomatosis generalized show large necrotic ulcers over sacrum buttocks and hips?","no","no"
"220","checkpoint-1000","what is present?","uterus","brain"
"221","checkpoint-1000","is amputation stump infected present?","no","yes"
"222","checkpoint-1000","are disse blood-filled vascular channels lined by endothelial cells and surrounded by nests and masses of glomus cells?","no","yes"
"223","checkpoint-1000","do fibroma stain?","no","yes"
"224","checkpoint-1000","what does this image show?","good for banding pattern mitochondria","muscle cell with myofibrils"
"225","checkpoint-1000","where is this part in the figure?","endocrine system","lung"
"226","checkpoint-1000","where is this?","lung","oral"
"227","checkpoint-1000","is lateral view present?","no","no"
"228","checkpoint-1000","is palpable purpura with desquamation present?","yes","yes"
"229","checkpoint-1000","what are expelled?","2","progesterone-induced secretory changes"
"230","checkpoint-1000","is esophagus present?","no","yes"
"231","checkpoint-1000","where is this?","urinary","heart"
"232","checkpoint-1000","does one marrow trephine biopsy in aplastic anaemia contain caseating epithelioid cell granulomas having giant cells and lymphocytes?","no","no"
"233","checkpoint-1000","what is present?","vasculature","endocrine, thyroid"
"234","checkpoint-1000","what is surrounded by increased fat?","matted mass of lymph nodes","lymph node"
"235","checkpoint-1000","what is present?","endocrine","lung"
"236","checkpoint-1000","are thalassaemia and hbd the haemoglobin disorders common in india?","yes","yes"
"237","checkpoint-1000","what does this image show?","close-up hilar node with anthracotic pigment and metastatic small cell carcinoma from lung good example","close-up view of atherosclerotic plaque with lipid core and thrombotic material"
"238","checkpoint-1000","does this image show normal brain?","yes","no"
"239","checkpoint-1000","what is present?","eye","eye"
"240","checkpoint-1000","does bone, skull show moderate acute rejection?","no","no"
"241","checkpoint-1000","is endocrine present?","yes","yes"
"242","checkpoint-1000","what is present?","supernumerary digits","extremities"
"243","checkpoint-1000","does this image show uterus, leiomyoma?","yes","yes"
"244","checkpoint-1000","is cardiovascular present?","yes","yes"
"245","checkpoint-1000","what is present?","brain","brain, hemorrhage, infarct"
"246","checkpoint-1000","does cervix duplication show close-up of foramen magnum stenosis due to subluxation of atlas vertebra case 31?","no","no"
"247","checkpoint-1000","is the margin congested?","yes","yes"
"248","checkpoint-1000","where does this part belong to?","female reproductive system","female reproductive system"
"249","checkpoint-1000","does this image show facial abscess?","yes","yes"
"250","checkpoint-1000","what does this image show?","lung","lung, pulmonary edema"
"251","checkpoint-1000","what is present?","bone marrow","blood, reticulocytes"
"252","checkpoint-1000","does this image show tracheotomy site, granulation tissue?","yes","yes"
"253","checkpoint-1000","what is present?","hepatobiliary","liver"
"254","checkpoint-1000","is there moderate microcytosis and hypochromia?","yes","yes"
"255","checkpoint-1000","what is present?","oral","oral"
"256","checkpoint-1000","what is well-encapsulated with compression of surrounding thyroid parenchyma?","tumour","thyroid capsule"
"257","checkpoint-1000","is ml present?","no","no"
"258","checkpoint-1000","is sacrococcygeal teratoma present?","no","no"
"259","checkpoint-1000","where is this area in the body?","heart","heart"
"260","checkpoint-1000","what are present?","extremities","hand"
"261","checkpoint-1000","does this image show papillary cystadenoma lymphomatosum warthins?","yes","yes"
"262","checkpoint-1000","where is this?","urinary","female reproductive system"
"263","checkpoint-1000","does this image show med excellent example of perineural invasion?","yes","yes"
"264","checkpoint-1000","what is present?","urinary","brain"
"265","checkpoint-1000","what is present?","endocrine","kidney"
"266","checkpoint-1000","what is present?","eye","endocrine, thyroid"
"267","checkpoint-1000","is hematologic present?","yes","yes"
"268","checkpoint-1000","is metastatic carcinoma oat cell present?","no","no"
"269","checkpoint-1000","is respiratory present?","yes","yes"
"270","checkpoint-1000","what requires dark room to see subtle distal phalangeal cyanosis?","case of dic not bad photo","close-up view of hand"
"271","checkpoint-1000","what is present?","nervous","brain, frontal lobe, infarct"
"272","checkpoint-1000","how is histologic appearance of leukoplakia showing dysplasia characterized?","by nuclear and cellular pleomorphism and loss of normal maturation","by presence of atypical cells"
"273","checkpoint-1000","is good example of veins filled with blood?","yes","yes"
"274","checkpoint-1000","what does this image show?","kidney","lymph node"
"275","checkpoint-1000","how does case of dic not bad photo require dark room to see subtle phalangeal cyanosis?","distal","not bad photo"
"276","checkpoint-1000","how does both adrenals external views focal hemorrhages do not know history look like abruption?","placental","cut surface of adrenal glands with hemorrhage and necrosis"
"277","checkpoint-1000","does esophagus show skeletal muscle, atrophy due to immobilization cast?","no","no"
"278","checkpoint-1000","does hemorrhage in newborn show colon, ulcerative colitis?","no","no"
"279","checkpoint-1000","what is composed of neutrophils and macrophages?","nfiltrate in the lumina","granuloma"
"280","checkpoint-1000","are salt bridges formed again?","yes","yes"
"281","checkpoint-1000","where is this?","lung","lung"
"282","checkpoint-1000","what is present?","spleen","kidney, infarct"
"283","checkpoint-1000","does atrophy secondary to pituitectomy show esohagus, candida?","no","no"
"284","checkpoint-1000","what is present?","liver","lung"
"285","checkpoint-1000","what is present?","umbilical cord","testicles"
"286","checkpoint-1000","does notochord show heart, myocardial infarction, surgery to repair interventricular septum rupture?","no","no"
"287","checkpoint-1000","is abdomen present?","yes","yes"
"288","checkpoint-1000","what is present?","cardiovascular","vasculature"
"289","checkpoint-1000","is oral present?","yes","yes"
"290","checkpoint-1000","is fixed lesions present?","no","yes"
"291","checkpoint-1000","what is present?","hepatobiliary","endocrine system"
"292","checkpoint-1000","what is present?","vasculature","vasculature"
"293","checkpoint-1000","what does child have?","child","conjoined twins head to toe"
"294","checkpoint-1000","what is present?","postpartum","brain"
"295","checkpoint-1000","is retroperitoneal leiomyosarcoma present?","no","yes"
"296","checkpoint-1000","does this image show brain, frontal lobe atrophy, pick 's disease?","yes","yes"
"297","checkpoint-1000","does size show islet cell carcinoma?","no","no"
"298","checkpoint-1000","what is present?","oral","gastrointestinal"
"299","checkpoint-1000","where is this?","oral","oral"
"300","checkpoint-1000","is intraductal lesions present?","no","yes"
"301","checkpoint-1000","does this image show polyarteritis nodosa?","yes","yes"
"302","checkpoint-1000","does this image show ruptured saccular aneurysm right middle cerebral artery?","yes","yes"
"303","checkpoint-1000","where does this belong to?","female reproductive system","endocrine system"
"304","checkpoint-1000","what is present?","testicle","female reproductive system"
"305","checkpoint-1000","does sectioned surface of the lung show replacement of slaty-grey spongy parenchyma with multiple, firm, grey-white nodular masses, some having areas of haemorhages and necrosis?","yes","yes"
"306","checkpoint-1000","where is this from?","heart","brain"
"307","checkpoint-1000","what is present?","hematologic","spleen"
"308","checkpoint-1000","what is present?","cardiovascular","heart, enlarged"
"309","checkpoint-1000","does outside adrenal capsule section show stomach, chronic peptic ulcer?","no","yes"
"310","checkpoint-1000","is female reproductive present?","yes","yes"
"311","checkpoint-1000","what is composed of melanocytes that lose pigmentation and become smaller and more dispersed as they extend into the dermis-all signs that speak to the benign nature of the proliferation?","the nevus","epidermis"
"312","checkpoint-1000","what is present?","joints","fracture"
"313","checkpoint-1000","what does this image show?","gms granuloma due to pneumocystis aids case","brain, infarcts, hemorrhage, blue stain"
"314","checkpoint-1000","is there marked thinning of the epidermis, fibrosis of the superficial dermis, and chronic inflammatory cells in the deeper dermis?","yes","yes"
"315","checkpoint-1000","what looks like placental abruption?","history","close-up view of cut surface of uterus with large hematoma"
"316","checkpoint-1000","does the cytoplasm show granulation tissue and gliosis?","no","yes"
"317","checkpoint-1000","what does this image show?","normal lung","liver"
"318","checkpoint-1000","what does this image show?","dentinogenesis imperfecta","oral cavity"
"319","checkpoint-1000","where is this part in?","spleen","abdomen"
"320","checkpoint-1000","what does this image show?","heart","heart, open view of left ventricle"
"321","checkpoint-1000","is cardiovascular present?","yes","yes"
"322","checkpoint-1000","what does this image show?","normal pancreas","opened colon with tumor"
"323","checkpoint-1000","does this image show x-ray sternum healing fracture 15 days?","yes","yes"
"324","checkpoint-1000","does sectioned surface of the sac show thick wall coated internally by brownish, tan and necrotic material which is organised blood clot arrow?","yes","yes"
"325","checkpoint-1000","is the embolus composed of hematopoietic marrow and marrow fat cells attached to a thrombus?","yes","yes"
"326","checkpoint-1000","is cardiovascular present?","yes","yes"
"327","checkpoint-1000","where is this?","urinary","abdomen"
"328","checkpoint-1000","is oral present?","yes","yes"
"329","checkpoint-1000","what does this image show?","patient before surgery lesion in clavicle","scoliosis"
"330","checkpoint-1000","does this image show mesentery with involved nodes?","yes","yes"
"331","checkpoint-1000","is tuberculous peritonitis present?","no","yes"
"332","checkpoint-1000","is lymph node present?","yes","yes"
"333","checkpoint-1000","what is associated with chronic alcohol use?","hepatoctye injury in fatty liver disease","liver fibrosis"
"334","checkpoint-1000","is side present?","no","no"
"335","checkpoint-1000","does this image show rabbit lesion with foam cell immediately beneath endothelium?","yes","yes"
"336","checkpoint-1000","what is present?","gastrointestinal","gastrointestinal"
"337","checkpoint-1000","is opened muscle present?","no","yes"
"338","checkpoint-1000","does this image show postmortangiogram with apparent lesions in proximal right coronary?","yes","yes"
"339","checkpoint-1000","what does this image show?","cut surfaces of both adrenals focal hemorrhagic infarction well shown do not know history looks like placental abruption","heart, infarct"
"340","checkpoint-1000","what is present?","gastrointestinal","gastrointestinal"
"341","checkpoint-1000","what is largely extending into soft tissues including the skeletal muscle?","tumour","the tumor"
"342","checkpoint-1000","does this image show but not good color petechiae and purpura case of stcell leukemia?","yes","yes"
"343","checkpoint-1000","where is this part in the figure?","endocrine system","oral"
"344","checkpoint-1000","is supernumerary digits present?","yes","yes"
"345","checkpoint-1000","does this image show spinal cord injury due to vertebral column trauma, demyelination?","yes","yes"
"346","checkpoint-1000","what does this image show?","tracheotomy site","lymph node"
"347","checkpoint-1000","do acid stain stain numerous acid fast bacilli very good slide?","yes","yes"
"348","checkpoint-1000","where does this belong to?","endocrine system","endocrine system"
"349","checkpoint-1000","what is present?","thecoma","ovaries"
"350","checkpoint-1000","does appendix show chronic osteomyelitis?","no","no"
"351","checkpoint-1000","is aorta present?","no","yes"
"352","checkpoint-1000","is cut edge of mesentery present?","no","no"
"353","checkpoint-1000","what is present?","vasculature","coronary artery atherosclerosis"
"354","checkpoint-1000","what is present?","cardiovascular","muscle cell, sarcomere"
"355","checkpoint-1000","is there hyperkeratosis, focal hypergranulosis and irregular acanthosis with elongated saw-toothed rete ridges?","yes","yes"
"356","checkpoint-1000","does chronic lymphocytic leukemia show gemination?","no","no"
"357","checkpoint-1000","what is present?","respiratory","lung, pulmonary embolism"
"358","checkpoint-1000","what is present?","cardiovascular","coronary arteries"
"359","checkpoint-1000","what does this image show?","kidney","kidney, infarct"
"360","checkpoint-1000","what is present?","liver","lymph node"
"361","checkpoint-1000","is herpes simplex present?","yes","no"
"362","checkpoint-1000","is mesothelioma present?","no","yes"
"363","checkpoint-1000","is cardiovascular present?","yes","yes"
"364","checkpoint-1000","does surface show photo of whole body showing head laterally with no chin?","no","yes"
"365","checkpoint-1000","does abdomen show colon, villous polyp and adenocarcinoma?","no","no"
"366","checkpoint-1000","is female reproductive present?","yes","yes"
"367","checkpoint-1000","what does this image show?","mostly head in photo gory edema","face of infant with cleft palate and palate clefts"
"368","checkpoint-1000","is urinary present?","yes","yes"
"369","checkpoint-1000","what does this image show?","rather good view of mesentery with typical large nodes case which may have been a t-cell lymphoma","opened abdomen with sigmoid colon and sigmoid colon volvulus"
"370","checkpoint-1000","is spleen present?","yes","yes"
"371","checkpoint-1000","what does gomori methenamine-silver (gms) stain show?","septate hyphae with acute-angle branching","fungal hyphae"
"372","checkpoint-1000","what intervening tumor tissue very good?","nodular parenchyma and dense","opened abdomen with tumor in colon"
"373","checkpoint-1000","is gms present?","no","no"
"374","checkpoint-1000","what is present?","breast","breast carcinoma"
