ID,question,correct_answer,model_output
48,is schematic diagram of intimal thickening emphasize intimal smooth muscle cell migration and proliferation associated with extracellular matrix synthesis?,yes,yes
49,what is present?,abdomen,pale tissue fragments
50,is abdomen present?,yes,no
51,where is this area in the body?,abdomen,esophagus
52,what is present?,abdomen,pale tissue fragments
53,what does this image show?,close-up view of metastatic lesions color not the best papillary serous adenocarcinoma of ovary,multiple pale yellow nodules
54,does this image show close-up view of metastatic lesions color not the best papillary serous adenocarcinoma of ovary?,yes,yes
55,what is present?,abdomen,multiple pale yellow lesions
56,is abdomen present?,yes,no
57,what is present?,peritoneum,multiple pale yellow lesions
58,is peritoneum present?,yes,no
59,did nuclear pleomorphism emphasize intimal smooth muscle cell migration and proliferation associated with extracellular matrix synthesis?,no,no
60,where is this area in the body?,abdomen,limb
61,what is present?,abdomen,multiple pale yellow lesions
62,what is present?,peritoneum,multiple pale yellow lesions
63,does this image show opened abdomen with ischemic appearing intestines bound by neoplastic adhesions good but not the best ovarian papillary adenocarcinoma?,yes,opened abdomen ischemic appearing intestines neoplastic adhesions ovarian papillary adenocarcinoma
64,what is present?,abdomen,"tissue discoloration
hematoma
surgical incision
tissue masses"
65,is abdomen present?,yes,no
66,is tuberculous peritonitis present?,no,yes
67,what is present?,peritoneum,"tissue discoloration
hematoma
surgical incision
tissue masses"
68,is peritoneum present?,yes,yes
69,is an opened peritoneal cavity cause by fibrous band strangulation present?,no,yes
70,what is moderately narrowed by this eccentric lesion?,the lumen,arterial lumen
71,where is this area in the body?,abdomen,pelvis
72,what bound by neoplastic adhesions good but not the best ovarian papillary adenocarcinoma?,opened abdomen with ischemic appearing intestines,neoplastic adhesions
73,what is opened abdomen with ischemic appearing intestines bound?,by neoplastic adhesions good but not the best ovarian papillary adenocarcinoma,"opened abdomen
ischemic intestines
bound"
74,what is present?,abdomen,"tissue discoloration
hematoma
surgical incision
tissue masses"
75,what is present?,peritoneum,"tissue discoloration
hematoma
surgical incision
tissue masses"
76,what does this image show?,a very close-up view of typical gross lesions,scar tissue
77,does this image show a very close-up view of typical gross lesions?,yes,yes
78,what is present?,abdomen,"scar tissue
pink streaks"
79,is abdomen present?,yes,no
80,is opened abdominal cavity with massive tumor in omentum none apparent in liver nor over peritoneal surfaces gut present?,no,is opened abdominal cavity with massive tumor in omentum none apparent in liver nor over peritoneal surfaces gut present
81,what is the lumen narrowed by?,eccentric lesion,fibrous tissue
82,what is present?,peritoneum,"scar tissue
pink streaks"
83,is peritoneum present?,yes,no
84,is tuberculosis present?,no,no
85,what is present?,tuberculous peritonitis,"scar tissue
pink streaks"
86,is tuberculous peritonitis present?,yes,no
87,where is this area in the body?,abdomen,skin
88,what is present?,abdomen,"scar tissue
pink streaks"
89,what is present?,peritoneum,"scar tissue
pink streaks"
90,what is present?,tuberculous peritonitis,"scar tissue
pink streaks"
91,what does this image show?,massive node enlargement like a lymphoma,reddish tissue mass
92,"is the lumen moderately narrowed by this eccentric lesion, which leaves part of the vessel wall unaffected?",yes,yes
93,does this image show massive node enlargement like a lymphoma?,yes,yes
94,does abdomen show massive node enlargement like a lymphoma?,no,yes
95,what is present?,abdomen,red tissue mass
96,is abdomen present?,yes,no
97,is tuberculous peritonitis present?,no,no
98,what is present?,mesentery,red tissue mass
99,is mesentery present?,yes,yes
100,is carcinomatosis present?,no,yes
101,what is present?,acute lymphocytic leukemia,red tissue mass
102,is acute lymphocytic leukemia present?,yes,no
103,"are skin stem cells moderately narrowed by this eccentric lesion, which leaves part of the vessel wall unaffected?",no,yes
104,is fat necrosis present?,no,no
105,where is this area in the body?,abdomen,colon
106,what is present?,abdomen,red tissue mass
107,what is present?,mesentery,red tissue mass
108,what is present?,acute lymphocytic leukemia,red tissue mass
109,does this image show opened abdomen showing tumor everywhere this also could be peritoneal carcinomatosis it looks the same?,yes,opened abdomen showing tumor widespread infiltration
110,does leiomyosarcoma show opened abdomen showing tumor everywhere this also could be peritoneal carcinomatosis it looks the same?,no,tumor present in abdominal cavity
111,what is present?,mesothelioma,tissue mass
112,is mesothelioma present?,yes,yes
113,is carcinomatosis present?,no,yes
114,are the photomicrographs packed with laminated swirls of fetal squamous cells?,no,yes
115,what are attenuated?,the internal and external elastic membranes,vessels
116,where is this area in the body?,abdomen,brain
117,what is present?,mesothelioma,tissue mass
118,what does this image show?,cut surface of lesion natural color typical appearance of a sarcoma fish flesh and yellow areas suggesting of liposarcoma which it was,large pale masses
119,what is present?,abdomen,multiple pale masses
120,is abdomen present?,yes,yes
121,what is present?,peritoneum,multiple pale masses
122,is peritoneum present?,yes,yes
123,what is present?,retroperitoneal liposarcoma,multiple pale masses
124,is retroperitoneal liposarcoma present?,yes,yes
125,where is this area in the body?,abdomen,retroperitoneum
126,are the internal and external elastic membranes attenuated?,yes,yes
127,what is present?,abdomen,multiple pale masses
128,what is present?,peritoneum,multiple pale masses
129,what is present?,retroperitoneal liposarcoma,multiple pale masses
130,what does this image show?,opened body cavity with necrotic bowel and heavy fibrin exudate,intestinal tissue with discoloration and ulceration
131,does this image show opened body cavity with necrotic bowel and heavy fibrin exudate?,yes,yes
132,does leiomyosarcoma show opened body cavity with necrotic bowel and heavy fibrin exudate?,no,yes
133,what is present?,abdomen,intestinal tissue discoloration necrosis
134,is abdomen present?,yes,yes
135,is opened abdominal cavity with massive tumor in omentum none apparent in liver nor over peritoneal surfaces gut present?,no,is opened abdominal cavity with massive tumor in omentum none apparent in liver nor over peritoneal surfaces gut present
136,what is present?,peritoneum,intestinal tissue discoloration necrosis
137,are the available anabolic circuits attenuated?,no,yes
138,is peritoneum present?,yes,yes
139,is metastatic carcinoma prostate present?,no,no
140,what is present?,fibrinous peritonitis,intestinal tissue discoloration necrosis
141,is fibrinous peritonitis present?,yes,yes
142,is slices of liver and spleen typical tuberculous exudate is present on capsule of liver and spleen present?,no,"slicing of liver and spleen present
tuberculous exudate present"
143,where is this area in the body?,abdomen,abdomen
144,what is present?,abdomen,intestinal tissue discoloration necrosis
145,what is present?,peritoneum,intestinal tissue discoloration necrosis
146,what is present?,fibrinous peritonitis,intestinal tissue discoloration necrosis
147,what does this image show?,outstanding example of granuloma with langhans giant cell,fat tissue with inflammatory cells
148,"what is shown in the figure, stained for elastin (black)?",moderate-power view of the plaque,vessel walls
149,how does this image show outstanding example of granuloma?,with langhans giant cell,Granulomas are present with multinucleated giant cells and inflammatory cell infiltration.
150,does this image show outstanding example of granuloma with langhans giant cell?,yes,no
151,does this show outstanding example of granuloma with langhans giant cell?,no,no
152,what is present?,abdomen,"adipose tissue
lymphocytes
inflammatory cells
blood vessels"
153,is abdomen present?,yes,no
154,is opened abdominal cavity with massive tumor in omentum none apparent in liver nor over peritoneal surfaces gut present?,no,massive tumor omentum
155,what is present?,peritoneum,"adipose tissue
lymphocytes
inflammatory cells
blood vessels"
156,is peritoneum present?,yes,yes
157,is carcinomatosis endometrium primary present?,no,no
158,what is present?,tuberculosis,"adipose tissue
lymphocytes
inflammatory cells
blood vessels"
159,what is moderate-power view of the plaque shown the figure stained for?,elastin (black),haemoglobin
160,is tuberculosis present?,yes,no
161,is opened muscle present?,no,yes
162,what is present?,abdomen,"adipose tissue
lymphocytes
inflammatory cells
blood vessels"
163,what is present?,peritoneum,"adipose tissue
lymphocytes
inflammatory cells
blood vessels"
164,what is present?,tuberculosis,"adipose tissue
lymphocytes
inflammatory cells
blood vessels"
165,what does this image show?,outstanding example of a tubercular granuloma same as in slide seen at low classical granuloma with langhans giant cell,neutrophils and a central core
166,does this image show outstanding example of a tubercular granuloma same as in slide seen at low classical granuloma with langhans giant cell?,yes,no
167,what is present?,abdomen,"neutrophils
lymphocytes
plasma cells
fibroblasts
vascular proliferation
inflammatory infiltrate"
168,is abdomen present?,yes,no
169,is tuberculous peritonitis present?,no,no
170,is the plaque stained for elastin (black)?,yes,no
171,what is present?,peritoneum,"neutrophils
lymphocytes
plasma cells
fibroblasts
vascular proliferation
inflammatory infiltrate"
172,is peritoneum present?,yes,no
173,is peritoneal fluid present?,no,no
174,what is present?,tuberculosis,"neutrophils
lymphocytes
plasma cells
fibroblasts
vascular proliferation
inflammatory infiltrate"
175,is tuberculosis present?,yes,granulomas are present
176,is this present?,no,neutrophils
177,what seen at low classical granuloma with langhans giant cell?,outstanding example of a tubercular same as in slide,central core granuloma langhans giant cell inflammatory cells
178,what is outstanding example of a tubercular granuloma same as in slide seen?,at low classical with langhans giant cell,caseous granuloma
179,what is present?,abdomen,"neutrophils
lymphocytes
plasma cells
fibroblasts
vascular proliferation
inflammatory infiltrate"
180,what is present?,peritoneum,"neutrophils
lymphocytes
plasma cells
fibroblasts
vascular proliferation
inflammatory infiltrate"
181,"is the intact basement membrane shown in the figure, stained for elastin black?",no,no
182,what is present?,tuberculosis,"neutrophils
lymphocytes
plasma cells
fibroblasts
vascular proliferation
inflammatory infiltrate"
183,what fast stain numerous acid fast bacilli very good slide?,acid,acid fast bacilli
184,what do acid stain?,stain numerous fast bacilli very good slide,red granules
185,do acid stain stain numerous acid fast bacilli very good slide?,yes,no
186,do retroperitoneum stain stain numerous acid fast bacilli very good slide?,no,no
187,what does this image show?,acid fast stain numerous acid fast bacilli very good slide,blue cells with red staining
188,does this image show acid fast stain numerous acid fast bacilli very good slide?,yes,no
189,does surface show acid fast stain numerous acid fast bacilli very good slide?,no,no
190,what is present?,abdomen,blue cells and red staining
191,is abdomen present?,yes,no
192,is the media of the artery thinned under the most advanced plaque?,yes,yes
193,is liver with tuberculoid granuloma in glissons present?,no,no
194,what is present?,peritoneum,blue cells and red staining
195,is peritoneum present?,yes,no
196,is acute peritonitis present?,no,no
197,what is present?,tuberculosis,blue cells and red staining
198,is tuberculosis present?,yes,granulomas present
199,is nodular tumor present?,no,no
200,what stain numerous acid fast bacilli very good slide?,acid,acid fast bacilli
201,what is present?,abdomen,blue cells and red staining
202,what is present?,peritoneum,blue cells and red staining
203,is energy stores thinned under the most advanced plaque?,no,yellow areas present
204,what is present?,tuberculosis,blue cells and red staining
205,what does this image show?,excised tumor mass,red tissue mass
206,does this image show excised tumor mass?,yes,yes
207,does carcinomatosis endometrium primary show excised tumor mass?,no,excised tumor mass
208,what is present?,sacrococcygeal teratoma,red tissue masses
209,is sacrococcygeal teratoma present?,yes,yes
210,is omentum present?,no,yes
211,what is present?,sacrococcygeal teratoma,red tissue masses
212,what does this image show?,posterior view to show open cord,red tissue
213,does this image show posterior view to show open cord?,yes,yes
214,what is in a patient who died suddenly?,plaque rupture without superimposed thrombus,vessel wall thickening
215,does leiomyosarcoma show posterior view to show open cord?,no,yes
216,what is present?,anencephaly,"red tissue
blood
dark staining"
217,is anencephaly present?,yes,yes
218,is digits present?,no,no
219,what is present?,anencephaly,"red tissue
blood
dark staining"
220,what does this image show?,mostly head in photo gory edema,macrocephaly with facial edema
221,does this image show mostly head in photo gory edema?,yes,yes
222,does surface show mostly head in photo gory edema?,no,yes
223,what is present?,lymphangiomatosis,"facial swelling
prominent forehead
flattened nasal bridge
small mouth opening
visible ear structures
skin discoloration"
224,is lymphangiomatosis present?,yes,yes
225,what is edematous and congested?,the surrounding lung,alveoli
226,what is plaque rupture without?,superimposed thrombus,intraluminal plaque
227,is carcinomatosis present?,no,no
228,what is present?,lymphangiomatosis,"facial swelling
prominent forehead
flattened nasal bridge
small mouth opening
visible ear structures
skin discoloration"
229,what does this image show?,anterior view of whole body,fetal remains
230,does this image show anterior view of whole body?,yes,no
231,does granulomata slide show anterior view of whole body?,no,yes
232,what is present?,lymphangiomatosis,fetal tissue red coloration irregular surface patches bone fragment
233,is lymphangiomatosis present?,yes,yes
234,is metastatic carcinoma prostate present?,no,no
235,what is present?,lymphangiomatosis,fetal tissue red coloration irregular surface patches bone fragment
236,does this image show typical not advanced macerated stillborn?,yes,yes
237,"what is superimposed on an atherosclerotic plaque with focal disruption of the fibrous cap, triggering fatal myocardial infarction?",acute coronary throm-bosis,hemorrhage
238,does acute peritonitis show typical not advanced macerated stillborn?,no,yes
239,what does this image show?,posterior view of whole body to buttocks,oral mucosa with bleeding and ulceration
240,does this image show posterior view of whole body to buttocks?,yes,no
241,does typical tuberculous exudate show posterior view of whole body to buttocks?,no,no
242,what is present with open spine?,anencephaly,red tissue bleeding
243,is anencephaly with open spine present?,yes,no
244,is liver with tuberculoid granuloma in glissons with open spine present?,no,no
245,what are slide?,this whole body photo showing widened abdomen due to diastasis recti and crease in ear lobe face is and kidneys with bilateral pelvic-ureteral strictures,slide
246,what are this whole body photo showing widened abdomen due to diastasis recti and crease in ear lobe face is slide and kidneys with bilateral pelvic-ureteral strictures?,strictures,widened abdomen diastasis recti facial crease slide kidneys bilateral pelvic-ureteral strictures
247,what is present?,beckwith-wiedemann syndrome,"macroglossia
hydrocephalus
clubfoot
ectrophy
palmar asymmetry"
248,what is acute coronary throm-bosis superimposed on?,an atherosclerotic plaque with focal disruption of the fibrous cap,arterial wall
249,what are slide?,this whole body photo showing widened abdomen due to diastasis recti and crease in ear lobe face is and kidneys with bilateral pelvic-ureteral strictures,slide
250,what are this whole body photo showing widened abdomen due to diastasis recti and crease in ear lobe face is slide and kidneys with bilateral pelvic-ureteral strictures?,strictures,widened abdomen diastasis recti facial crease slide kidneys bilateral pelvic-ureteral strictures
251,what is present?,beckwith-wiedemann syndrome,"macroglossia
hydrocephalus
clubfoot
ectrophy
palmar asymmetry"
252,what joined at chest and abdomen?,lateral view,conjoined twins
253,what is lateral view joined?,at chest and abdomen,conjoined twins
254,is lateral view joined at chest and abdomen?,yes,joined at chest and abdomen
255,what does this image show?,lateral view joined at chest and abdomen,conjoined twins
256,does this image show lateral view joined at chest and abdomen?,yes,yes
257,what is present?,siamese twins,conjoined twins
258,is siamese twins present?,yes,yes
259,"is acute coronary throm-bosis superimposed on an atherosclerotic plaque with focal disruption of the fibrous cap, triggering fatal myocardial infarction?",yes,yes
260,what joined at chest and abdomen?,lateral view,conjoined twins
261,what is present?,siamese twins,conjoined twins
262,what shows opened chest with two hearts?,chest and abdomen slide,two hearts
263,how many hearts does chest and abdomen slide show opened chest with?,two,two
264,does chest and abdomen slide show opened chest with two hearts?,yes,yes
265,what joined chest and abdomen slide shows opened chest with two hearts?,this,two hearts
266,how many hearts is this joined chest and abdomen slide shows opened chest with?,two,one
267,what is this joined?,chest and abdomen slide shows opened chest with two hearts,nose and lip
268,is this joined chest and abdomen slide shows opened chest with two hearts?,yes,joined chest and abdomen slide shows opened chest with two hearts
269,what is present?,siamese twins,"red tissue
dark tissue
surgical instrument
ruler"
270,"is moderate-power view of the plaque superimposed on an atherosclerotic plaque with focal disruption of the fibrous cap, triggering fatal myocardial infarction?",no,"moderate-power view of plaque
focal disruption of fibrous cap"
271,is siamese twins present?,yes,yes
272,what shows opened chest with two hearts?,chest and abdomen slide,two hearts
273,what joined chest and abdomen slide shows opened chest with two hearts?,this,two hearts
274,what is present?,siamese twins,"red tissue
dark tissue
surgical instrument
ruler"
275,what does this image show?,good example of large umbilical hernia,cutaneous edema and skin discoloration
276,does this image show good example of large umbilical hernia?,yes,yes
277,what does this image show?,epithelial component like intestine,inflammatory infiltrate
278,does this image show epithelial component like intestine?,yes,yes
279,what is present?,sacrococcygeal teratoma,"cellular infiltrate
lymphocytes
plasma cells
epithelial cells"
280,is sacrococcygeal teratoma present?,yes,yes
281,what did the cross-section of aortic media from a patient with marfan syndrome show?,marked elastin fragmentation and areas devoid of elastin that resemble cystic spaces,extensive intramural hemorrhage
282,what is present?,sacrococcygeal teratoma,"cellular infiltrate
lymphocytes
plasma cells
epithelial cells"
283,what does this image show?,hyaline membrane disease,erythema neonatorum
284,does this image show hyaline membrane disease?,yes,no
285,does carcinoma show hyaline membrane disease?,no,no
286,what does this image show?,hyaline membrane disease,newborn infant
287,does this image show hyaline membrane disease?,yes,no
288,does spina bifida show hyaline membrane disease?,no,no
289,what does this image show?,hyaline membrane disease,erythema neonatorum
290,does this image show hyaline membrane disease?,yes,no
291,does peritoneal fluid show hyaline membrane disease?,no,no
292,did the cross-section of aortic media from a patient with marfan syndrome show marked elastin fragmentation and areas devoid of elastin that resemble cystic spaces?,yes,yes
293,what does this image show?,excised breast good example,dark pigmented lesion with ulceration
294,does this image show excised breast good example?,yes,no
295,does macerated stillborn show excised breast good example?,no,breast tissue
296,what is present?,pagets disease,"dark pigmentation
ulceration
red tissue"
297,is pagets disease present?,yes,no
298,is hours present?,no,ulceration
299,where is this area in the body?,breast,skin
300,what is present?,pagets disease,"dark pigmentation
ulceration
red tissue"
301,what does this image show?,breast,"pink cytoplasm
large nuclei
clear vacuoles"
302,"does this image show breast, fibroadenoma?",yes,fibroadenoma
303,did wilms tumor with tightly packed blue cells consistent with the blastemal component and show marked elastin fragmentation and areas devoid of elastin that resemble cystic spaces asterisks?,no,no
304,"does all the fat necrosis show breast, fibroadenoma?",no,breast fibroadenoma
305,where is this area in the body?,breast,gastrointestinal tract
306,what does this image show?,breast,large clear cells and small dark cells
307,"does this image show breast, fibroadenoma?",yes,breast fibroadenoma
308,"does carcinomatosis endometrium primary show breast, fibroadenoma?",no,no
309,where is this area in the body?,breast,brain
310,what does this image show?,atrophic lobules and normal connective tissue,calcified granulomas
311,does this image show atrophic lobules and normal connective tissue?,yes,yes
312,does macerated stillborn show atrophic lobules and normal connective tissue?,no,yes
313,what is present?,breast,dark pigment granules
314,what shows marked elastin fragmentation and areas devoid of elastin that resemble cystic spaces (asterisks)?,cross-section of aortic media from a patient with marfan syndrome,elastin fragmentation cystic spaces
315,is breast present?,yes,no
316,is acute lymphocytic leukemia present?,no,no
317,what is present?,atrophy,dark pigment granules
318,is atrophy present?,yes,no
319,is anencephaly present?,no,no
320,where is this area in the body?,breast,cardiac muscle
321,what is present?,breast,dark pigment granules
322,what is present?,atrophy,dark pigment granules
323,what does this image show?,good example of poorly differentiated infiltrating ductal carcinoma,dense fibrous tissue
324,does this image show good example of poorly differentiated infiltrating ductal carcinoma?,yes,no
325,what is associated with mononuclear infiltrates and giant cells?,destruction and fibrosis of the arterial media,granulomatous inflammation
326,does cachexia show good example of poorly differentiated infiltrating ductal carcinoma?,no,no
327,what is present?,breast,pink cellular infiltrate
328,is breast present?,yes,no
329,is typical tuberculous exudate present?,no,no
330,where is this area in the body?,breast,muscle
331,what differentiated infiltrating ductal carcinoma?,good example of poorly,stromal desmoplasia
332,what is good example of poorly differentiated?,infiltrating ductal carcinoma,poorly differentiated cells
333,what is present?,breast,pink cellular infiltrate
334,how is good example of poorly differentiated infiltrating carcinoma?,ductal,poorly differentiated infiltrating carcinoma
335,what does this image show?,coronary artery atherosclerosis diagram,coronary arteries
336,is the surrounding lung edematous and congested?,yes,yes
337,what is histologic appearance in active takayasu aortitis illustrating destruction and fibrosis of the arterial media associated with?,mononuclear infiltrates and giant cells,lymphocytic infiltration
338,does this image show coronary artery atherosclerosis diagram?,yes,yes
339,does pus in test tube show coronary artery atherosclerosis diagram?,no,no
340,what is present?,cardiovascular,rca lad lcirc pda
341,is cardiovascular present?,yes,yes
342,is carcinomatosis present?,no,no
343,where is this area in the body?,heart,heart
344,what is present?,cardiovascular,rca lad lcirc pda
345,what is present?,cardiovascular,"vesicles
dark inclusions
cytoplasm"
346,is cardiovascular present?,yes,no
347,is peritoneum present?,no,no
348,how is histologic appearance in active takayasu aortitis illustrating destruction and fibrosis of the arterial media associated?,with mononuclear infiltrates,Necrotizing inflammation and fibrous tissue.
349,what is present?,amyloidosis,"vesicles
dark inclusions
cytoplasm"
350,is amyloidosis present?,yes,no
351,is cachexia present?,no,no
352,where is this area in the body?,heart,neuronal cell body
353,what is present?,cardiovascular,"vesicles
dark inclusions
cytoplasm"
354,what is present?,amyloidosis,"vesicles
dark inclusions
cytoplasm"
355,what does this image show?,continuous type,a vascular structure
356,does this image show continuous type?,yes,no
357,does papillary intraductal adenocarcinoma show continuous type?,no,yes
358,what is present?,cardiovascular,"p
bm
x
c
ex
f"
359,is the histologic appearance in active takayasu aortitis illustrating destruction and fibrosis of the arterial media associated with mononuclear infiltrates and giant cells?,yes,yes
360,is cardiovascular present?,yes,yes
361,is lymphangiomatosis present?,no,no
362,what is present?,vasculature,"p
bm
x
c
ex
f"
363,is vasculature present?,yes,yes
364,is case of peritonitis slide present?,no,no
365,what is present?,capillary,"p
bm
x
c
ex
f"
366,is capillary present?,yes,yes
367,is intraductal papillomatosis with apocrine metaplasia present?,no,no
368,where is this mage from?,capillary,the image is from a microscopic view
369,what is present?,cardiovascular,"p
bm
x
c
ex
f"
370,is the bacteria associated with mononuclear infiltrates and giant cells?,no,no
371,what is present?,vasculature,"p
bm
x
c
ex
f"
372,what is present?,capillary,"p
bm
x
c
ex
f"
373,what does this image show?,good for banding pattern mitochondria,muscle fibers
374,does this image show good for banding pattern mitochondria?,yes,yes
375,does cardiovascular show good for banding pattern mitochondria?,no,mitochondria show banding pattern
376,what is present?,cardiovascular,longitudinal striations
377,is cardiovascular present?,yes,yes
378,is lower chest and abdomen anterior present?,no,no
379,what is present?,myocardium,longitudinal striations
380,is myocardium present?,yes,yes
381,what is infiltrated with leukocytes?,the vessel wall,vessel wall
382,is vasculature present?,no,no
383,where is this area in the body?,heart,muscle
384,what is present?,cardiovascular,longitudinal striations
385,what is present?,myocardium,longitudinal striations
386,what does this image show?,rabbit lesion with foam cell immediately beneath endothelium,ultrastructural lipid droplets
387,does this image show rabbit lesion with foam cell immediately beneath endothelium?,yes,yes
388,what is present?,cardiovascular,"vesicles
vacuoles
membrane
nucleus
cytoplasm"
389,is cardiovascular present?,yes,yes
390,what is present?,aorta,"vesicles
vacuoles
membrane
nucleus
cytoplasm"
391,is aorta present?,yes,no
392,what is the vessel wall infiltrated with?,leukocytes,neutrophils
393,what is present?,atherosclerosis,"vesicles
vacuoles
membrane
nucleus
cytoplasm"
394,is atherosclerosis present?,yes,yes
395,where is this?,aorta,lysosome
396,what is present?,cardiovascular,"vesicles
vacuoles
membrane
nucleus
cytoplasm"
397,what is present?,aorta,"vesicles
vacuoles
membrane
nucleus
cytoplasm"
398,what is present?,atherosclerosis,"vesicles
vacuoles
membrane
nucleus
cytoplasm"
399,what does this image show?,endothelium with myelin bodies precipitated lipid in interstitial space,tissue with extracellular matrix
400,how does this image show endothelium?,with myelin bodies precipitated lipid in interstitial space,thin lining with intercellular clefts
401,does this image show endothelium with myelin bodies precipitated lipid in interstitial space?,yes,"endothelium with myelin bodies
precipitated lipid in interstitial space"
402,what is present?,cardiovascular,"vesicular structures
granular material
cellular debris
membrane alterations"
403,is the vessel wall infiltrated with leukocytes?,yes,yes
404,is cardiovascular present?,yes,no
405,what is present?,vasculature,"vesicular structures
granular material
cellular debris
membrane alterations"
406,is vasculature present?,yes,yes
407,what is present?,coronary artery,"vesicular structures
granular material
cellular debris
membrane alterations"
408,is coronary artery present?,yes,no
409,where is this?,vasculature,lung
410,what is present?,cardiovascular,"vesicular structures
granular material
cellular debris
membrane alterations"
411,what is present?,vasculature,"vesicular structures
granular material
cellular debris
membrane alterations"
412,what is present?,coronary artery,"vesicular structures
granular material
cellular debris
membrane alterations"
413,what does this image show?,smooth muscle cell with lipid monocyte and precipitated lipid in interstitial space,ultrastructural detail of cells with visible organelles and membranes
414,is low-power view infiltrated with leukocytes?,no,yes
415,does this image show smooth muscle cell with lipid monocyte and precipitated lipid in interstitial space?,yes,no
416,what is present?,cardiovascular,"vesicles
vacuoles
membrane structures
dense regions"
417,is cardiovascular present?,yes,no
418,is macerated stillborn present?,no,no
419,what is present?,vasculature,"vesicles
vacuoles
membrane structures
dense regions"
420,is vasculature present?,yes,yes
421,is amyloidosis present?,no,no
422,what is present?,coronary artery,"vesicles
vacuoles
membrane structures
dense regions"
423,is coronary artery present?,yes,no
424,is aorta present?,no,no
425,what is occluded by thrombus containing a sterile abscess?,the lumen,vessel
426,where is this?,vasculature,lysosome
427,what is present?,cardiovascular,"vesicles
vacuoles
membrane structures
dense regions"
428,what is present?,vasculature,"vesicles
vacuoles
membrane structures
dense regions"
429,what is present?,coronary artery,"vesicles
vacuoles
membrane structures
dense regions"
430,what does this image show?,chagas disease,nephron
431,"does this image show chagas disease, acute, trypanasoma cruzi?",yes,no
432,"does very good example show chagas disease, acute, trypanasoma cruzi?",no,no
433,what is present?,cardiovascular,"nuclei
cytoplasm
tubules
basement membrane"
434,is cardiovascular present?,yes,no
435,is papillary intraductal adenocarcinoma present?,no,no
436,"what is the lumen occluded by, containing a sterile abscess?",thrombus,neutrophils and fibrin
437,where is this?,heart,kidney
438,what is present?,cardiovascular,"nuclei
cytoplasm
tubules
basement membrane"
439,what does this image show?,normal aortic valve,cardiac mural thrombus
440,does this image show normal aortic valve?,yes,no
441,does macerated stillborn show normal aortic valve?,no,irregular aortic valve
442,what is present?,cardiovascular,extensive vascular network
443,is cardiovascular present?,yes,yes
