"ID","model_dir","question","correct_answer","model_output"
"210","checkpoint-10000","does acute peritonitis show fixed tissue typical appearance of tuberculous peritonitis except for color being off a bit?","no","no"
"211","checkpoint-10000","what is present?","gastrointestinal","gastrointestinal"
"212","checkpoint-10000","is fibrous meningioma present?","no","no"
"213","checkpoint-10000","is aorta present?","yes","no"
"214","checkpoint-10000","is the moderate-power view of the plaque demonstrated by a lack of triphenyltetrazolium chloride staining in areas of necrosis?","no","yes"
"215","checkpoint-10000","does mucinous cystadenocarcinoma show typical lesion with giant cells and foreign material?","no","no"
"216","checkpoint-10000","where does this belong to?","endocrine system","endocrine system"
"217","checkpoint-10000","what does this image show?","gout","kidney"
"218","checkpoint-10000","does this image show primary biliary cirrhosis?","yes","yes"
"219","checkpoint-10000","does lymphangiomatosis generalized show large necrotic ulcers over sacrum buttocks and hips?","no","no"
"220","checkpoint-10000","what is present?","uterus","nervous"
"221","checkpoint-10000","is amputation stump infected present?","no","no"
"222","checkpoint-10000","are disse blood-filled vascular channels lined by endothelial cells and surrounded by nests and masses of glomus cells?","no","yes"
"223","checkpoint-10000","do fibroma stain?","no","no"
"224","checkpoint-10000","what does this image show?","good for banding pattern mitochondria","electron micrograph"
"225","checkpoint-10000","where is this part in the figure?","endocrine system","endocrine system"
"226","checkpoint-10000","where is this?","lung","gastrointestinal"
"227","checkpoint-10000","is lateral view present?","no","no"
"228","checkpoint-10000","is palpable purpura with desquamation present?","yes","yes"
"229","checkpoint-10000","what are expelled?","2","sperm"
"230","checkpoint-10000","is esophagus present?","no","yes"
"231","checkpoint-10000","where is this?","urinary","urinary"
"232","checkpoint-10000","does one marrow trephine biopsy in aplastic anaemia contain caseating epithelioid cell granulomas having giant cells and lymphocytes?","no","no"
"233","checkpoint-10000","what is present?","vasculature","cardiovascular"
"234","checkpoint-10000","what is surrounded by increased fat?","matted mass of lymph nodes","the tumour"
"235","checkpoint-10000","what is present?","endocrine","vasculature"
"236","checkpoint-10000","are thalassaemia and hbd the haemoglobin disorders common in india?","yes","yes"
"237","checkpoint-10000","what does this image show?","close-up hilar node with anthracotic pigment and metastatic small cell carcinoma from lung good example","fixed tissue"
"238","checkpoint-10000","does this image show normal brain?","yes","yes"
"239","checkpoint-10000","what is present?","eye","eye"
"240","checkpoint-10000","does bone, skull show moderate acute rejection?","no","no"
"241","checkpoint-10000","is endocrine present?","yes","yes"
"242","checkpoint-10000","what is present?","supernumerary digits","syndactyly"
"243","checkpoint-10000","does this image show uterus, leiomyoma?","yes","yes"
"244","checkpoint-10000","is cardiovascular present?","yes","yes"
"245","checkpoint-10000","what is present?","brain","nervous"
"246","checkpoint-10000","does cervix duplication show close-up of foramen magnum stenosis due to subluxation of atlas vertebra case 31?","no","no"
"247","checkpoint-10000","is the margin congested?","yes","no"
"248","checkpoint-10000","where does this part belong to?","female reproductive system","female reproductive system"
"249","checkpoint-10000","does this image show facial abscess?","yes","yes"
"250","checkpoint-10000","what does this image show?","lung","lung"
"251","checkpoint-10000","what is present?","bone marrow","blood"
"252","checkpoint-10000","does this image show tracheotomy site, granulation tissue?","yes","yes"
"253","checkpoint-10000","what is present?","hepatobiliary","hepatobiliary"
"254","checkpoint-10000","is there moderate microcytosis and hypochromia?","yes","yes"
"255","checkpoint-10000","what is present?","oral","oral"
"256","checkpoint-10000","what is well-encapsulated with compression of surrounding thyroid parenchyma?","tumour","the tumour"
"257","checkpoint-10000","is ml present?","no","no"
"258","checkpoint-10000","is sacrococcygeal teratoma present?","no","no"
"259","checkpoint-10000","where is this area in the body?","heart","heart"
"260","checkpoint-10000","what are present?","extremities","extremities"
"261","checkpoint-10000","does this image show papillary cystadenoma lymphomatosum warthins?","yes","yes"
"262","checkpoint-10000","where is this?","urinary","female reproductive system"
"263","checkpoint-10000","does this image show med excellent example of perineural invasion?","yes","yes"
"264","checkpoint-10000","what is present?","urinary","gastrointestinal"
"265","checkpoint-10000","what is present?","endocrine","hematologic"
"266","checkpoint-10000","what is present?","eye","female reproductive"
"267","checkpoint-10000","is hematologic present?","yes","yes"
"268","checkpoint-10000","is metastatic carcinoma oat cell present?","no","no"
"269","checkpoint-10000","is respiratory present?","yes","yes"
"270","checkpoint-10000","what requires dark room to see subtle distal phalangeal cyanosis?","case of dic not bad photo","this"
"271","checkpoint-10000","what is present?","nervous","nervous"
"272","checkpoint-10000","how is histologic appearance of leukoplakia showing dysplasia characterized?","by nuclear and cellular pleomorphism and loss of normal maturation","by irregular cell shapes and nuclear pleomorphism"
"273","checkpoint-10000","is good example of veins filled with blood?","yes","yes"
"274","checkpoint-10000","what does this image show?","kidney","kidney"
"275","checkpoint-10000","how does case of dic not bad photo require dark room to see subtle phalangeal cyanosis?","distal","yes"
"276","checkpoint-10000","how does both adrenals external views focal hemorrhages do not know history look like abruption?","placental","no"
"277","checkpoint-10000","does esophagus show skeletal muscle, atrophy due to immobilization cast?","no","no"
"278","checkpoint-10000","does hemorrhage in newborn show colon, ulcerative colitis?","no","no"
"279","checkpoint-10000","what is composed of neutrophils and macrophages?","nfiltrate in the lumina","inflammatory exudate"
"280","checkpoint-10000","are salt bridges formed again?","yes","no"
"281","checkpoint-10000","where is this?","lung","lung"
"282","checkpoint-10000","what is present?","spleen","spleen"
"283","checkpoint-10000","does atrophy secondary to pituitectomy show esohagus, candida?","no","no"
"284","checkpoint-10000","what is present?","liver","hepatobiliary"
"285","checkpoint-10000","what is present?","umbilical cord","joints"
"286","checkpoint-10000","does notochord show heart, myocardial infarction, surgery to repair interventricular septum rupture?","no","no"
"287","checkpoint-10000","is abdomen present?","yes","yes"
"288","checkpoint-10000","what is present?","cardiovascular","vasculature"
"289","checkpoint-10000","is oral present?","yes","yes"
"290","checkpoint-10000","is fixed lesions present?","no","no"
"291","checkpoint-10000","what is present?","hepatobiliary","cytoplasmic"
"292","checkpoint-10000","what is present?","vasculature","vasculature"
"293","checkpoint-10000","what does child have?","child","conjoined twins at cephalothoracopagus janiceps"
"294","checkpoint-10000","what is present?","postpartum","abdomen"
"295","checkpoint-10000","is retroperitoneal leiomyosarcoma present?","no","no"
"296","checkpoint-10000","does this image show brain, frontal lobe atrophy, pick 's disease?","yes","yes"
"297","checkpoint-10000","does size show islet cell carcinoma?","no","no"
"298","checkpoint-10000","what is present?","oral","gastrointestinal"
"299","checkpoint-10000","where is this?","oral","oral"
"300","checkpoint-10000","is intraductal lesions present?","no","no"
"301","checkpoint-10000","does this image show polyarteritis nodosa?","yes","yes"
"302","checkpoint-10000","does this image show ruptured saccular aneurysm right middle cerebral artery?","yes","yes"
"303","checkpoint-10000","where does this belong to?","female reproductive system","female reproductive system"
"304","checkpoint-10000","what is present?","testicle","female reproductive"
"305","checkpoint-10000","does sectioned surface of the lung show replacement of slaty-grey spongy parenchyma with multiple, firm, grey-white nodular masses, some having areas of haemorhages and necrosis?","yes","yes"
"306","checkpoint-10000","where is this from?","heart","brain"
"307","checkpoint-10000","what is present?","hematologic","spleen"
"308","checkpoint-10000","what is present?","cardiovascular","cardiovascular"
"309","checkpoint-10000","does outside adrenal capsule section show stomach, chronic peptic ulcer?","no","no"
"310","checkpoint-10000","is female reproductive present?","yes","yes"
"311","checkpoint-10000","what is composed of melanocytes that lose pigmentation and become smaller and more dispersed as they extend into the dermis-all signs that speak to the benign nature of the proliferation?","the nevus","the tumor"
"312","checkpoint-10000","what is present?","joints","joints"
"313","checkpoint-10000","what does this image show?","gms granuloma due to pneumocystis aids case","brain"
"314","checkpoint-10000","is there marked thinning of the epidermis, fibrosis of the superficial dermis, and chronic inflammatory cells in the deeper dermis?","yes","yes"
"315","checkpoint-10000","what looks like placental abruption?","history","no"
"316","checkpoint-10000","does the cytoplasm show granulation tissue and gliosis?","no","yes"
"317","checkpoint-10000","what does this image show?","normal lung","liver"
"318","checkpoint-10000","what does this image show?","dentinogenesis imperfecta","tooth"
"319","checkpoint-10000","where is this part in?","spleen","spleen"
"320","checkpoint-10000","what does this image show?","heart","heart"
"321","checkpoint-10000","is cardiovascular present?","yes","yes"
"322","checkpoint-10000","what does this image show?","normal pancreas","pancreatic fat necrosis"
"323","checkpoint-10000","does this image show x-ray sternum healing fracture 15 days?","yes","yes"
"324","checkpoint-10000","does sectioned surface of the sac show thick wall coated internally by brownish, tan and necrotic material which is organised blood clot arrow?","yes","yes"
"325","checkpoint-10000","is the embolus composed of hematopoietic marrow and marrow fat cells attached to a thrombus?","yes","yes"
"326","checkpoint-10000","is cardiovascular present?","yes","yes"
"327","checkpoint-10000","where is this?","urinary","urinary"
"328","checkpoint-10000","is oral present?","yes","yes"
"329","checkpoint-10000","what does this image show?","patient before surgery lesion in clavicle","back"
"330","checkpoint-10000","does this image show mesentery with involved nodes?","yes","yes"
"331","checkpoint-10000","is tuberculous peritonitis present?","no","yes"
"332","checkpoint-10000","is lymph node present?","yes","yes"
"333","checkpoint-10000","what is associated with chronic alcohol use?","hepatoctye injury in fatty liver disease","liver fibrosis"
"334","checkpoint-10000","is side present?","no","no"
"335","checkpoint-10000","does this image show rabbit lesion with foam cell immediately beneath endothelium?","yes","yes"
"336","checkpoint-10000","what is present?","gastrointestinal","gastrointestinal"
"337","checkpoint-10000","is opened muscle present?","no","no"
"338","checkpoint-10000","does this image show postmortangiogram with apparent lesions in proximal right coronary?","yes","yes"
"339","checkpoint-10000","what does this image show?","cut surfaces of both adrenals focal hemorrhagic infarction well shown do not know history looks like placental abruption","fixed tissue"
"340","checkpoint-10000","what is present?","gastrointestinal","gastrointestinal"
"341","checkpoint-10000","what is largely extending into soft tissues including the skeletal muscle?","tumour","the tumour"
"342","checkpoint-10000","does this image show but not good color petechiae and purpura case of stcell leukemia?","yes","yes"
"343","checkpoint-10000","where is this part in the figure?","endocrine system","gastrointestinal system"
"344","checkpoint-10000","is supernumerary digits present?","yes","yes"
"345","checkpoint-10000","does this image show spinal cord injury due to vertebral column trauma, demyelination?","yes","yes"
"346","checkpoint-10000","what does this image show?","tracheotomy site","brain"
"347","checkpoint-10000","do acid stain stain numerous acid fast bacilli very good slide?","yes","yes"
"348","checkpoint-10000","where does this belong to?","endocrine system","gastrointestinal system"
"349","checkpoint-10000","what is present?","thecoma","female reproductive"
"350","checkpoint-10000","does appendix show chronic osteomyelitis?","no","no"
"351","checkpoint-10000","is aorta present?","no","no"
"352","checkpoint-10000","is cut edge of mesentery present?","no","no"
"353","checkpoint-10000","what is present?","vasculature","cardiovascular"
"354","checkpoint-10000","what is present?","cardiovascular","cardiovascular"
"355","checkpoint-10000","is there hyperkeratosis, focal hypergranulosis and irregular acanthosis with elongated saw-toothed rete ridges?","yes","yes"
"356","checkpoint-10000","does chronic lymphocytic leukemia show gemination?","no","no"
"357","checkpoint-10000","what is present?","respiratory","respiratory"
"358","checkpoint-10000","what is present?","cardiovascular","cardiovascular"
"359","checkpoint-10000","what does this image show?","kidney","kidney"
"360","checkpoint-10000","what is present?","liver","liver"
"361","checkpoint-10000","is herpes simplex present?","yes","no"
"362","checkpoint-10000","is mesothelioma present?","no","yes"
"363","checkpoint-10000","is cardiovascular present?","yes","yes"
"364","checkpoint-10000","does surface show photo of whole body showing head laterally with no chin?","no","no"
"365","checkpoint-10000","does abdomen show colon, villous polyp and adenocarcinoma?","no","no"
"366","checkpoint-10000","is female reproductive present?","yes","yes"
"367","checkpoint-10000","what does this image show?","mostly head in photo gory edema","conjoined twins cephalothoracopagus janiceps"
"368","checkpoint-10000","is urinary present?","yes","yes"
"369","checkpoint-10000","what does this image show?","rather good view of mesentery with typical large nodes case which may have been a t-cell lymphoma","adrenal gland"
"370","checkpoint-10000","is spleen present?","yes","yes"
"371","checkpoint-10000","what does gomori methenamine-silver (gms) stain show?","septate hyphae with acute-angle branching","pseudohyphae and budding yeast forms"
"372","checkpoint-10000","what intervening tumor tissue very good?","nodular parenchyma and dense","excellent"
"373","checkpoint-10000","is gms present?","no","no"
"374","checkpoint-10000","what is present?","breast","cardiovascular"
"375","checkpoint-10000","what is cut surface with multiple small infiltrates that simulate granulomata diagnosed?","as reticulum cell sarcoma","tuberculosis"
"376","checkpoint-10000","what does this image show?","spleen","spleen"
"377","checkpoint-10000","is a mallory-denk body hemorrhagic?","no","no"
"378","checkpoint-10000","what is present?","acute myelogenous leukemia","hematologic"
"379","checkpoint-10000","where is this?","urinary","urinary"
"380","checkpoint-10000","what is present?","endocrine","hematologic"
"381","checkpoint-10000","what does the skin surface on the sole of the foot show?","a fungating and ulcerated growth","large ulcerated area"
"382","checkpoint-10000","does this image show ductopenia?","yes","yes"
"383","checkpoint-10000","are normal media for comparison separated by edema fluid?","no","no"
"384","checkpoint-10000","what is present?","odontoid process subluxation with narrowing of foramen magnum","bone"
"385","checkpoint-10000","what is present?","basilar skull fracture","bone"
"386","checkpoint-10000","does this image show gout?","yes","yes"
