"ID","question","correct_answer","model_output"
"131","does this image show opened body cavity with necrotic bowel and heavy fibrin exudate?","yes","answer: yes"
"132","does leiomyosarcoma show opened body cavity with necrotic bowel and heavy fibrin exudate?","no","answer: yes"
"133","what is present?","abdomen","answer: bowel perforation"
"134","is abdomen present?","yes","answer: yes"
"135","is opened abdominal cavity with massive tumor in omentum none apparent in liver nor over peritoneal surfaces gut present?","no","answer: yes"
"136","what is present?","peritoneum","answer: necrosis"
"137","are the available anabolic circuits attenuated?","no","answer: yes"
"138","is peritoneum present?","yes","answer: yes"
"139","is metastatic carcinoma prostate present?","no","answer: yes"
"140","what is present?","fibrinous peritonitis","answer: bowel perforation"
"141","is fibrinous peritonitis present?","yes","answer: yes"
"142","is slices of liver and spleen typical tuberculous exudate is present on capsule of liver and spleen present?","no","answer: yes"
"143","where is this area in the body?","abdomen","answer: abdomen"
"144","what is present?","abdomen","answer: bowel perforation"
"145","what is present?","peritoneum","answer: bowel perforation"
"146","what is present?","fibrinous peritonitis","answer: bowel perforation"
"147","what does this image show?","outstanding example of granuloma with langhans giant cell","answer: adipose tissue"
"148","what is shown in the figure, stained for elastin (black)?","moderate-power view of the plaque","answer: artery"
"149","how does this image show outstanding example of granuloma?","with langhans giant cell","answer: granulomatous inflammation"
"150","does this image show outstanding example of granuloma with langhans giant cell?","yes","answer: yes"
"151","does this show outstanding example of granuloma with langhans giant cell?","no","answer: yes"
"152","what is present?","abdomen","answer: granulomas"
"153","is abdomen present?","yes","answer: yes"
"154","is opened abdominal cavity with massive tumor in omentum none apparent in liver nor over peritoneal surfaces gut present?","no","answer: no"
"155","what is present?","peritoneum","answer: granulomas"
"156","is peritoneum present?","yes","answer: yes"
"157","is carcinomatosis endometrium primary present?","no","answer: yes"
"158","what is present?","tuberculosis","answer: granulomas"
"159","what is moderate-power view of the plaque shown the figure stained for?","elastin (black)","answer: collagen"
"160","is tuberculosis present?","yes","answer: yes"
"161","is opened muscle present?","no","answer: yes"
"162","what is present?","abdomen","answer: granuloma"
"163","what is present?","peritoneum","answer: lipoid pneumonia"
"164","what is present?","tuberculosis","answer: granulomas"
"165","what does this image show?","outstanding example of a tubercular granuloma same as in slide seen at low classical granuloma with langhans giant cell","answer: granuloma"
"166","does this image show outstanding example of a tubercular granuloma same as in slide seen at low classical granuloma with langhans giant cell?","yes","answer: yes"
"167","what is present?","abdomen","answer: granuloma"
"168","is abdomen present?","yes","answer: yes"
"169","is tuberculous peritonitis present?","no","answer: yes"
"170","is the plaque stained for elastin (black)?","yes","answer: yes"
"171","what is present?","peritoneum","answer: granuloma"
"172","is peritoneum present?","yes","answer: yes"
"173","is peritoneal fluid present?","no","answer: yes"
"174","what is present?","tuberculosis","answer: granuloma"
"175","is tuberculosis present?","yes","answer: yes"
"176","is this present?","no","answer: granuloma"
"177","what seen at low classical granuloma with langhans giant cell?","outstanding example of a tubercular same as in slide","answer: lymphocytes"
"178","what is outstanding example of a tubercular granuloma same as in slide seen?","at low classical with langhans giant cell","answer: lung"
"179","what is present?","abdomen","answer: granuloma"
"180","what is present?","peritoneum","answer: granulomas"
"181","is the intact basement membrane shown in the figure, stained for elastin black?","no","answer: no"
"182","what is present?","tuberculosis","answer: granuloma"
"183","what fast stain numerous acid fast bacilli very good slide?","acid","answer: mycobacterium"
"184","what do acid stain?","stain numerous fast bacilli very good slide","answer: neutrophils"
"185","do acid stain stain numerous acid fast bacilli very good slide?","yes","answer: yes"
"186","do retroperitoneum stain stain numerous acid fast bacilli very good slide?","no","answer: yes"
"187","what does this image show?","acid fast stain numerous acid fast bacilli very good slide","answer: granuloma"
"188","does this image show acid fast stain numerous acid fast bacilli very good slide?","yes","answer: yes"
"189","does surface show acid fast stain numerous acid fast bacilli very good slide?","no","answer: yes"
"190","what is present?","abdomen","answer: neutrophils"
"191","is abdomen present?","yes","answer: no"
"192","is the media of the artery thinned under the most advanced plaque?","yes","answer: yes"
"193","is liver with tuberculoid granuloma in glissons present?","no","answer: yes"
"194","what is present?","peritoneum","answer: neutrophils"
"195","is peritoneum present?","yes","answer: yes"
"196","is acute peritonitis present?","no","answer: no"
"197","what is present?","tuberculosis","answer: macrophages"
"198","is tuberculosis present?","yes","answer: yes"
"199","is nodular tumor present?","no","answer: no"
"200","what stain numerous acid fast bacilli very good slide?","acid","answer: mycobacteria"
"201","what is present?","abdomen","answer: granuloma"
"202","what is present?","peritoneum","answer: neutrophils"
"203","is energy stores thinned under the most advanced plaque?","no","answer: yes"
"204","what is present?","tuberculosis","answer: lymphocytes"
"205","what does this image show?","excised tumor mass","answer: liver necrosis"
"206","does this image show excised tumor mass?","yes","answer: yes"
"207","does carcinomatosis endometrium primary show excised tumor mass?","no","answer: yes"
"208","what is present?","sacrococcygeal teratoma","answer: infarct"
"209","is sacrococcygeal teratoma present?","yes","answer: yes"
"210","is omentum present?","no","answer: yes"
"211","what is present?","sacrococcygeal teratoma","answer: necrosis"
"212","what does this image show?","posterior view to show open cord","answer: spleen"
"213","does this image show posterior view to show open cord?","yes","answer: yes"
"214","what is in a patient who died suddenly?","plaque rupture without superimposed thrombus","answer: atherosclerosis"
"215","does leiomyosarcoma show posterior view to show open cord?","no","answer: yes"
"216","what is present?","anencephaly","answer: hemorrhage"
"217","is anencephaly present?","yes","answer: yes"
"218","is digits present?","no","answer: yes"
"219","what is present?","anencephaly","answer: ruptured splenic artery"
"220","what does this image show?","mostly head in photo gory edema","answer: omphalocele"
"221","does this image show mostly head in photo gory edema?","yes","answer: yes"
"222","does surface show mostly head in photo gory edema?","no","answer: yes"
"223","what is present?","lymphangiomatosis","answer: edema"
"224","is lymphangiomatosis present?","yes","answer: yes"
"225","what is edematous and congested?","the surrounding lung","answer: pulmonary artery"
"226","what is plaque rupture without?","superimposed thrombus","answer: hemorrhage"
"227","is carcinomatosis present?","no","answer: yes"
"228","what is present?","lymphangiomatosis","answer: skin edema"
"229","what does this image show?","anterior view of whole body","answer: omphalocele"
"230","does this image show anterior view of whole body?","yes","answer: yes"
"231","does granulomata slide show anterior view of whole body?","no","answer: no"
"232","what is present?","lymphangiomatosis","answer: intestinal atresia"
"233","is lymphangiomatosis present?","yes","answer: yes"
"234","is metastatic carcinoma prostate present?","no","answer: yes"
"235","what is present?","lymphangiomatosis","answer: omphalocele"
"236","does this image show typical not advanced macerated stillborn?","yes","answer: advanced"
"237","what is superimposed on an atherosclerotic plaque with focal disruption of the fibrous cap, triggering fatal myocardial infarction?","acute coronary throm-bosis","answer: thrombosiss"
"238","does acute peritonitis show typical not advanced macerated stillborn?","no","answer: yes"
"239","what does this image show?","posterior view of whole body to buttocks","answer: cutaneous necrosis"
"240","does this image show posterior view of whole body to buttocks?","yes","answer: yes"
"241","does typical tuberculous exudate show posterior view of whole body to buttocks?","no","answer: no"
"242","what is present with open spine?","anencephaly","answer: osteomyelitis"
"243","is anencephaly with open spine present?","yes","answer: yes"
"244","is liver with tuberculoid granuloma in glissons with open spine present?","no","answer: yes"
"245","what are slide?","this whole body photo showing widened abdomen due to diastasis recti and crease in ear lobe face is and kidneys with bilateral pelvic-ureteral strictures","answer: congenital rubella"
"246","what are this whole body photo showing widened abdomen due to diastasis recti and crease in ear lobe face is slide and kidneys with bilateral pelvic-ureteral strictures?","strictures","answer: yes"
"247","what is present?","beckwith-wiedemann syndrome","answer: ichthyosis vulgaris"
"248","what is acute coronary throm-bosis superimposed on?","an atherosclerotic plaque with focal disruption of the fibrous cap","answer: atherosclerosis"
"249","what are slide?","this whole body photo showing widened abdomen due to diastasis recti and crease in ear lobe face is and kidneys with bilateral pelvic-ureteral strictures","answer: skin"
"250","what are this whole body photo showing widened abdomen due to diastasis recti and crease in ear lobe face is slide and kidneys with bilateral pelvic-ureteral strictures?","strictures","answer: bilateral pelvic-ureteral strictures"
"251","what is present?","beckwith-wiedemann syndrome","answer: acropachyosys"
"252","what joined at chest and abdomen?","lateral view","answer: conjoined"
"253","what is lateral view joined?","at chest and abdomen","answer: conjoined twins"
"254","is lateral view joined at chest and abdomen?","yes","answer: yes"
"255","what does this image show?","lateral view joined at chest and abdomen","answer: conjoined twins"
"256","does this image show lateral view joined at chest and abdomen?","yes","answer: yes"
"257","what is present?","siamese twins","answer: conjoined twins"
"258","is siamese twins present?","yes","answer: yes"
"259","is acute coronary throm-bosis superimposed on an atherosclerotic plaque with focal disruption of the fibrous cap, triggering fatal myocardial infarction?","yes","answer: yes"
"260","what joined at chest and abdomen?","lateral view","answer: conjoined"
"261","what is present?","siamese twins","answer: conjoined twins"
"262","what shows opened chest with two hearts?","chest and abdomen slide","answer: open chest surgery"
"263","how many hearts does chest and abdomen slide show opened chest with?","two","answer: two"
"264","does chest and abdomen slide show opened chest with two hearts?","yes","answer: yes"
"265","what joined chest and abdomen slide shows opened chest with two hearts?","this","answer: congenital diaphragmatic hernia"
"266","how many hearts is this joined chest and abdomen slide shows opened chest with?","two","answer: three"
"267","what is this joined?","chest and abdomen slide shows opened chest with two hearts","answer: esophagus trachea"
"268","is this joined chest and abdomen slide shows opened chest with two hearts?","yes","answer: yes"
"269","what is present?","siamese twins","answer: fetal heart"
"270","is moderate-power view of the plaque superimposed on an atherosclerotic plaque with focal disruption of the fibrous cap, triggering fatal myocardial infarction?","no","answer: yes"
"271","is siamese twins present?","yes","answer: yes"
"272","what shows opened chest with two hearts?","chest and abdomen slide","answer: heart surgery"
"273","what joined chest and abdomen slide shows opened chest with two hearts?","this","answer: open chest and abdomen"
"274","what is present?","siamese twins","answer: umbilical cord"
"275","what does this image show?","good example of large umbilical hernia","answer: arthrogryposis"
"276","does this image show good example of large umbilical hernia?","yes","answer: yes"
"277","what does this image show?","epithelial component like intestine","answer: granuloma"
"278","does this image show epithelial component like intestine?","yes","answer: yes"
"279","what is present?","sacrococcygeal teratoma","answer: granulomas"
"280","is sacrococcygeal teratoma present?","yes","answer: yes"
"281","what did the cross-section of aortic media from a patient with marfan syndrome show?","marked elastin fragmentation and areas devoid of elastin that resemble cystic spaces","answer: marfan syndrome aortic aneurysm"
"282","what is present?","sacrococcygeal teratoma","answer: granulomas"
"283","what does this image show?","hyaline membrane disease","answer: cutaneous metastasis"
"284","does this image show hyaline membrane disease?","yes","answer: no"
"285","does carcinoma show hyaline membrane disease?","no","answer: no"
"286","what does this image show?","hyaline membrane disease","answer: intrauterine growth restriction"
"287","does this image show hyaline membrane disease?","yes","answer: no"
"288","does spina bifida show hyaline membrane disease?","no","answer: no"
"289","what does this image show?","hyaline membrane disease","answer: neonatal rosette"
"290","does this image show hyaline membrane disease?","yes","answer: no"
"291","does peritoneal fluid show hyaline membrane disease?","no","answer: no"
"292","did the cross-section of aortic media from a patient with marfan syndrome show marked elastin fragmentation and areas devoid of elastin that resemble cystic spaces?","yes","answer: yes"
"293","what does this image show?","excised breast good example","answer: cutaneous leishmaniasis"
"294","does this image show excised breast good example?","yes","answer: yes"
"295","does macerated stillborn show excised breast good example?","no","answer: yes"
"296","what is present?","pagets disease","answer: cutaneous leishmaniasis"
"297","is pagets disease present?","yes","answer: yes"
"298","is hours present?","no","answer: yes"
"299","where is this area in the body?","breast","answer: eyelid"
"300","what is present?","pagets disease","answer: cutaneous leishmaniasis"
"301","what does this image show?","breast","answer: granuloma"
"302","does this image show breast, fibroadenoma?","yes","answer: yes"
"303","did wilms tumor with tightly packed blue cells consistent with the blastemal component and show marked elastin fragmentation and areas devoid of elastin that resemble cystic spaces asterisks?","no","answer: yes"
"304","does all the fat necrosis show breast, fibroadenoma?","no","answer: yes"
"305","where is this area in the body?","breast","answer: adrenal"
"306","what does this image show?","breast","answer: granulomas"
"307","does this image show breast, fibroadenoma?","yes","answer: yes"
"308","does carcinomatosis endometrium primary show breast, fibroadenoma?","no","answer: no"
"309","where is this area in the body?","breast","answer: brain"
"310","what does this image show?","atrophic lobules and normal connective tissue","answer: granulation tissue"
"311","does this image show atrophic lobules and normal connective tissue?","yes","answer: no"
"312","does macerated stillborn show atrophic lobules and normal connective tissue?","no","answer: yes"
"313","what is present?","breast","answer: granuloma"
"314","what shows marked elastin fragmentation and areas devoid of elastin that resemble cystic spaces (asterisks)?","cross-section of aortic media from a patient with marfan syndrome","answer: aortic wall"
"315","is breast present?","yes","answer: yes"
"316","is acute lymphocytic leukemia present?","no","answer: yes"
"317","what is present?","atrophy","answer: fibrosis"
"318","is atrophy present?","yes","answer: yes"
"319","is anencephaly present?","no","answer: no"
"320","where is this area in the body?","breast","answer: heart"
"321","what is present?","breast","answer: granulomas"
"322","what is present?","atrophy","answer: granulomas"
"323","what does this image show?","good example of poorly differentiated infiltrating ductal carcinoma","answer: fibrosis"
"324","does this image show good example of poorly differentiated infiltrating ductal carcinoma?","yes","answer: yes"
"325","what is associated with mononuclear infiltrates and giant cells?","destruction and fibrosis of the arterial media","answer: granulomatous inflammation"
"326","does cachexia show good example of poorly differentiated infiltrating ductal carcinoma?","no","answer: no"
"327","what is present?","breast","answer: sarcoma"
"328","is breast present?","yes","answer: yes"
"329","is typical tuberculous exudate present?","no","answer: no"
"330","where is this area in the body?","breast","answer: muscle"
"331","what differentiated infiltrating ductal carcinoma?","good example of poorly","answer: nuclear atypia"
"332","what is good example of poorly differentiated?","infiltrating ductal carcinoma","answer: sarcoma"
"333","what is present?","breast","answer: smooth muscle"
"334","how is good example of poorly differentiated infiltrating carcinoma?","ductal","answer: yes"
"335","what does this image show?","coronary artery atherosclerosis diagram","answer: coronary arteries"
"336","is the surrounding lung edematous and congested?","yes","answer: yes"
"337","what is histologic appearance in active takayasu aortitis illustrating destruction and fibrosis of the arterial media associated with?","mononuclear infiltrates and giant cells","answer: granulomatous inflammation"
"338","does this image show coronary artery atherosclerosis diagram?","yes","answer: yes"
"339","does pus in test tube show coronary artery atherosclerosis diagram?","no","answer: no"
"340","what is present?","cardiovascular","answer: coronary arteries"
"341","is cardiovascular present?","yes","answer: yes"
"342","is carcinomatosis present?","no","answer: no"
"343","where is this area in the body?","heart","answer: coronary arteries"
"344","what is present?","cardiovascular","answer: coronary arteries"
"345","what is present?","cardiovascular","answer: virus"
"346","is cardiovascular present?","yes","answer: yes"
"347","is peritoneum present?","no","answer: yes"
"348","how is histologic appearance in active takayasu aortitis illustrating destruction and fibrosis of the arterial media associated?","with mononuclear infiltrates","answer: yes"
"349","what is present?","amyloidosis","answer: tuberculosis"
"350","is amyloidosis present?","yes","answer: yes"
"351","is cachexia present?","no","answer: yes"
"352","where is this area in the body?","heart","answer: brain"
"353","what is present?","cardiovascular","answer: virus"
"354","what is present?","amyloidosis","answer: virus"
"355","what does this image show?","continuous type","answer: glomerular basement membrane"
"356","does this image show continuous type?","yes","answer: yes"
"357","does papillary intraductal adenocarcinoma show continuous type?","no","answer: yes"
"358","what is present?","cardiovascular","answer: glomerular basement membrane"
"359","is the histologic appearance in active takayasu aortitis illustrating destruction and fibrosis of the arterial media associated with mononuclear infiltrates and giant cells?","yes","answer: yes"
"360","is cardiovascular present?","yes","answer: no"
"361","is lymphangiomatosis present?","no","answer: yes"
"362","what is present?","vasculature","answer: glomerular basement membrane"
"363","is vasculature present?","yes","answer: yes"
"364","is case of peritonitis slide present?","no","answer: no"
"365","what is present?","capillary","answer: glomerular basement membrane"
"366","is capillary present?","yes","answer: yes"
"367","is intraductal papillomatosis with apocrine metaplasia present?","no","answer: yes"
"368","where is this mage from?","capillary","answer: kidney"
"369","what is present?","cardiovascular","answer: glomerulus"
"370","is the bacteria associated with mononuclear infiltrates and giant cells?","no","answer: yes"
"371","what is present?","vasculature","answer: glomerular basement membrane"
"372","what is present?","capillary","answer: glomerular basement membrane"
"373","what does this image show?","good for banding pattern mitochondria","answer: skeletal muscle"
"374","does this image show good for banding pattern mitochondria?","yes","answer: yes"
"375","does cardiovascular show good for banding pattern mitochondria?","no","answer: yes"
"376","what is present?","cardiovascular","answer: myofibrils"
"377","is cardiovascular present?","yes","answer: yes"
"378","is lower chest and abdomen anterior present?","no","answer: yes"
"379","what is present?","myocardium","answer: myofibrils"
"380","is myocardium present?","yes","answer: yes"
"381","what is infiltrated with leukocytes?","the vessel wall","answer: artery"
"382","is vasculature present?","no","answer: yes"
"383","where is this area in the body?","heart","answer: heart"
"384","what is present?","cardiovascular","answer: myofibrils"
"385","what is present?","myocardium","answer: myofibrils"
"386","what does this image show?","rabbit lesion with foam cell immediately beneath endothelium","answer: granuloma"
"387","does this image show rabbit lesion with foam cell immediately beneath endothelium?","yes","answer: yes"
"388","what is present?","cardiovascular","answer: endothelial cell damage"
"389","is cardiovascular present?","yes","answer: yes"
"390","what is present?","aorta","answer: vessel wall thickening"
"391","is aorta present?","yes","answer: yes"
"392","what is the vessel wall infiltrated with?","leukocytes","answer: neutrophils"
"393","what is present?","atherosclerosis","answer: microvascular thrombosis"
"394","is atherosclerosis present?","yes","answer: yes"
"395","where is this?","aorta","answer: blood vessel"
"396","what is present?","cardiovascular","answer: granulomas"
"397","what is present?","aorta","answer: endothelial cell damage"
"398","what is present?","atherosclerosis","answer: endothelial cell damage"
"399","what does this image show?","endothelium with myelin bodies precipitated lipid in interstitial space","answer: granuloma"
"400","how does this image show endothelium?","with myelin bodies precipitated lipid in interstitial space","answer: irregular endothelium"
"401","does this image show endothelium with myelin bodies precipitated lipid in interstitial space?","yes","answer: yes"
"402","what is present?","cardiovascular","answer: granulomas"
"403","is the vessel wall infiltrated with leukocytes?","yes","answer: yes"
"404","is cardiovascular present?","yes","answer: yes"
"405","what is present?","vasculature","answer: granulomas"
"406","is vasculature present?","yes","answer: yes"
"407","what is present?","coronary artery","answer: granuloma"
"408","is coronary artery present?","yes","answer: yes"
"409","where is this?","vasculature","answer: lung"
"410","what is present?","cardiovascular","answer: granulomas"
"411","what is present?","vasculature","answer: granulomas"
"412","what is present?","coronary artery","answer: granulomas"
"413","what does this image show?","smooth muscle cell with lipid monocyte and precipitated lipid in interstitial space","answer: endothelial cell injury"
"414","is low-power view infiltrated with leukocytes?","no","answer: yes"
"415","does this image show smooth muscle cell with lipid monocyte and precipitated lipid in interstitial space?","yes","answer: yes"
"416","what is present?","cardiovascular","answer: endoplasmic reticulum"
"417","is cardiovascular present?","yes","answer: yes"
"418","is macerated stillborn present?","no","answer: yes"
"419","what is present?","vasculature","answer: endoplasmic reticulum"
"420","is vasculature present?","yes","answer: yes"
"421","is amyloidosis present?","no","answer: yes"
"422","what is present?","coronary artery","answer: endoplasmic reticulum"
"423","is coronary artery present?","yes","answer: yes"
"424","is aorta present?","no","answer: yes"
"425","what is occluded by thrombus containing a sterile abscess?","the lumen","answer: artery"
"426","where is this?","vasculature","answer: lung"
"427","what is present?","cardiovascular","answer: endoplasmic reticulum"
"428","what is present?","vasculature","answer: endoplasmic reticulum"
"429","what is present?","coronary artery","answer: endoplasmic reticulum"
"430","what does this image show?","chagas disease","answer: nephrotic syndrome"
"431","does this image show chagas disease, acute, trypanasoma cruzi?","yes","answer: yes"
"432","does very good example show chagas disease, acute, trypanasoma cruzi?","no","answer: yes"
"433","what is present?","cardiovascular","answer: granulomas"
"434","is cardiovascular present?","yes","answer: yes"
"435","is papillary intraductal adenocarcinoma present?","no","answer: yes"
"436","what is the lumen occluded by, containing a sterile abscess?","thrombus","answer: neutrophils"
"437","where is this?","heart","answer: kidney"
