ID,question,correct_answer,model_output
62,what is present?,peritoneum,thymus
63,does this image show opened abdomen with ischemic appearing intestines bound by neoplastic adhesions good but not the best ovarian papillary adenocarcinoma?,yes,yes
64,what is present?,abdomen,abdomen
65,is abdomen present?,yes,yes
66,is tuberculous peritonitis present?,no,yes
67,what is present?,peritoneum,abdomen
68,is peritoneum present?,yes,yes
69,is an opened peritoneal cavity cause by fibrous band strangulation present?,no,yes
70,what is moderately narrowed by this eccentric lesion?,the lumen,the lumen
71,where is this area in the body?,abdomen,abdomen
72,what bound by neoplastic adhesions good but not the best ovarian papillary adenocarcinoma?,opened abdomen with ischemic appearing intestines,serous cystadenoma
73,what is opened abdomen with ischemic appearing intestines bound?,by neoplastic adhesions good but not the best ovarian papillary adenocarcinoma,to show source of emboli
74,what is present?,abdomen,abdomen
75,what is present?,peritoneum,abdomen
76,what does this image show?,a very close-up view of typical gross lesions,close-up of skin over muscle
77,does this image show a very close-up view of typical gross lesions?,yes,yes
78,what is present?,abdomen,abdomen
79,is abdomen present?,yes,yes
80,is opened abdominal cavity with massive tumor in omentum none apparent in liver nor over peritoneal surfaces gut present?,no,no
81,what is the lumen narrowed by?,eccentric lesion,a fibrous plaque
82,what is present?,peritoneum,abdomen
83,is peritoneum present?,yes,no
84,is tuberculosis present?,no,yes
85,what is present?,tuberculous peritonitis,abdomen
86,is tuberculous peritonitis present?,yes,yes
87,where is this area in the body?,abdomen,abdomen
88,what is present?,abdomen,abdomen
89,what is present?,peritoneum,abdomen
90,what is present?,tuberculous peritonitis,abdomen
91,what does this image show?,massive node enlargement like a lymphoma,large tumor
92,"is the lumen moderately narrowed by this eccentric lesion, which leaves part of the vessel wall unaffected?",yes,yes
93,does this image show massive node enlargement like a lymphoma?,yes,yes
94,does abdomen show massive node enlargement like a lymphoma?,no,no
95,what is present?,abdomen,gastrointestinal
96,is abdomen present?,yes,yes
97,is tuberculous peritonitis present?,no,no
98,what is present?,mesentery,gastrointestinal
99,is mesentery present?,yes,no
100,is carcinomatosis present?,no,yes
101,what is present?,acute lymphocytic leukemia,gastrointestinal
102,is acute lymphocytic leukemia present?,yes,no
103,"are skin stem cells moderately narrowed by this eccentric lesion, which leaves part of the vessel wall unaffected?",no,no
104,is fat necrosis present?,no,no
105,where is this area in the body?,abdomen,abdomen
106,what is present?,abdomen,gastrointestinal
107,what is present?,mesentery,gastrointestinal
108,what is present?,acute lymphocytic leukemia,gastrointestinal
109,does this image show opened abdomen showing tumor everywhere this also could be peritoneal carcinomatosis it looks the same?,yes,yes
110,does leiomyosarcoma show opened abdomen showing tumor everywhere this also could be peritoneal carcinomatosis it looks the same?,no,no
111,what is present?,mesothelioma,abdomen
112,is mesothelioma present?,yes,yes
113,is carcinomatosis present?,no,yes
114,are the photomicrographs packed with laminated swirls of fetal squamous cells?,no,no
115,what are attenuated?,the internal and external elastic membranes,the elastic lamellae
116,where is this area in the body?,abdomen,abdomen
117,what is present?,mesothelioma,abdomen
118,what does this image show?,cut surface of lesion natural color typical appearance of a sarcoma fish flesh and yellow areas suggesting of liposarcoma which it was,large bladder
119,what is present?,abdomen,abdomen
120,is abdomen present?,yes,yes
121,what is present?,peritoneum,abdomen
122,is peritoneum present?,yes,yes
123,what is present?,retroperitoneal liposarcoma,abdomen
124,is retroperitoneal liposarcoma present?,yes,yes
125,where is this area in the body?,abdomen,abdomen
126,are the internal and external elastic membranes attenuated?,yes,yes
127,what is present?,abdomen,abdomen
128,what is present?,peritoneum,abdomen
129,what is present?,retroperitoneal liposarcoma,abdomen
130,what does this image show?,opened body cavity with necrotic bowel and heavy fibrin exudate,large bowel
131,does this image show opened body cavity with necrotic bowel and heavy fibrin exudate?,yes,yes
132,does leiomyosarcoma show opened body cavity with necrotic bowel and heavy fibrin exudate?,no,no
133,what is present?,abdomen,abdomen
134,is abdomen present?,yes,yes
135,is opened abdominal cavity with massive tumor in omentum none apparent in liver nor over peritoneal surfaces gut present?,no,yes
136,what is present?,peritoneum,abdomen
137,are the available anabolic circuits attenuated?,no,no
138,is peritoneum present?,yes,yes
139,is metastatic carcinoma prostate present?,no,no
140,what is present?,fibrinous peritonitis,abdomen
141,is fibrinous peritonitis present?,yes,yes
142,is slices of liver and spleen typical tuberculous exudate is present on capsule of liver and spleen present?,no,no
143,where is this area in the body?,abdomen,abdomen
144,what is present?,abdomen,abdomen
145,what is present?,peritoneum,abdomen
146,what is present?,fibrinous peritonitis,abdomen
147,what does this image show?,outstanding example of granuloma with langhans giant cell,panniculitis and fascitis
148,"what is shown in the figure, stained for elastin (black)?",moderate-power view of the plaque,a fibrous capsule
149,how does this image show outstanding example of granuloma?,with langhans giant cell,with giant cells and foreign body inclusion
150,does this image show outstanding example of granuloma with langhans giant cell?,yes,yes
151,does this show outstanding example of granuloma with langhans giant cell?,no,yes
152,what is present?,abdomen,soft tissue
153,is abdomen present?,yes,no
154,is opened abdominal cavity with massive tumor in omentum none apparent in liver nor over peritoneal surfaces gut present?,no,no
155,what is present?,peritoneum,soft tissue
156,is peritoneum present?,yes,no
157,is carcinomatosis endometrium primary present?,no,no
158,what is present?,tuberculosis,soft tissue
159,what is moderate-power view of the plaque shown the figure stained for?,elastin (black),collagen and elastin
160,is tuberculosis present?,yes,no
161,is opened muscle present?,no,no
162,what is present?,abdomen,soft tissue
163,what is present?,peritoneum,soft tissue
164,what is present?,tuberculosis,soft tissue
165,what does this image show?,outstanding example of a tubercular granuloma same as in slide seen at low classical granuloma with langhans giant cell,brain
166,does this image show outstanding example of a tubercular granuloma same as in slide seen at low classical granuloma with langhans giant cell?,yes,yes
167,what is present?,abdomen,nervous
168,is abdomen present?,yes,no
169,is tuberculous peritonitis present?,no,no
170,is the plaque stained for elastin (black)?,yes,no
171,what is present?,peritoneum,nervous
172,is peritoneum present?,yes,no
173,is peritoneal fluid present?,no,no
174,what is present?,tuberculosis,nervous
175,is tuberculosis present?,yes,yes
176,is this present?,no,no
177,what seen at low classical granuloma with langhans giant cell?,outstanding example of a tubercular same as in slide,giant cell
178,what is outstanding example of a tubercular granuloma same as in slide seen?,at low classical with langhans giant cell,slide
179,what is present?,abdomen,nervous
180,what is present?,peritoneum,nervous
181,"is the intact basement membrane shown in the figure, stained for elastin black?",no,no
182,what is present?,tuberculosis,nervous
183,what fast stain numerous acid fast bacilli very good slide?,acid,bone marrow
184,what do acid stain?,stain numerous fast bacilli very good slide,many
185,do acid stain stain numerous acid fast bacilli very good slide?,yes,yes
186,do retroperitoneum stain stain numerous acid fast bacilli very good slide?,no,no
187,what does this image show?,acid fast stain numerous acid fast bacilli very good slide,oil wrights excellent
188,does this image show acid fast stain numerous acid fast bacilli very good slide?,yes,yes
189,does surface show acid fast stain numerous acid fast bacilli very good slide?,no,no
190,what is present?,abdomen,bone marrow
191,is abdomen present?,yes,no
192,is the media of the artery thinned under the most advanced plaque?,yes,yes
193,is liver with tuberculoid granuloma in glissons present?,no,no
194,what is present?,peritoneum,bone marrow
195,is peritoneum present?,yes,no
196,is acute peritonitis present?,no,no
197,what is present?,tuberculosis,bone marrow
198,is tuberculosis present?,yes,yes
199,is nodular tumor present?,no,no
200,what stain numerous acid fast bacilli very good slide?,acid,wrights
201,what is present?,abdomen,bone marrow
202,what is present?,peritoneum,bone marrow
203,is energy stores thinned under the most advanced plaque?,no,yes
204,what is present?,tuberculosis,bone marrow
205,what does this image show?,excised tumor mass,pancreatic fat necrosis
206,does this image show excised tumor mass?,yes,yes
207,does carcinomatosis endometrium primary show excised tumor mass?,no,no
208,what is present?,sacrococcygeal teratoma,endocrine
209,is sacrococcygeal teratoma present?,yes,no
210,is omentum present?,no,yes
211,what is present?,sacrococcygeal teratoma,endocrine
212,what does this image show?,posterior view to show open cord,hemorrhage in endometrial cavity
213,does this image show posterior view to show open cord?,yes,yes
214,what is in a patient who died suddenly?,plaque rupture without superimposed thrombus,a large thrombus
215,does leiomyosarcoma show posterior view to show open cord?,no,no
216,what is present?,anencephaly,female reproductive
217,is anencephaly present?,yes,no
218,is digits present?,no,no
219,what is present?,anencephaly,female reproductive
220,what does this image show?,mostly head in photo gory edema,face of fetus
221,does this image show mostly head in photo gory edema?,yes,yes
222,does surface show mostly head in photo gory edema?,no,no
223,what is present?,lymphangiomatosis,face
224,is lymphangiomatosis present?,yes,yes
225,what is edematous and congested?,the surrounding lung,the vascular wall
226,what is plaque rupture without?,superimposed thrombus,thrombus formation
227,is carcinomatosis present?,no,no
228,what is present?,lymphangiomatosis,face
229,what does this image show?,anterior view of whole body,view of face with open mouth and jaw
230,does this image show anterior view of whole body?,yes,yes
231,does granulomata slide show anterior view of whole body?,no,no
232,what is present?,lymphangiomatosis,face
233,is lymphangiomatosis present?,yes,yes
234,is metastatic carcinoma prostate present?,no,no
235,what is present?,lymphangiomatosis,face
236,does this image show typical not advanced macerated stillborn?,yes,yes
237,"what is superimposed on an atherosclerotic plaque with focal disruption of the fibrous cap, triggering fatal myocardial infarction?",acute coronary throm-bosis,acute thrombus
238,does acute peritonitis show typical not advanced macerated stillborn?,no,no
239,what does this image show?,posterior view of whole body to buttocks,hemorrhage in fetal circulation
240,does this image show posterior view of whole body to buttocks?,yes,yes
241,does typical tuberculous exudate show posterior view of whole body to buttocks?,no,no
242,what is present with open spine?,anencephaly,fractures
243,is anencephaly with open spine present?,yes,yes
244,is liver with tuberculoid granuloma in glissons with open spine present?,no,no
245,what are slide?,this whole body photo showing widened abdomen due to diastasis recti and crease in ear lobe face is and kidneys with bilateral pelvic-ureteral strictures,anencephaly
246,what are this whole body photo showing widened abdomen due to diastasis recti and crease in ear lobe face is slide and kidneys with bilateral pelvic-ureteral strictures?,strictures,this
247,what is present?,beckwith-wiedemann syndrome,face
248,what is acute coronary throm-bosis superimposed on?,an atherosclerotic plaque with focal disruption of the fibrous cap,a chronic atherosclerotic lesion
249,what are slide?,this whole body photo showing widened abdomen due to diastasis recti and crease in ear lobe face is and kidneys with bilateral pelvic-ureteral strictures,anencephaly
250,what are this whole body photo showing widened abdomen due to diastasis recti and crease in ear lobe face is slide and kidneys with bilateral pelvic-ureteral strictures?,strictures,this
251,what is present?,beckwith-wiedemann syndrome,face
252,what joined at chest and abdomen?,lateral view,two infants
253,what is lateral view joined?,at chest and abdomen,at waist
254,is lateral view joined at chest and abdomen?,yes,yes
255,what does this image show?,lateral view joined at chest and abdomen,joined at head
256,does this image show lateral view joined at chest and abdomen?,yes,yes
257,what is present?,siamese twins,siamese twins
258,is siamese twins present?,yes,yes
259,"is acute coronary throm-bosis superimposed on an atherosclerotic plaque with focal disruption of the fibrous cap, triggering fatal myocardial infarction?",yes,yes
260,what joined at chest and abdomen?,lateral view,two infants
261,what is present?,siamese twins,siamese twins
262,what shows opened chest with two hearts?,chest and abdomen slide,this photo
263,how many hearts does chest and abdomen slide show opened chest with?,two,one
264,does chest and abdomen slide show opened chest with two hearts?,yes,no
265,what joined chest and abdomen slide shows opened chest with two hearts?,this,no
266,how many hearts is this joined chest and abdomen slide shows opened chest with?,two,one
267,what is this joined?,chest and abdomen slide shows opened chest with two hearts,to another
268,is this joined chest and abdomen slide shows opened chest with two hearts?,yes,no
269,what is present?,siamese twins,female reproductive
270,"is moderate-power view of the plaque superimposed on an atherosclerotic plaque with focal disruption of the fibrous cap, triggering fatal myocardial infarction?",no,no
271,is siamese twins present?,yes,no
272,what shows opened chest with two hearts?,chest and abdomen slide,this photo
273,what joined chest and abdomen slide shows opened chest with two hearts?,this,no
274,what is present?,siamese twins,female reproductive
275,what does this image show?,good example of large umbilical hernia,view of back with buttocks and legs
276,does this image show good example of large umbilical hernia?,yes,yes
277,what does this image show?,epithelial component like intestine,lung
278,does this image show epithelial component like intestine?,yes,yes
279,what is present?,sacrococcygeal teratoma,gastrointestinal
280,is sacrococcygeal teratoma present?,yes,no
281,what did the cross-section of aortic media from a patient with marfan syndrome show?,marked elastin fragmentation and areas devoid of elastin that resemble cystic spaces,a characteristic wavy pattern
282,what is present?,sacrococcygeal teratoma,gastrointestinal
283,what does this image show?,hyaline membrane disease,face
284,does this image show hyaline membrane disease?,yes,yes
285,does carcinoma show hyaline membrane disease?,no,no
286,what does this image show?,hyaline membrane disease,view of face with open mouth and eyes
287,does this image show hyaline membrane disease?,yes,yes
288,does spina bifida show hyaline membrane disease?,no,no
289,what does this image show?,hyaline membrane disease,view of face with enlarged ears and mouth
290,does this image show hyaline membrane disease?,yes,yes
291,does peritoneal fluid show hyaline membrane disease?,no,no
292,did the cross-section of aortic media from a patient with marfan syndrome show marked elastin fragmentation and areas devoid of elastin that resemble cystic spaces?,yes,yes
293,what does this image show?,excised breast good example,skin
294,does this image show excised breast good example?,yes,yes
295,does macerated stillborn show excised breast good example?,no,no
296,what is present?,pagets disease,skin
297,is pagets disease present?,yes,no
298,is hours present?,no,no
299,where is this area in the body?,breast,abdomen
300,what is present?,pagets disease,skin
301,what does this image show?,breast,lung
302,"does this image show breast, fibroadenoma?",yes,yes
303,did wilms tumor with tightly packed blue cells consistent with the blastemal component and show marked elastin fragmentation and areas devoid of elastin that resemble cystic spaces asterisks?,no,no
304,"does all the fat necrosis show breast, fibroadenoma?",no,no
305,where is this area in the body?,breast,abdomen
306,what does this image show?,breast,neural tube defect
307,"does this image show breast, fibroadenoma?",yes,yes
308,"does carcinomatosis endometrium primary show breast, fibroadenoma?",no,no
309,where is this area in the body?,breast,breast
310,what does this image show?,atrophic lobules and normal connective tissue,skin
311,does this image show atrophic lobules and normal connective tissue?,yes,yes
312,does macerated stillborn show atrophic lobules and normal connective tissue?,no,no
313,what is present?,breast,female reproductive
314,what shows marked elastin fragmentation and areas devoid of elastin that resemble cystic spaces (asterisks)?,cross-section of aortic media from a patient with marfan syndrome,the overlying surface
315,is breast present?,yes,no
316,is acute lymphocytic leukemia present?,no,no
317,what is present?,atrophy,female reproductive
318,is atrophy present?,yes,no
319,is anencephaly present?,no,no
320,where is this area in the body?,breast,abdomen
321,what is present?,breast,female reproductive
322,what is present?,atrophy,female reproductive
323,what does this image show?,good example of poorly differentiated infiltrating ductal carcinoma,high excellent photo of tumor
324,does this image show good example of poorly differentiated infiltrating ductal carcinoma?,yes,yes
325,what is associated with mononuclear infiltrates and giant cells?,destruction and fibrosis of the arterial media,a reactive infiltrate
326,does cachexia show good example of poorly differentiated infiltrating ductal carcinoma?,no,no
327,what is present?,breast,breast
328,is breast present?,yes,yes
329,is typical tuberculous exudate present?,no,no
330,where is this area in the body?,breast,breast
331,what differentiated infiltrating ductal carcinoma?,good example of poorly,good example
332,what is good example of poorly differentiated?,infiltrating ductal carcinoma,this
333,what is present?,breast,breast
334,how is good example of poorly differentiated infiltrating carcinoma?,ductal,this
335,what does this image show?,coronary artery atherosclerosis diagram,heart
336,is the surrounding lung edematous and congested?,yes,yes
337,what is histologic appearance in active takayasu aortitis illustrating destruction and fibrosis of the arterial media associated with?,mononuclear infiltrates and giant cells,inflammation
338,does this image show coronary artery atherosclerosis diagram?,yes,yes
339,does pus in test tube show coronary artery atherosclerosis diagram?,no,no
340,what is present?,cardiovascular,coronary artery disease
341,is cardiovascular present?,yes,yes
342,is carcinomatosis present?,no,no
343,where is this area in the body?,heart,heart
344,what is present?,cardiovascular,coronary artery disease
345,what is present?,cardiovascular,nervous
346,is cardiovascular present?,yes,yes
347,is peritoneum present?,no,no
348,how is histologic appearance in active takayasu aortitis illustrating destruction and fibrosis of the arterial media associated?,with mononuclear infiltrates,with inflammatory cell infiltration
349,what is present?,amyloidosis,nervous
350,is amyloidosis present?,yes,no
351,is cachexia present?,no,no
352,where is this area in the body?,heart,heart
353,what is present?,cardiovascular,nervous
354,what is present?,amyloidosis,nervous
355,what does this image show?,continuous type,vasculature
356,does this image show continuous type?,yes,yes
357,does papillary intraductal adenocarcinoma show continuous type?,no,no
358,what is present?,cardiovascular,vasculature
359,is the histologic appearance in active takayasu aortitis illustrating destruction and fibrosis of the arterial media associated with mononuclear infiltrates and giant cells?,yes,no
360,is cardiovascular present?,yes,yes
361,is lymphangiomatosis present?,no,no
362,what is present?,vasculature,vasculature
363,is vasculature present?,yes,yes
364,is case of peritonitis slide present?,no,no
365,what is present?,capillary,vasculature
366,is capillary present?,yes,yes
367,is intraductal papillomatosis with apocrine metaplasia present?,no,no
368,where is this mage from?,capillary,vasculature
369,what is present?,cardiovascular,vasculature
370,is the bacteria associated with mononuclear infiltrates and giant cells?,no,yes
371,what is present?,vasculature,vasculature
372,what is present?,capillary,vasculature
373,what does this image show?,good for banding pattern mitochondria,high excellent fiber with very prominent sarcoplasmic reticulum
374,does this image show good for banding pattern mitochondria?,yes,yes
375,does cardiovascular show good for banding pattern mitochondria?,no,no
376,what is present?,cardiovascular,muscle
377,is cardiovascular present?,yes,yes
378,is lower chest and abdomen anterior present?,no,no
379,what is present?,myocardium,muscle
380,is myocardium present?,yes,yes
381,what is infiltrated with leukocytes?,the vessel wall,the surrounding soft tissue
382,is vasculature present?,no,yes
383,where is this area in the body?,heart,heart
384,what is present?,cardiovascular,muscle
385,what is present?,myocardium,muscle
386,what does this image show?,rabbit lesion with foam cell immediately beneath endothelium,amyloid angiopathy
387,does this image show rabbit lesion with foam cell immediately beneath endothelium?,yes,yes
388,what is present?,cardiovascular,cardiovascular
389,is cardiovascular present?,yes,yes
390,what is present?,aorta,cardiovascular
391,is aorta present?,yes,no
392,what is the vessel wall infiltrated with?,leukocytes,a dense infiltrate of lymphocytes and plasma cells
393,what is present?,atherosclerosis,cardiovascular
394,is atherosclerosis present?,yes,yes
395,where is this?,aorta,vasculature
396,what is present?,cardiovascular,cardiovascular
397,what is present?,aorta,cardiovascular
398,what is present?,atherosclerosis,cardiovascular
399,what does this image show?,endothelium with myelin bodies precipitated lipid in interstitial space,pancreatic fat necrosis
400,how does this image show endothelium?,with myelin bodies precipitated lipid in interstitial space,with thrombus
401,does this image show endothelium with myelin bodies precipitated lipid in interstitial space?,yes,yes
402,what is present?,cardiovascular,gastrointestinal
403,is the vessel wall infiltrated with leukocytes?,yes,yes
404,is cardiovascular present?,yes,yes
405,what is present?,vasculature,gastrointestinal
406,is vasculature present?,yes,yes
407,what is present?,coronary artery,gastrointestinal
408,is coronary artery present?,yes,yes
409,where is this?,vasculature,vasculature
410,what is present?,cardiovascular,gastrointestinal
411,what is present?,vasculature,gastrointestinal
412,what is present?,coronary artery,gastrointestinal
413,what does this image show?,smooth muscle cell with lipid monocyte and precipitated lipid in interstitial space,vasculitis
414,is low-power view infiltrated with leukocytes?,no,yes
415,does this image show smooth muscle cell with lipid monocyte and precipitated lipid in interstitial space?,yes,yes
416,what is present?,cardiovascular,vasculature
417,is cardiovascular present?,yes,yes
418,is macerated stillborn present?,no,no
419,what is present?,vasculature,vasculature
420,is vasculature present?,yes,yes
421,is amyloidosis present?,no,yes
422,what is present?,coronary artery,vasculature
423,is coronary artery present?,yes,yes
424,is aorta present?,no,yes
425,what is occluded by thrombus containing a sterile abscess?,the lumen,the lumen
426,where is this?,vasculature,vasculature
427,what is present?,cardiovascular,vasculature
428,what is present?,vasculature,vasculature
429,what is present?,coronary artery,vasculature
430,what does this image show?,chagas disease,pancreatic fat necrosis
431,"does this image show chagas disease, acute, trypanasoma cruzi?",yes,yes
432,"does very good example show chagas disease, acute, trypanasoma cruzi?",no,no
433,what is present?,cardiovascular,gastrointestinal
434,is cardiovascular present?,yes,no
435,is papillary intraductal adenocarcinoma present?,no,no
436,"what is the lumen occluded by, containing a sterile abscess?",thrombus,a dense fibrous connective tissue
437,where is this?,heart,gastrointestinal
438,what is present?,cardiovascular,gastrointestinal
439,what does this image show?,normal aortic valve,heart
440,does this image show normal aortic valve?,yes,yes
441,does macerated stillborn show normal aortic valve?,no,no
442,what is present?,cardiovascular,cardiovascular
443,is cardiovascular present?,yes,yes
444,is peritoneum present?,no,no
445,where is this?,heart,heart
446,what is present?,cardiovascular,cardiovascular
447,is numerous friable mural thrombi edematous and congested?,no,yes
448,is the lumen occluded by thrombus containing a sterile abscess?,yes,yes
449,what does this image show?,normal tricuspid valve,heart
450,does this image show normal tricuspid valve?,yes,yes
451,does myocardium show normal tricuspid valve?,no,no
452,what is present?,cardiovascular,cardiovascular
453,is cardiovascular present?,yes,yes
454,is capillary present?,no,no
455,where is this?,heart,heart
456,what is present?,cardiovascular,cardiovascular
457,does this image show normal cardiovascular?,yes,yes
458,does fat necrosis show normal cardiovascular?,no,no
459,"are large, flat cells with small nuclei occluded by thrombus containing a sterile abscess?",no,no
460,where is this?,heart,heart
461,what does this image show?,heart,heart
462,"does this image show heart, myocardial infarction, surgery to repair interventricular septum rupture?",yes,yes
463,"does notochord show heart, myocardial infarction, surgery to repair interventricular septum rupture?",no,no
464,what is present?,cardiovascular,cardiovascular
465,is cardiovascular present?,yes,yes
466,is polycystic disease present?,no,no
467,where is this?,heart,heart
468,what is present?,cardiovascular,cardiovascular
469,what does this image show?,heart,heart
470,what is on the lower right in this apical four-chamber view of the heart?,left ventricle,a large apical thrombus
471,"does this image show heart, myocardial infarction, surgery to repair interventricular septum rupture?",yes,yes
472,"does beckwith-wiedemann syndrome show heart, myocardial infarction, surgery to repair interventricular septum rupture?",no,no
473,what is present?,cardiovascular,cardiovascular
474,is cardiovascular present?,yes,yes
475,is carcinomatosis present?,no,no
476,where is this?,heart,heart
477,what is present?,cardiovascular,cardiovascular
478,what does this image show?,heart,heart
479,"does this image show heart, myocardial infarction, surgery to repair interventricular septum rupture?",yes,yes
480,"does side show heart, myocardial infarction, surgery to repair interventricular septum rupture?",no,no
481,where is the left ventricle in this apical four-chamber view of the heart?,on the lower right,at the apex
482,what is present?,cardiovascular,cardiovascular
483,is cardiovascular present?,yes,yes
484,is myocardium present?,no,no
485,where is this?,heart,heart
486,what is present?,cardiovascular,cardiovascular
487,what does this image show?,pericarditis,heart
488,"does this image show pericarditis, secondary to mediastanitis from pseudomonas and enterobacter 14 days post op?",yes,yes
489,"does atrophy show pericarditis, secondary to mediastanitis from pseudomonas and enterobacter 14 days post op?",no,no
490,what is present?,cardiovascular,endocrine
491,is cardiovascular present?,yes,yes
492,is the left ventricle on the lower right in this apical four-chamber view of the heart?,yes,yes
493,is metastatic carcinoma present?,no,no
494,where is this?,heart,heart
495,what is present?,cardiovascular,endocrine
496,what does this image show?,prosthetic mitral valve,heart
497,"does this image show prosthetic mitral valve, carpentier-edwards valve bovine pericardial bioprosthesis?",yes,yes
498,"does fibrinous peritonitis show prosthetic mitral valve, carpentier-edwards valve bovine pericardial bioprosthesis?",no,no
499,what is present?,cardiovascular,cardiovascular
500,is cardiovascular present?,yes,yes
501,is this image shows of smooth muscle cell with lipid in sarcoplasm and lipid present?,no,no
502,where is this?,heart,heart
503,is plaque rupture without on the lower right in this apical four-chamber view of the heart?,no,no
504,what is present?,cardiovascular,cardiovascular
505,what does this image show?,heart,heart
506,does this image show heart?,yes,yes
507,what is present?,cardiovascular,cardiovascular
508,is cardiovascular present?,yes,yes
509,is aorta present?,no,yes
510,where is this?,heart,heart
511,what is present?,cardiovascular,cardiovascular
512,what does this image show?,atherosclerosis,coronary artery with atherosclerosis
513,does this image show atherosclerosis?,yes,yes
514,what is due to enzyme leakage after cell death?,the absence of staining,hemorrhage
515,does marfans syndrome show atherosclerosis?,no,no
516,what is present?,cardiovascular,coronary artery anomalous origin left from pulmonary artery
517,is cardiovascular present?,yes,yes
518,is natural color present?,no,no
519,what is present?,vasculature,coronary artery anomalous origin left from pulmonary artery
520,is vasculature present?,yes,yes
521,is beckwith-wiedemann syndrome present?,no,no
522,where is this?,vasculature,heart
523,what left anterior descending coronary artery?,atherosclerosis,atherosclerosis
524,what is atherosclerosis left?,anterior descending coronary artery,anterior descending artery
525,what is the absence of staining due to?,enzyme leakage after cell death,the use of a non-absorbable contrast agent
526,what is present?,cardiovascular,coronary artery anomalous origin left from pulmonary artery
527,what is present?,vasculature,coronary artery anomalous origin left from pulmonary artery
528,how is atherosclerosis left anterior descending artery?,coronary,coronary
529,what does this image show?,heart,stomach
530,"does this image show heart, recent coronary artery bypass graft?",yes,yes
