"ID","model","question","correct_answer","model_output"
"44","checkpoint-1000","is peritoneum present?","yes","yes"
"45","checkpoint-1000","what are natomical subdivisions of the stomach correlated with of gastric mucosa in different regions?","anatomical histological appearance regions","gastric glands"
"46","checkpoint-1000","is peritoneum present?","yes","yes"
"47","checkpoint-1000","is natural color present?","no","no"
"48","checkpoint-1000","is anencephaly present?","no","no"
"49","checkpoint-1000","is lymph node present?","yes","yes"
"50","checkpoint-1000","what does this image show?","kidney","cystic fibrosis"
"51","checkpoint-1000","what is shortened by compression fractures?","the osteoporotic vertebral body","vertebrae"
"52","checkpoint-1000","do immature myeloid cells indicate foci of hepatocytes undergoing necrosis in this pas-d-stained biopsy from a patient with acute hepatitis b?","no","yes"
"53","checkpoint-1000","what is present?","respiratory","lymphocytes"
"54","checkpoint-1000","is cardiovascular present?","yes","yes"
"55","checkpoint-1000","is anomalous origin present?","no","yes"
"56","checkpoint-1000","what is present?","nervous","lymphocytes"
"57","checkpoint-1000","what is scanty connective tissue stroma seen between?","the cavernous spaces","epithelial cells"
"58","checkpoint-1000","what is present?","female reproductive","fibrous tissue"
"59","checkpoint-1000","what is present?","leukoplakia vocal cord","cysts"
"60","checkpoint-1000","is renal glomerulus composed of haphazardly interconnecting trabeculae of woven bone that are rimmed by prominent osteoblasts?","no","yes"
"61","checkpoint-1000","what is present?","mesothelioma","tumor"
"62","checkpoint-1000","are x-ray intramyocardial arteries present?","no","no"
"63","checkpoint-1000","what is present?","vasculature","fibrous tissue"
"64","checkpoint-1000","what is present?","hepatobiliary","granuloma"
"65","checkpoint-1000","why does this image show obvious gangrenous necrosis?","due to shock or embolism postoperative cardiac surgery","gangrenous necrosis of the skin"
"66","checkpoint-1000","where is this?","lung","lung"
"67","checkpoint-1000","is hepatobiliary present?","yes","yes"
"68","checkpoint-1000","what does this image show?","normal breast","lymphocytic infiltrate"
"69","checkpoint-1000","is retroperitoneal liposarcoma present?","yes","yes"
"70","checkpoint-1000","what does this image show?","cellular detail well shown","lymphocytic lymphadenitis"
"71","checkpoint-1000","what is present?","liver","lymphoid nodular hyperplasia"
"72","checkpoint-1000","is odontoid process subluxation with narrowing of foramen magnum present?","yes","yes"
"73","checkpoint-1000","what does this image show?","skin","lymphocytic infiltrate"
"74","checkpoint-1000","what is present (top center)?","a perimysial interfascicular septum containing a blood vessel","lymphocyte"
"75","checkpoint-1000","is leiomyosarcoma present?","no","yes"
"76","checkpoint-1000","does this image show heart, acute myocardial infarction?","yes","yes"
"77","checkpoint-1000","what looks like an ascending cholangitis?","this","yes"
"78","checkpoint-1000","does the blue area demonstrate a well-demarcated nodule at the right of the field, with a portion of urethra seen to the left?","no","no"
"79","checkpoint-1000","is inset enlarged diffusely?","no","yes"
"80","checkpoint-1000","where is this?","oral","pancreas"
"81","checkpoint-1000","does subcapsular hematoma show external view of massively enlarged spleen?","no","yes"
"82","checkpoint-1000","is metastatic carcinoma breast present?","no","yes"
"83","checkpoint-1000","what joined chest and abdomen slide shows opened chest with two hearts?","this","cardiopulmonary bypass"
"84","checkpoint-1000","what does this image show?","brain","lymphocytes"
"85","checkpoint-1000","what is present?","liver","lymphocytes"
"86","checkpoint-1000","what is present?","peritoneum","lymphocytes"
"87","checkpoint-1000","what does this image show?","ductopenia","lymphocytic infiltrate"
"88","checkpoint-1000","is vasculature present?","yes","yes"
"89","checkpoint-1000","is hepatobiliary present?","yes","no"
"90","checkpoint-1000","what does von recklinghausen?","disease is present","multiple neurofibromatosis"
"91","checkpoint-1000","what is present?","ameloblastoma","lymphocytic infiltrate"
"92","checkpoint-1000","what does this image show?","parathyroid","lymphadenitis"
"93","checkpoint-1000","is myocardium present?","yes","yes"
"94","checkpoint-1000","are chematic mechanisms villous hypertrophy of the synovium and marked mononuclear inflammatory cell infiltrate in synovial membrane with formation of lymphoid follicles at places?","no","yes"
"95","checkpoint-1000","where is this part in?","spleen","pancreas"
"96","checkpoint-1000","where does this belong to?","endocrine system","ovary"
"97","checkpoint-1000","is leiomyomas present?","no","no"
"98","checkpoint-1000","what does this image show?","skeletal muscle","cardiomyocyte"
"99","checkpoint-1000","what is surrounded by palisades of macrophages and plasma cells marginated peripherally by fibroblasts?","central coagulative necrosis","lymphoid follicle"
"100","checkpoint-1000","where is this from?","vasculature","skin"
"101","checkpoint-1000","is acid present?","no","yes"
"102","checkpoint-1000","what does this image show?","white muscle","tuberculosis"
"103","checkpoint-1000","is muscle present?","yes","yes"
"104","checkpoint-1000","what are present?","no","tendons"
"105","checkpoint-1000","is disease present?","yes","yes"
"106","checkpoint-1000","is optic nerve present?","no","no"
"107","checkpoint-1000","does this image show pancrease, islet amyloid, diabetes mellitus?","yes","yes yes no"
"108","checkpoint-1000","does the sectioned surface of the lung show grey-brown, firm area of consolidation affecting a lobe?","yes","no"
"109","checkpoint-1000","is gastrointestinal present?","yes","no"
"110","checkpoint-1000","does mucicarmine show whorls of smooth muscle cells which are spindle-shaped, having abundant cytoplasm and oval nuclei?","no","yes"
"111","checkpoint-1000","does cervical leiomyoma show fracture line well shown very thin skull eggshell type?","no","yes"
"112","checkpoint-1000","what is present?","thymus","tumor"
"113","checkpoint-1000","what is present?","bone","tumor"
"114","checkpoint-1000","what does this image show?","high fibrous callus with osteoid and osteoblasts","fibrosis"
"115","checkpoint-1000","is nodular tumor present?","no","yes"
"116","checkpoint-1000","is myelomonocytic leukemia present?","no","yes"
"117","checkpoint-1000","what does this image show?","wide fetal zone 2 days old","lymphoid nodule"
"118","checkpoint-1000","is soft tissue present?","yes","no"
"119","checkpoint-1000","do liver cells show ballooning degeneration and necrosis with some containing mallory 's hyalin inbox?","yes","yes"
"120","checkpoint-1000","what does this image show?","lung","lymphadenitis"
"121","checkpoint-1000","where is this part in the figure?","endocrine system","left lower corner"
"122","checkpoint-1000","what does this image show?","heart","tuberculosis"
"123","checkpoint-1000","what is present?","nervous","cerebral hemorrhage"
"124","checkpoint-1000","does metastatic carcinoma prostate show dr garcia tumors 25?","no","yes"
"125","checkpoint-1000","does fixed tissue show recurrent hepatitis c virus?","no","yes"
"126","checkpoint-1000","what is present?","joints","lymphoid nodules"
"127","checkpoint-1000","is hand present?","no","no"
"128","checkpoint-1000","is peritoneum present?","no","yes"
"129","checkpoint-1000","what is present?","downs syndrome","hairy patch"
"130","checkpoint-1000","is glomerulosa present?","no","yes"
"131","checkpoint-1000","where is this?","urinary","pancreas"
"132","checkpoint-1000","where does this belong to?","endocrine system","pancreas"
"133","checkpoint-1000","is broad base also identified?","no","yes"
"134","checkpoint-1000","is hepatobiliary present?","yes","yes"
"135","checkpoint-1000","is this good yellow color slide present?","no","no"
"136","checkpoint-1000","what is present?","gastrointestinal","lymphocytic infiltrate"
"137","checkpoint-1000","how is this typical thecoma with yellow foci quite?","obvious","yes"
"138","checkpoint-1000","where is this part in?","spleen","heart"
"139","checkpoint-1000","what stain?","alpha smooth muscle actin immunohistochemical","haematoxylin and eosin stain"
"140","checkpoint-1000","what is present?","linear fracture in occiput","cysticercosis"
"141","checkpoint-1000","what does this image show?","sternum saggital section obvious neoplasm from lung scar carcinoma","tuberculosis"
"142","checkpoint-1000","is hepatobiliary present?","yes","yes"
"143","checkpoint-1000","what is one collapsed?","vertebra and filled with neoplasm looks like breast carcinoma but an unclassified lymphoma","lymphatic vessel"
"144","checkpoint-1000","does exposure show primary biliary cirrhosis?","no","yes"
"145","checkpoint-1000","what does this image show?","brain","pancreatic ductular adenocarcinoma"
"146","checkpoint-1000","is pus in test tube present?","no","yes"
"147","checkpoint-1000","is there no ovary present to indicate the location of the tumor mass?","yes","no"
"148","checkpoint-1000","what are present?","extremities","lymphocytes"
"149","checkpoint-1000","does bone biopsy show a band-like mononuclear infiltrate with a sharply-demarcated lower border?","no","yes"
"150","checkpoint-1000","is fat necrosis present?","no","yes"
"151","checkpoint-1000","what is present?","cardiovascular","bone fragments"
"152","checkpoint-1000","does beckwith-wiedemann syndrome show heart transplant, 2 years post surgery?","no","yes"
"153","checkpoint-1000","is respiratory present?","yes","yes"
"154","checkpoint-1000","what does this image show?","islet cell carcinoma","endometriosis"
"155","checkpoint-1000","does angiogram show postmortangiogram with apparent lesions in proximal right coronary?","no","yes"
"156","checkpoint-1000","does breast show vasculitis, polyarteritis nodosa?","no","yes"
"157","checkpoint-1000","are laceration of the scalp seen microscopically?","no","no"
"158","checkpoint-1000","what recklinghausens disease is present?","von","molluscum contagiosum"
"159","checkpoint-1000","does this image show a very close-up view of typical gross lesions?","yes","yes"
"160","checkpoint-1000","what is present?","endocrine","fibrosis"
"161","checkpoint-1000","is joints present?","yes","yes"
"162","checkpoint-1000","is fibrinous peritonitis present?","no","yes"
"163","checkpoint-1000","is the unknown origin in mandible a guess?","yes","no"
"164","checkpoint-1000","what is present?","female reproductive","lymphadenopathy"
"165","checkpoint-1000","how does this image show vertebral body gross is islands of tumor?","with stimulated new bone formation a desmoplastic reaction to the additional micros are and","vertebral body gross is islands of tumor"
"166","checkpoint-1000","what is present?","endocrine","tumor"
"167","checkpoint-1000","what is present?","joints","bone fracture"
"168","checkpoint-1000","what is present?","cardiovascular","lymphocytic infiltrate"
"169","checkpoint-1000","is bone marrow present?","yes","yes"
"170","checkpoint-1000","what are present?","extremities","lymphocytes"
"171","checkpoint-1000","what are the characteristic histologic features?","villous hypertrophy of the synovium and marked mononuclear inflammatory cell","lymphocytic infiltrate with intraepithelial lymphocytes and intraepithelial plasmacytosis"
"172","checkpoint-1000","does this image show prosthetic mitral valve, carpentier-edwards valve bovine pericardial bioprosthesis?","yes","yes"
"173","checkpoint-1000","how does this image show portion of nose typical exophytic lesion?","with heaped-up margins and central ulceration","nasal polyp"
"174","checkpoint-1000","where is this?","pancreas","pancreas"
"175","checkpoint-1000","is pus in test tube present?","no","no"
"176","checkpoint-1000","what is the vessel wall infiltrated with?","leukocytes","lymphocytes"
"177","checkpoint-1000","is chronic lymphocytic leukemia necrotizing?","no","yes"
"178","checkpoint-1000","what is present?","liver","lymphocytes"
"179","checkpoint-1000","does this image show close-up of cut surface?","yes","yes"
"180","checkpoint-1000","what is present?","hematologic","tumor"
"181","checkpoint-1000","what does this image show?","facial abscess","roundworm"
"182","checkpoint-1000","is hepatobiliary present?","yes","yes"
"183","checkpoint-1000","where is this?","skin","heart"
"184","checkpoint-1000","what is present?","hepatobiliary","lymphoid nodular hyperplasia"
"185","checkpoint-1000","is opened bladder with median lobe protruding into trigone area also present?","no","yes"
"186","checkpoint-1000","is follicular lymphoma contrasted with structure of normal lymph node a?","yes","yes"
"187","checkpoint-1000","the mature red cells are released into circulation , which on completion of whose lifespan of 120 days , die?","their","RBC"
"188","checkpoint-1000","what does this image show?","periaortic nodes with metastatic carcinoma aorta shows good atherosclerotic plaques","tuberculosis"
"189","checkpoint-1000","what is present?","endocrine","lymphocytes"
"190","checkpoint-1000","what does microscopic examination reveal?","large cells with distinct cell borders","lymphocytic lymphadenitis"
"191","checkpoint-1000","does this image show normal lung?","yes","no"
"192","checkpoint-1000","is leiomyoma present?","yes","yes"
"193","checkpoint-1000","what is present?","hematologic","lymphocytes"
"194","checkpoint-1000","is vasculature present?","yes","yes"
"195","checkpoint-1000","is hepatobiliary present?","yes","no"
"196","checkpoint-1000","is this typical thecoma with yellow foci present?","no","yes"
"197","checkpoint-1000","what does the upper dermis show?","a band-like mononuclear infiltrate with a sharply-demarcated lower border","hyperkeratosis"
"198","checkpoint-1000","does this image show numerous large thrombi?","yes","no"
"199","checkpoint-1000","is mesothelioma present?","no","yes"
"200","checkpoint-1000","what are present?","extremities","granuloma suppurativo"
"201","checkpoint-1000","where is this?","skin","pancreas"
"202","checkpoint-1000","is digital infarcts bacterial endocarditis present?","no","yes"
"203","checkpoint-1000","does yellow color show opened cranial vault with many frontal and right temporal fossa fractures?","no","yes"
"204","checkpoint-1000","does hepatobiliary show kidney, infarct?","no","yes"
"205","checkpoint-1000","did these cells spread to lungs, liver, spleen, kidneys and brain?","no","yes yes yes yes yes"
"206","checkpoint-1000","is peritoneum present?","no","yes"
"207","checkpoint-1000","what is identical to that of seminoma of the testis?","histologic appearance","germinoma"
"208","checkpoint-1000","what is present?","metastatic carcinoma lung","tumor"
"209","checkpoint-1000","what is atherosclerosis left?","anterior descending coronary artery","yes"
"210","checkpoint-1000","does acute peritonitis show fixed tissue typical appearance of tuberculous peritonitis except for color being off a bit?","no","yes"
"211","checkpoint-1000","what is present?","gastrointestinal","lymphocytic infiltrate"
"212","checkpoint-1000","is fibrous meningioma present?","no","yes"
"213","checkpoint-1000","is aorta present?","yes","yes"
"214","checkpoint-1000","is the moderate-power view of the plaque demonstrated by a lack of triphenyltetrazolium chloride staining in areas of necrosis?","no","yes"
"215","checkpoint-1000","does mucinous cystadenocarcinoma show typical lesion with giant cells and foreign material?","no","yes"
"216","checkpoint-1000","where does this belong to?","endocrine system","pancreas"
"217","checkpoint-1000","what does this image show?","gout","lymph node"
"218","checkpoint-1000","does this image show primary biliary cirrhosis?","yes","yes"
"219","checkpoint-1000","does lymphangiomatosis generalized show large necrotic ulcers over sacrum buttocks and hips?","no","yes"
"220","checkpoint-1000","what is present?","uterus","lymphocytes"
"221","checkpoint-1000","is amputation stump infected present?","no","yes"
"222","checkpoint-1000","are disse blood-filled vascular channels lined by endothelial cells and surrounded by nests and masses of glomus cells?","no","yes"
"223","checkpoint-1000","do fibroma stain?","no","no"
"224","checkpoint-1000","what does this image show?","good for banding pattern mitochondria","mitochondrion"
"225","checkpoint-1000","where is this part in the figure?","endocrine system","left lower corner"
"226","checkpoint-1000","where is this?","lung","lymph node"
"227","checkpoint-1000","is lateral view present?","no","yes"
"228","checkpoint-1000","is palpable purpura with desquamation present?","yes","yes"
"229","checkpoint-1000","what are expelled?","2","red blood cells"
"230","checkpoint-1000","is esophagus present?","no","yes"
"231","checkpoint-1000","where is this?","urinary","pancreas"
"232","checkpoint-1000","does one marrow trephine biopsy in aplastic anaemia contain caseating epithelioid cell granulomas having giant cells and lymphocytes?","no","yes"
"233","checkpoint-1000","what is present?","vasculature","lymphocytic infiltrate"
"234","checkpoint-1000","what is surrounded by increased fat?","matted mass of lymph nodes","lymphoid tissue"
"235","checkpoint-1000","what is present?","endocrine","lymphoid nodular hyperplasia"
"236","checkpoint-1000","are thalassaemia and hbd the haemoglobin disorders common in india?","yes","yes"
"237","checkpoint-1000","what does this image show?","close-up hilar node with anthracotic pigment and metastatic small cell carcinoma from lung good example","tuberculosis"
"238","checkpoint-1000","does this image show normal brain?","yes","no"
"239","checkpoint-1000","what is present?","eye","cysticercus"
"240","checkpoint-1000","does bone, skull show moderate acute rejection?","no","no"
"241","checkpoint-1000","is endocrine present?","yes","yes"
"242","checkpoint-1000","what is present?","supernumerary digits","granuloma annulare"
"243","checkpoint-1000","does this image show uterus, leiomyoma?","yes","yes"
"244","checkpoint-1000","is cardiovascular present?","yes","yes"
"245","checkpoint-1000","what is present?","brain","lymphocytes"
"246","checkpoint-1000","does cervix duplication show close-up of foramen magnum stenosis due to subluxation of atlas vertebra case 31?","no","yes"
"247","checkpoint-1000","is the margin congested?","yes","yes"
"248","checkpoint-1000","where does this part belong to?","female reproductive system","ovary"
"249","checkpoint-1000","does this image show facial abscess?","yes","yes"
"250","checkpoint-1000","what does this image show?","lung","pulmonary hemorrhage"
"251","checkpoint-1000","what is present?","bone marrow","lymphocytes"
"252","checkpoint-1000","does this image show tracheotomy site, granulation tissue?","yes","yes"
"253","checkpoint-1000","what is present?","hepatobiliary","granuloma"
"254","checkpoint-1000","is there moderate microcytosis and hypochromia?","yes","yes"
"255","checkpoint-1000","what is present?","oral","lymphoid nodular hyperplasia"
"256","checkpoint-1000","what is well-encapsulated with compression of surrounding thyroid parenchyma?","tumour","adenoma"
"257","checkpoint-1000","is ml present?","no","yes"
"258","checkpoint-1000","is sacrococcygeal teratoma present?","no","yes"
"259","checkpoint-1000","where is this area in the body?","heart","heart"
"260","checkpoint-1000","what are present?","extremities","pseudomembrane"
"261","checkpoint-1000","does this image show papillary cystadenoma lymphomatosum warthins?","yes","no"
"262","checkpoint-1000","where is this?","urinary","pancreas"
"263","checkpoint-1000","does this image show med excellent example of perineural invasion?","yes","yes"
"264","checkpoint-1000","what is present?","urinary","lymphocytes"
"265","checkpoint-1000","what is present?","endocrine","tumor"
"266","checkpoint-1000","what is present?","eye","tumor"
"267","checkpoint-1000","is hematologic present?","yes","yes"
"268","checkpoint-1000","is metastatic carcinoma oat cell present?","no","no"
"269","checkpoint-1000","is respiratory present?","yes","yes"
"270","checkpoint-1000","what requires dark room to see subtle distal phalangeal cyanosis?","case of dic not bad photo","Rickets"
"271","checkpoint-1000","what is present?","nervous","cysticercus"
"272","checkpoint-1000","how is histologic appearance of leukoplakia showing dysplasia characterized?","by nuclear and cellular pleomorphism and loss of normal maturation","characterized by nuclear atypia and increased mitotic activity"
"273","checkpoint-1000","is good example of veins filled with blood?","yes","no"
"274","checkpoint-1000","what does this image show?","kidney","lymphoid nodular hyperplasia"
"275","checkpoint-1000","how does case of dic not bad photo require dark room to see subtle phalangeal cyanosis?","distal","12345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678"
"276","checkpoint-1000","how does both adrenals external views focal hemorrhages do not know history look like abruption?","placental","abruptio placentae"
"277","checkpoint-1000","does esophagus show skeletal muscle, atrophy due to immobilization cast?","no","yes"
"278","checkpoint-1000","does hemorrhage in newborn show colon, ulcerative colitis?","no","yes"
"279","checkpoint-1000","what is composed of neutrophils and macrophages?","nfiltrate in the lumina","inflammation"
"280","checkpoint-1000","are salt bridges formed again?","yes","yes"
"281","checkpoint-1000","where is this?","lung","pancreas"
"282","checkpoint-1000","what is present?","spleen","tumor"
"283","checkpoint-1000","does atrophy secondary to pituitectomy show esohagus, candida?","no","no"
"284","checkpoint-1000","what is present?","liver","granuloma"
"285","checkpoint-1000","what is present?","umbilical cord","conjoined twins"
"286","checkpoint-1000","does notochord show heart, myocardial infarction, surgery to repair interventricular septum rupture?","no","yes"
"287","checkpoint-1000","is abdomen present?","yes","yes"
"288","checkpoint-1000","what is present?","cardiovascular","lymphocytic infiltrate"
"289","checkpoint-1000","is oral present?","yes","yes"
"290","checkpoint-1000","is fixed lesions present?","no","yes"
"291","checkpoint-1000","what is present?","hepatobiliary","mitochondria lysosomes granular reticulum agranular reticulum gilbert complex"
"292","checkpoint-1000","what is present?","vasculature","lymphoid nodular hyperplasia"
"293","checkpoint-1000","what does child have?","child","tuberculosis"
"294","checkpoint-1000","what is present?","postpartum","lymphadenopathy"
"295","checkpoint-1000","is retroperitoneal leiomyosarcoma present?","no","yes"
"296","checkpoint-1000","does this image show brain, frontal lobe atrophy, pick 's disease?","yes","yes"
"297","checkpoint-1000","does size show islet cell carcinoma?","no","no"
"298","checkpoint-1000","what is present?","oral","lymphocytes"
"299","checkpoint-1000","where is this?","oral","vagina"
"300","checkpoint-1000","is intraductal lesions present?","no","yes"
"301","checkpoint-1000","does this image show polyarteritis nodosa?","yes","yes"
"302","checkpoint-1000","does this image show ruptured saccular aneurysm right middle cerebral artery?","yes","yes"
"303","checkpoint-1000","where does this belong to?","female reproductive system","pancreas"
"304","checkpoint-1000","what is present?","testicle","tumor"
"305","checkpoint-1000","does sectioned surface of the lung show replacement of slaty-grey spongy parenchyma with multiple, firm, grey-white nodular masses, some having areas of haemorhages and necrosis?","yes","yes"
"306","checkpoint-1000","where is this from?","heart","heart"
"307","checkpoint-1000","what is present?","hematologic","granuloma"
"308","checkpoint-1000","what is present?","cardiovascular","tumor"
"309","checkpoint-1000","does outside adrenal capsule section show stomach, chronic peptic ulcer?","no","no"
"310","checkpoint-1000","is female reproductive present?","yes","yes"
"311","checkpoint-1000","what is composed of melanocytes that lose pigmentation and become smaller and more dispersed as they extend into the dermis-all signs that speak to the benign nature of the proliferation?","the nevus","melanocytic nevus"
"312","checkpoint-1000","what is present?","joints","bone marrow edema"
"313","checkpoint-1000","what does this image show?","gms granuloma due to pneumocystis aids case","lymphocytes"
"314","checkpoint-1000","is there marked thinning of the epidermis, fibrosis of the superficial dermis, and chronic inflammatory cells in the deeper dermis?","yes","yes"
"315","checkpoint-1000","what looks like placental abruption?","history","yes"
"316","checkpoint-1000","does the cytoplasm show granulation tissue and gliosis?","no","yes"
"317","checkpoint-1000","what does this image show?","normal lung","neuronal cell body"
"318","checkpoint-1000","what does this image show?","dentinogenesis imperfecta","caries"
"319","checkpoint-1000","where is this part in?","spleen","bladder"
"320","checkpoint-1000","what does this image show?","heart","tuberculosis"
"321","checkpoint-1000","is cardiovascular present?","yes","yes"
"322","checkpoint-1000","what does this image show?","normal pancreas","pancreatic duct with stones"
"323","checkpoint-1000","does this image show x-ray sternum healing fracture 15 days?","yes","yes"
"324","checkpoint-1000","does sectioned surface of the sac show thick wall coated internally by brownish, tan and necrotic material which is organised blood clot arrow?","yes","yes"
"325","checkpoint-1000","is the embolus composed of hematopoietic marrow and marrow fat cells attached to a thrombus?","yes","yes"
"326","checkpoint-1000","is cardiovascular present?","yes","yes"
"327","checkpoint-1000","where is this?","urinary","pancreas"
"328","checkpoint-1000","is oral present?","yes","no"
"329","checkpoint-1000","what does this image show?","patient before surgery lesion in clavicle","melanoma"
"330","checkpoint-1000","does this image show mesentery with involved nodes?","yes","yes"
"331","checkpoint-1000","is tuberculous peritonitis present?","no","yes"
"332","checkpoint-1000","is lymph node present?","yes","yes"
"333","checkpoint-1000","what is associated with chronic alcohol use?","hepatoctye injury in fatty liver disease","alcoholic liver disease"
"334","checkpoint-1000","is side present?","no","yes"
"335","checkpoint-1000","does this image show rabbit lesion with foam cell immediately beneath endothelium?","yes","yes"
"336","checkpoint-1000","what is present?","gastrointestinal","lymphocytic infiltrate"
"337","checkpoint-1000","is opened muscle present?","no","no"
"338","checkpoint-1000","does this image show postmortangiogram with apparent lesions in proximal right coronary?","yes","yes"
"339","checkpoint-1000","what does this image show?","cut surfaces of both adrenals focal hemorrhagic infarction well shown do not know history looks like placental abruption","ovary"
"340","checkpoint-1000","what is present?","gastrointestinal","tumor"
"341","checkpoint-1000","what is largely extending into soft tissues including the skeletal muscle?","tumour","lymph node"
"342","checkpoint-1000","does this image show but not good color petechiae and purpura case of stcell leukemia?","yes","yes"
"343","checkpoint-1000","where is this part in the figure?","endocrine system","lower right"
"344","checkpoint-1000","is supernumerary digits present?","yes","yes"
"345","checkpoint-1000","does this image show spinal cord injury due to vertebral column trauma, demyelination?","yes","yes"
"346","checkpoint-1000","what does this image show?","tracheotomy site","neoplastic lymphocytes"
"347","checkpoint-1000","do acid stain stain numerous acid fast bacilli very good slide?","yes","yes"
"348","checkpoint-1000","where does this belong to?","endocrine system","pancreas"
"349","checkpoint-1000","what is present?","thecoma","lymphadenopathy"
"350","checkpoint-1000","does appendix show chronic osteomyelitis?","no","no"
"351","checkpoint-1000","is aorta present?","no","yes"
"352","checkpoint-1000","is cut edge of mesentery present?","no","yes"
"353","checkpoint-1000","what is present?","vasculature","bone fragments"
"354","checkpoint-1000","what is present?","cardiovascular","mitochondrion"
"355","checkpoint-1000","is there hyperkeratosis, focal hypergranulosis and irregular acanthosis with elongated saw-toothed rete ridges?","yes","yes"
"356","checkpoint-1000","does chronic lymphocytic leukemia show gemination?","no","yes"
"357","checkpoint-1000","what is present?","respiratory","tumor"
"358","checkpoint-1000","what is present?","cardiovascular","100% 90% 50% 90% 100%"
"359","checkpoint-1000","what does this image show?","kidney","pancreatic ductal adenocarcinoma"
"360","checkpoint-1000","what is present?","liver","lymphocytes"
"361","checkpoint-1000","is herpes simplex present?","yes","yes"
"362","checkpoint-1000","is mesothelioma present?","no","yes"
"363","checkpoint-1000","is cardiovascular present?","yes","yes"
"364","checkpoint-1000","does surface show photo of whole body showing head laterally with no chin?","no","no"
"365","checkpoint-1000","does abdomen show colon, villous polyp and adenocarcinoma?","no","yes"
"366","checkpoint-1000","is female reproductive present?","yes","yes"
"367","checkpoint-1000","what does this image show?","mostly head in photo gory edema","congenital heart defect"
"368","checkpoint-1000","is urinary present?","yes","yes"
"369","checkpoint-1000","what does this image show?","rather good view of mesentery with typical large nodes case which may have been a t-cell lymphoma","tuberculosis of the intestine"
"370","checkpoint-1000","is spleen present?","yes","yes"
"371","checkpoint-1000","what does gomori methenamine-silver (gms) stain show?","septate hyphae with acute-angle branching","fungus"
"372","checkpoint-1000","what intervening tumor tissue very good?","nodular parenchyma and dense","lymphoid nodular hyperplasia"
"373","checkpoint-1000","is gms present?","no","no"
