"ID","model","question","correct_answer","model_output"
"82","checkpoint-10000","is metastatic carcinoma breast present?","no","yes"
"83","checkpoint-10000","what joined chest and abdomen slide shows opened chest with two hearts?","this","abdomen"
"84","checkpoint-10000","what does this image show?","brain","brain"
"85","checkpoint-10000","what is present?","liver","gastrointestinal"
"86","checkpoint-10000","what is present?","peritoneum","gastrointestinal"
"87","checkpoint-10000","what does this image show?","ductopenia","pancreas"
"88","checkpoint-10000","is vasculature present?","yes","no"
"89","checkpoint-10000","is hepatobiliary present?","yes","no"
"90","checkpoint-10000","what does von recklinghausen?","disease is present","show multiple neurofibromas"
"91","checkpoint-10000","what is present?","ameloblastoma","gastrointestinal"
"92","checkpoint-10000","what does this image show?","parathyroid","pancreas"
"93","checkpoint-10000","is myocardium present?","yes","no"
"94","checkpoint-10000","are chematic mechanisms villous hypertrophy of the synovium and marked mononuclear inflammatory cell infiltrate in synovial membrane with formation of lymphoid follicles at places?","no","yes"
"95","checkpoint-10000","where is this part in?","spleen","abdomen"
"96","checkpoint-10000","where does this belong to?","endocrine system","uterus"
"97","checkpoint-10000","is leiomyomas present?","no","no"
"98","checkpoint-10000","what does this image show?","skeletal muscle","cardiac muscle"
"99","checkpoint-10000","what is surrounded by palisades of macrophages and plasma cells marginated peripherally by fibroblasts?","central coagulative necrosis","tissue"
"100","checkpoint-10000","where is this from?","vasculature","gastrointestinal"
"101","checkpoint-10000","is acid present?","no","yes"
"102","checkpoint-10000","what does this image show?","white muscle","heart"
"103","checkpoint-10000","is muscle present?","yes","yes"
"104","checkpoint-10000","what are present?","no","hand"
"105","checkpoint-10000","is disease present?","yes","yes"
"106","checkpoint-10000","is optic nerve present?","no","no"
"107","checkpoint-10000","does this image show pancrease, islet amyloid, diabetes mellitus?","yes","yes"
"108","checkpoint-10000","does the sectioned surface of the lung show grey-brown, firm area of consolidation affecting a lobe?","yes","no"
"109","checkpoint-10000","is gastrointestinal present?","yes","yes"
"110","checkpoint-10000","does mucicarmine show whorls of smooth muscle cells which are spindle-shaped, having abundant cytoplasm and oval nuclei?","no","yes"
"111","checkpoint-10000","does cervical leiomyoma show fracture line well shown very thin skull eggshell type?","no","no"
"112","checkpoint-10000","what is present?","thymus","gastrointestinal"
"113","checkpoint-10000","what is present?","bone","cardiovascular"
"114","checkpoint-10000","what does this image show?","high fibrous callus with osteoid and osteoblasts","bone"
"115","checkpoint-10000","is nodular tumor present?","no","no"
"116","checkpoint-10000","is myelomonocytic leukemia present?","no","no"
"117","checkpoint-10000","what does this image show?","wide fetal zone 2 days old","coronary artery"
"118","checkpoint-10000","is soft tissue present?","yes","yes"
"119","checkpoint-10000","do liver cells show ballooning degeneration and necrosis with some containing mallory 's hyalin inbox?","yes","yes"
"120","checkpoint-10000","what does this image show?","lung","lung"
"121","checkpoint-10000","where is this part in the figure?","endocrine system","the right"
"122","checkpoint-10000","what does this image show?","heart","coronary artery"
"123","checkpoint-10000","what is present?","nervous","neoplastic"
"124","checkpoint-10000","does metastatic carcinoma prostate show dr garcia tumors 25?","no","no"
"125","checkpoint-10000","does fixed tissue show recurrent hepatitis c virus?","no","no"
"126","checkpoint-10000","what is present?","joints","gastrointestinal"
"127","checkpoint-10000","is hand present?","no","no"
"128","checkpoint-10000","is peritoneum present?","no","no"
"129","checkpoint-10000","what is present?","downs syndrome","abdomen"
"130","checkpoint-10000","is glomerulosa present?","no","no"
"131","checkpoint-10000","where is this?","urinary","gastrointestinal"
"132","checkpoint-10000","where does this belong to?","endocrine system","gastrointestinal"
"133","checkpoint-10000","is broad base also identified?","no","yes"
"134","checkpoint-10000","is hepatobiliary present?","yes","yes"
"135","checkpoint-10000","is this good yellow color slide present?","no","no"
"136","checkpoint-10000","what is present?","gastrointestinal","gastrointestinal"
"137","checkpoint-10000","how is this typical thecoma with yellow foci quite?","obvious","yes"
"138","checkpoint-10000","where is this part in?","spleen","skin"
"139","checkpoint-10000","what stain?","alpha smooth muscle actin immunohistochemical","hematoxylin-eosin"
"140","checkpoint-10000","what is present?","linear fracture in occiput","neoplastic"
"141","checkpoint-10000","what does this image show?","sternum saggital section obvious neoplasm from lung scar carcinoma","bone"
"142","checkpoint-10000","is hepatobiliary present?","yes","yes"
"143","checkpoint-10000","what is one collapsed?","vertebra and filled with neoplasm looks like breast carcinoma but an unclassified lymphoma","thoracic"
"144","checkpoint-10000","does exposure show primary biliary cirrhosis?","no","no"
"145","checkpoint-10000","what does this image show?","brain","gastrointestinal"
"146","checkpoint-10000","is pus in test tube present?","no","no"
"147","checkpoint-10000","is there no ovary present to indicate the location of the tumor mass?","yes","no"
"148","checkpoint-10000","what are present?","extremities","hand"
"149","checkpoint-10000","does bone biopsy show a band-like mononuclear infiltrate with a sharply-demarcated lower border?","no","no"
"150","checkpoint-10000","is fat necrosis present?","no","yes"
"151","checkpoint-10000","what is present?","cardiovascular","oral"
"152","checkpoint-10000","does beckwith-wiedemann syndrome show heart transplant, 2 years post surgery?","no","no"
"153","checkpoint-10000","is respiratory present?","yes","yes"
"154","checkpoint-10000","what does this image show?","islet cell carcinoma","gastrointestinal"
"155","checkpoint-10000","does angiogram show postmortangiogram with apparent lesions in proximal right coronary?","no","no"
"156","checkpoint-10000","does breast show vasculitis, polyarteritis nodosa?","no","no"
"157","checkpoint-10000","are laceration of the scalp seen microscopically?","no","yes"
"158","checkpoint-10000","what recklinghausens disease is present?","von","yes"
"159","checkpoint-10000","does this image show a very close-up view of typical gross lesions?","yes","yes"
"160","checkpoint-10000","what is present?","endocrine","cardiovascular"
"161","checkpoint-10000","is joints present?","yes","yes"
"162","checkpoint-10000","is fibrinous peritonitis present?","no","no"
"163","checkpoint-10000","is the unknown origin in mandible a guess?","yes","no"
"164","checkpoint-10000","what is present?","female reproductive","gastrointestinal"
"165","checkpoint-10000","how does this image show vertebral body gross is islands of tumor?","with stimulated new bone formation a desmoplastic reaction to the additional micros are and","with calcifications"
"166","checkpoint-10000","what is present?","endocrine","cardiovascular"
"167","checkpoint-10000","what is present?","joints","hand"
"168","checkpoint-10000","what is present?","cardiovascular","gastrointestinal"
"169","checkpoint-10000","is bone marrow present?","yes","no"
"170","checkpoint-10000","what are present?","extremities","hand"
"171","checkpoint-10000","what are the characteristic histologic features?","villous hypertrophy of the synovium and marked mononuclear inflammatory cell","of adenocarcinoma of the colon"
"172","checkpoint-10000","does this image show prosthetic mitral valve, carpentier-edwards valve bovine pericardial bioprosthesis?","yes","yes"
"173","checkpoint-10000","how does this image show portion of nose typical exophytic lesion?","with heaped-up margins and central ulceration","of nasal polyp"
"174","checkpoint-10000","where is this?","pancreas","gastrointestinal"
"175","checkpoint-10000","is pus in test tube present?","no","yes"
"176","checkpoint-10000","what is the vessel wall infiltrated with?","leukocytes","lymphocytes"
"177","checkpoint-10000","is chronic lymphocytic leukemia necrotizing?","no","yes"
"178","checkpoint-10000","what is present?","liver","gastrointestinal"
"179","checkpoint-10000","does this image show close-up of cut surface?","yes","yes"
"180","checkpoint-10000","what is present?","hematologic","gastrointestinal"
"181","checkpoint-10000","what does this image show?","facial abscess","cancer"
"182","checkpoint-10000","is hepatobiliary present?","yes","yes"
"183","checkpoint-10000","where is this?","skin","heart"
"184","checkpoint-10000","what is present?","hepatobiliary","gastrointestinal"
"185","checkpoint-10000","is opened bladder with median lobe protruding into trigone area also present?","no","no"
"186","checkpoint-10000","is follicular lymphoma contrasted with structure of normal lymph node a?","yes","yes"
"187","checkpoint-10000","the mature red cells are released into circulation , which on completion of whose lifespan of 120 days , die?","their","and are phagocytosed by macrophages"
"188","checkpoint-10000","what does this image show?","periaortic nodes with metastatic carcinoma aorta shows good atherosclerotic plaques","coronary artery"
"189","checkpoint-10000","what is present?","endocrine","gastrointestinal"
"190","checkpoint-10000","what does microscopic examination reveal?","large cells with distinct cell borders","the presence of numerous small round cells with irregular nuclei and scant cytoplasm."
"191","checkpoint-10000","does this image show normal lung?","yes","no"
"192","checkpoint-10000","is leiomyoma present?","yes","yes"
"193","checkpoint-10000","what is present?","hematologic","hematologic"
"194","checkpoint-10000","is vasculature present?","yes","no"
"195","checkpoint-10000","is hepatobiliary present?","yes","no"
"196","checkpoint-10000","is this typical thecoma with yellow foci present?","no","no"
"197","checkpoint-10000","what does the upper dermis show?","a band-like mononuclear infiltrate with a sharply-demarcated lower border","several small cysts with keratin plugs"
"198","checkpoint-10000","does this image show numerous large thrombi?","yes","yes"
"199","checkpoint-10000","is mesothelioma present?","no","no"
"200","checkpoint-10000","what are present?","extremities","skin"
"201","checkpoint-10000","where is this?","skin","gastrointestinal"
"202","checkpoint-10000","is digital infarcts bacterial endocarditis present?","no","yes"
"203","checkpoint-10000","does yellow color show opened cranial vault with many frontal and right temporal fossa fractures?","no","no"
"204","checkpoint-10000","does hepatobiliary show kidney, infarct?","no","no"
"205","checkpoint-10000","did these cells spread to lungs, liver, spleen, kidneys and brain?","no","yes"
"206","checkpoint-10000","is peritoneum present?","no","no"
"207","checkpoint-10000","what is identical to that of seminoma of the testis?","histologic appearance","testicular teratoma"
"208","checkpoint-10000","what is present?","metastatic carcinoma lung","gastrointestinal"
"209","checkpoint-10000","what is atherosclerosis left?","anterior descending coronary artery","coronary"
"210","checkpoint-10000","does acute peritonitis show fixed tissue typical appearance of tuberculous peritonitis except for color being off a bit?","no","no"
"211","checkpoint-10000","what is present?","gastrointestinal","gastrointestinal"
"212","checkpoint-10000","is fibrous meningioma present?","no","no"
"213","checkpoint-10000","is aorta present?","yes","yes"
"214","checkpoint-10000","is the moderate-power view of the plaque demonstrated by a lack of triphenyltetrazolium chloride staining in areas of necrosis?","no","yes"
"215","checkpoint-10000","does mucinous cystadenocarcinoma show typical lesion with giant cells and foreign material?","no","no"
"216","checkpoint-10000","where does this belong to?","endocrine system","gastrointestinal"
"217","checkpoint-10000","what does this image show?","gout","breast"
"218","checkpoint-10000","does this image show primary biliary cirrhosis?","yes","yes"
"219","checkpoint-10000","does lymphangiomatosis generalized show large necrotic ulcers over sacrum buttocks and hips?","no","yes"
"220","checkpoint-10000","what is present?","uterus","gastrointestinal"
"221","checkpoint-10000","is amputation stump infected present?","no","yes"
"222","checkpoint-10000","are disse blood-filled vascular channels lined by endothelial cells and surrounded by nests and masses of glomus cells?","no","no"
"223","checkpoint-10000","do fibroma stain?","no","yes"
"224","checkpoint-10000","what does this image show?","good for banding pattern mitochondria","heart"
"225","checkpoint-10000","where is this part in the figure?","endocrine system","vagina"
"226","checkpoint-10000","where is this?","lung","spleen"
"227","checkpoint-10000","is lateral view present?","no","no"
"228","checkpoint-10000","is palpable purpura with desquamation present?","yes","yes"
"229","checkpoint-10000","what are expelled?","2","thrombi"
"230","checkpoint-10000","is esophagus present?","no","no"
"231","checkpoint-10000","where is this?","urinary","gastrointestinal"
"232","checkpoint-10000","does one marrow trephine biopsy in aplastic anaemia contain caseating epithelioid cell granulomas having giant cells and lymphocytes?","no","yes"
"233","checkpoint-10000","what is present?","vasculature","gastrointestinal"
"234","checkpoint-10000","what is surrounded by increased fat?","matted mass of lymph nodes","the subcutaneous tissue"
"235","checkpoint-10000","what is present?","endocrine","gastrointestinal"
"236","checkpoint-10000","are thalassaemia and hbd the haemoglobin disorders common in india?","yes","yes"
"237","checkpoint-10000","what does this image show?","close-up hilar node with anthracotic pigment and metastatic small cell carcinoma from lung good example","heart"
"238","checkpoint-10000","does this image show normal brain?","yes","yes"
"239","checkpoint-10000","what is present?","eye","eye"
"240","checkpoint-10000","does bone, skull show moderate acute rejection?","no","no"
"241","checkpoint-10000","is endocrine present?","yes","no"
"242","checkpoint-10000","what is present?","supernumerary digits","vascular"
"243","checkpoint-10000","does this image show uterus, leiomyoma?","yes","yes"
"244","checkpoint-10000","is cardiovascular present?","yes","yes"
"245","checkpoint-10000","what is present?","brain","hematologic"
"246","checkpoint-10000","does cervix duplication show close-up of foramen magnum stenosis due to subluxation of atlas vertebra case 31?","no","no"
"247","checkpoint-10000","is the margin congested?","yes","yes"
"248","checkpoint-10000","where does this part belong to?","female reproductive system","uterus"
"249","checkpoint-10000","does this image show facial abscess?","yes","yes"
"250","checkpoint-10000","what does this image show?","lung","lung"
"251","checkpoint-10000","what is present?","bone marrow","hematologic"
"252","checkpoint-10000","does this image show tracheotomy site, granulation tissue?","yes","yes"
"253","checkpoint-10000","what is present?","hepatobiliary","gastrointestinal"
"254","checkpoint-10000","is there moderate microcytosis and hypochromia?","yes","yes"
"255","checkpoint-10000","what is present?","oral","gastrointestinal"
"256","checkpoint-10000","what is well-encapsulated with compression of surrounding thyroid parenchyma?","tumour","thyroid nodules"
"257","checkpoint-10000","is ml present?","no","yes"
"258","checkpoint-10000","is sacrococcygeal teratoma present?","no","yes"
"259","checkpoint-10000","where is this area in the body?","heart","heart"
"260","checkpoint-10000","what are present?","extremities","hand"
"261","checkpoint-10000","does this image show papillary cystadenoma lymphomatosum warthins?","yes","no"
"262","checkpoint-10000","where is this?","urinary","gastrointestinal"
"263","checkpoint-10000","does this image show med excellent example of perineural invasion?","yes","yes"
"264","checkpoint-10000","what is present?","urinary","gastrointestinal"
"265","checkpoint-10000","what is present?","endocrine","gastrointestinal"
"266","checkpoint-10000","what is present?","eye","gastrointestinal"
"267","checkpoint-10000","is hematologic present?","yes","yes"
"268","checkpoint-10000","is metastatic carcinoma oat cell present?","no","no"
"269","checkpoint-10000","is respiratory present?","yes","yes"
"270","checkpoint-10000","what requires dark room to see subtle distal phalangeal cyanosis?","case of dic not bad photo","hand"
"271","checkpoint-10000","what is present?","nervous","neoplastic"
"272","checkpoint-10000","how is histologic appearance of leukoplakia showing dysplasia characterized?","by nuclear and cellular pleomorphism and loss of normal maturation","by focal areas of hyperplasia with nuclear atypia"
"273","checkpoint-10000","is good example of veins filled with blood?","yes","no"
"274","checkpoint-10000","what does this image show?","kidney","this image shows a section of a kidney with glomerular hypercellularity and interstitial fibrosis"
"275","checkpoint-10000","how does case of dic not bad photo require dark room to see subtle phalangeal cyanosis?","distal","yes"
"276","checkpoint-10000","how does both adrenals external views focal hemorrhages do not know history look like abruption?","placental","abnormal"
"277","checkpoint-10000","does esophagus show skeletal muscle, atrophy due to immobilization cast?","no","no"
"278","checkpoint-10000","does hemorrhage in newborn show colon, ulcerative colitis?","no","no"
"279","checkpoint-10000","what is composed of neutrophils and macrophages?","nfiltrate in the lumina","the granuloma"
"280","checkpoint-10000","are salt bridges formed again?","yes","no"
"281","checkpoint-10000","where is this?","lung","gastrointestinal"
"282","checkpoint-10000","what is present?","spleen","gastrointestinal"
"283","checkpoint-10000","does atrophy secondary to pituitectomy show esohagus, candida?","no","no"
"284","checkpoint-10000","what is present?","liver","gastrointestinal"
"285","checkpoint-10000","what is present?","umbilical cord","oral"
"286","checkpoint-10000","does notochord show heart, myocardial infarction, surgery to repair interventricular septum rupture?","no","no"
"287","checkpoint-10000","is abdomen present?","yes","no"
"288","checkpoint-10000","what is present?","cardiovascular","gastrointestinal"
"289","checkpoint-10000","is oral present?","yes","yes"
"290","checkpoint-10000","is fixed lesions present?","no","yes"
"291","checkpoint-10000","what is present?","hepatobiliary","myofibril"
"292","checkpoint-10000","what is present?","vasculature","gastrointestinal"
"293","checkpoint-10000","what does child have?","child","oral"
"294","checkpoint-10000","what is present?","postpartum","gastrointestinal"
"295","checkpoint-10000","is retroperitoneal leiomyosarcoma present?","no","no"
"296","checkpoint-10000","does this image show brain, frontal lobe atrophy, pick 's disease?","yes","yes"
"297","checkpoint-10000","does size show islet cell carcinoma?","no","no"
"298","checkpoint-10000","what is present?","oral","gastrointestinal"
"299","checkpoint-10000","where is this?","oral","mouth"
"300","checkpoint-10000","is intraductal lesions present?","no","yes"
"301","checkpoint-10000","does this image show polyarteritis nodosa?","yes","yes"
"302","checkpoint-10000","does this image show ruptured saccular aneurysm right middle cerebral artery?","yes","yes"
"303","checkpoint-10000","where does this belong to?","female reproductive system","gastrointestinal"
"304","checkpoint-10000","what is present?","testicle","cardiovascular"
"305","checkpoint-10000","does sectioned surface of the lung show replacement of slaty-grey spongy parenchyma with multiple, firm, grey-white nodular masses, some having areas of haemorhages and necrosis?","yes","no"
"306","checkpoint-10000","where is this from?","heart","cardiovascular system"
"307","checkpoint-10000","what is present?","hematologic","gastrointestinal"
"308","checkpoint-10000","what is present?","cardiovascular","cardiovascular"
"309","checkpoint-10000","does outside adrenal capsule section show stomach, chronic peptic ulcer?","no","no"
"310","checkpoint-10000","is female reproductive present?","yes","yes"
"311","checkpoint-10000","what is composed of melanocytes that lose pigmentation and become smaller and more dispersed as they extend into the dermis-all signs that speak to the benign nature of the proliferation?","the nevus","melanocytic hyperplasia"
"312","checkpoint-10000","what is present?","joints","joints"
"313","checkpoint-10000","what does this image show?","gms granuloma due to pneumocystis aids case","renal cortex"
"314","checkpoint-10000","is there marked thinning of the epidermis, fibrosis of the superficial dermis, and chronic inflammatory cells in the deeper dermis?","yes","yes"
"315","checkpoint-10000","what looks like placental abruption?","history","the left"
"316","checkpoint-10000","does the cytoplasm show granulation tissue and gliosis?","no","yes"
"317","checkpoint-10000","what does this image show?","normal lung","brain"
"318","checkpoint-10000","what does this image show?","dentinogenesis imperfecta","oral"
"319","checkpoint-10000","where is this part in?","spleen","uterus"
"320","checkpoint-10000","what does this image show?","heart","heart"
"321","checkpoint-10000","is cardiovascular present?","yes","yes"
"322","checkpoint-10000","what does this image show?","normal pancreas","gastrointestinal"
"323","checkpoint-10000","does this image show x-ray sternum healing fracture 15 days?","yes","yes"
"324","checkpoint-10000","does sectioned surface of the sac show thick wall coated internally by brownish, tan and necrotic material which is organised blood clot arrow?","yes","yes"
"325","checkpoint-10000","is the embolus composed of hematopoietic marrow and marrow fat cells attached to a thrombus?","yes","yes"
"326","checkpoint-10000","is cardiovascular present?","yes","yes"
"327","checkpoint-10000","where is this?","urinary","gastrointestinal"
"328","checkpoint-10000","is oral present?","yes","yes"
"329","checkpoint-10000","what does this image show?","patient before surgery lesion in clavicle","skin"
"330","checkpoint-10000","does this image show mesentery with involved nodes?","yes","yes"
"331","checkpoint-10000","is tuberculous peritonitis present?","no","yes"
"332","checkpoint-10000","is lymph node present?","yes","yes"
"333","checkpoint-10000","what is associated with chronic alcohol use?","hepatoctye injury in fatty liver disease","alcohol liver"
"334","checkpoint-10000","is side present?","no","yes"
"335","checkpoint-10000","does this image show rabbit lesion with foam cell immediately beneath endothelium?","yes","yes"
"336","checkpoint-10000","what is present?","gastrointestinal","gastrointestinal"
"337","checkpoint-10000","is opened muscle present?","no","yes"
"338","checkpoint-10000","does this image show postmortangiogram with apparent lesions in proximal right coronary?","yes","yes"
"339","checkpoint-10000","what does this image show?","cut surfaces of both adrenals focal hemorrhagic infarction well shown do not know history looks like placental abruption","uterus"
"340","checkpoint-10000","what is present?","gastrointestinal","gastrointestinal"
"341","checkpoint-10000","what is largely extending into soft tissues including the skeletal muscle?","tumour","the left kidney"
"342","checkpoint-10000","does this image show but not good color petechiae and purpura case of stcell leukemia?","yes","yes"
"343","checkpoint-10000","where is this part in the figure?","endocrine system","gastrointestinal"
"344","checkpoint-10000","is supernumerary digits present?","yes","yes"
"345","checkpoint-10000","does this image show spinal cord injury due to vertebral column trauma, demyelination?","yes","yes"
"346","checkpoint-10000","what does this image show?","tracheotomy site","brain"
"347","checkpoint-10000","do acid stain stain numerous acid fast bacilli very good slide?","yes","yes"
"348","checkpoint-10000","where does this belong to?","endocrine system","gastrointestinal"
"349","checkpoint-10000","what is present?","thecoma","gastrointestinal"
"350","checkpoint-10000","does appendix show chronic osteomyelitis?","no","no"
"351","checkpoint-10000","is aorta present?","no","no"
"352","checkpoint-10000","is cut edge of mesentery present?","no","no"
"353","checkpoint-10000","what is present?","vasculature","oral"
"354","checkpoint-10000","what is present?","cardiovascular","cardiovascular"
"355","checkpoint-10000","is there hyperkeratosis, focal hypergranulosis and irregular acanthosis with elongated saw-toothed rete ridges?","yes","yes"
"356","checkpoint-10000","does chronic lymphocytic leukemia show gemination?","no","no"
"357","checkpoint-10000","what is present?","respiratory","respiratory system"
"358","checkpoint-10000","what is present?","cardiovascular","coronary artery"
"359","checkpoint-10000","what does this image show?","kidney","heart"
"360","checkpoint-10000","what is present?","liver","gastrointestinal"
"361","checkpoint-10000","is herpes simplex present?","yes","yes"
"362","checkpoint-10000","is mesothelioma present?","no","no"
"363","checkpoint-10000","is cardiovascular present?","yes","yes"
"364","checkpoint-10000","does surface show photo of whole body showing head laterally with no chin?","no","no"
"365","checkpoint-10000","does abdomen show colon, villous polyp and adenocarcinoma?","no","no"
"366","checkpoint-10000","is female reproductive present?","yes","yes"
"367","checkpoint-10000","what does this image show?","mostly head in photo gory edema","congenital anomalies"
"368","checkpoint-10000","is urinary present?","yes","yes"
"369","checkpoint-10000","what does this image show?","rather good view of mesentery with typical large nodes case which may have been a t-cell lymphoma","gastrointestinal"
"370","checkpoint-10000","is spleen present?","yes","no"
"371","checkpoint-10000","what does gomori methenamine-silver (gms) stain show?","septate hyphae with acute-angle branching","mycobacteria"
"372","checkpoint-10000","what intervening tumor tissue very good?","nodular parenchyma and dense","yes"
"373","checkpoint-10000","is gms present?","no","no"
"374","checkpoint-10000","what is present?","breast","gastrointestinal"
"375","checkpoint-10000","what is cut surface with multiple small infiltrates that simulate granulomata diagnosed?","as reticulum cell sarcoma","granulomatous inflammation"
"376","checkpoint-10000","what does this image show?","spleen","hepatomegaly"
"377","checkpoint-10000","is a mallory-denk body hemorrhagic?","no","no"
"378","checkpoint-10000","what is present?","acute myelogenous leukemia","hematologic"
"379","checkpoint-10000","where is this?","urinary","gastrointestinal"
"380","checkpoint-10000","what is present?","endocrine","gastrointestinal"
"381","checkpoint-10000","what does the skin surface on the sole of the foot show?","a fungating and ulcerated growth","a large ulceration with necrosis of the underlying tissue"
"382","checkpoint-10000","does this image show ductopenia?","yes","yes"
